期間,合計_原始值,合計_年增率(%),隔夜_原始值,隔夜_年增率(%),1週_原始值,1週_年增率(%),2週_原始值,2週_年增率(%),3週_原始值,3週_年增率(%),1個月_原始值,1個月_年增率(%),2-6個月_原始值,2-6個月_年增率(%),7個月-1年_原始值,7個月-1年_年增率(%)
1999M03,"130,354",-5.23,"39,040",-47.42,"49,980",72.50,"23,265",370.00,"5,091",59.09,"9,895",52.61,"3,083",-84.34,-,-
1999M04,"133,143",-3.52,"59,060",-28.12,"36,037",9.12,"14,830",165.20,"3,690",405.48,"15,776",462.42,"3,750",-72.58,-,-
1999M05,"145,309",-11.38,"57,798",-27.04,"43,971",-11.87,"17,894",206.40,"8,977",335.78,"12,534",4.97,"4,135",-72.46,-,-
1999M06,"156,018",-16.81,"69,466",-18.29,"34,455",-47.36,"19,531",220.34,"6,280",86.90,"22,101",73.34,"4,185",-71.84,-,-
1999M07,"174,793",4.10,"71,318",-19.81,"44,343",28.33,"19,255",38.03,"9,879",122.75,"26,178",33.11,"3,820",-39.94,-,-
1999M08,"159,957",-8.20,"25,217",-70.32,"35,769",-21.07,"47,698",268.04,"17,605",137.26,"28,738",72.29,"4,930",-28.65,-,-
1999M09,"160,017",-28.83,"44,584",-54.16,"38,535",-51.00,"22,860",-14.70,"8,593",84.40,"40,925",292.19,"4,520",-35.61,-,-
1999M10,"152,617",-16.81,"31,556",-61.69,"26,595",-61.36,"31,114",101.49,"10,835",294.00,"41,032",391.40,"11,485",100.79,-,-
1999M11,"174,314",-7.40,"43,199",-58.29,"32,001",-41.42,"21,744",38.45,"17,215",428.07,"43,055",711.59,"17,100",196.88,-,-
1999M12,"159,609",11.03,"30,951",-25.50,"37,656",-38.90,"20,215",9.56,"14,700",157.89,"39,482",237.68,"16,605",251.06,-,-
2000M01,"115,563",-33.50,"40,960",-55.00,"14,334",-69.43,"7,842",-42.29,"7,372",-20.73,"30,937",196.33,"14,118",455.17,-,-
2000M02,"104,126",-40.86,"31,776",-66.74,"18,106",-53.75,"12,990",18.20,"3,860",-73.34,"23,531",65.44,"13,863",709.28,-,-
2000M03,"154,971",18.88,"31,022",-20.54,"40,942",-18.08,"20,380",-12.40,"4,910",-3.56,"37,114",275.08,"20,603",568.28,-,-
2000M04,"162,380",21.96,"35,728",-39.51,"46,447",28.89,"11,555",-22.08,"7,845",112.60,"38,972",147.03,"21,833",482.21,-,-
2000M05,"130,744",-10.02,"40,136",-30.56,"38,348",-12.79,"13,870",-22.49,"2,310",-74.27,"21,900",74.72,"14,180",242.93,-,-
2000M06,"104,863",-32.79,"40,295",-41.99,"29,558",-14.21,"15,290",-21.71,"4,200",-33.12,"13,040",-41.00,"2,480",-40.74,-,-
2000M07,"167,156",-4.37,"67,278",-5.66,"45,243",2.03,"18,770",-2.52,"10,320",4.46,"22,095",-15.60,"3,450",-9.69,-,-
2000M08,"153,358",-4.13,"66,306",162.94,"40,198",12.38,"12,905",-72.94,"8,700",-50.58,"21,099",-26.58,"4,150",-15.82,-,-
2000M09,"175,953",9.96,"63,012",41.33,"61,529",59.67,"13,050",-42.91,"10,400",21.03,"25,412",-37.91,"2,550",-43.58,-,-
2000M10,"181,988",19.24,"20,507",-35.01,"94,311",254.62,"32,930",5.84,"7,400",-31.70,"20,790",-49.33,"6,050",-47.32,-,-
2000M11,"198,404",13.82,"65,957",52.68,"69,213",116.28,"28,260",29.97,"4,700",-72.70,"18,424",-57.21,"11,850",-30.70,-,-
2000M12,"226,141",41.68,"93,640",202.54,"62,750",66.64,"30,559",51.17,"1,680",-88.57,"18,080",-54.21,"19,432",17.02,-,-
2001M01,"177,094",53.24,"38,854",-5.14,"38,579",169.14,"47,284",502.96,"16,485",123.62,"21,410",-30.79,"14,232",0.81,-,-
2001M02,"191,894",84.29,"40,291",26.80,"106,187",486.47,"18,593",43.13,"2,696",-30.16,"16,237",-31.00,"7,890",-43.09,-,-
2001M03,"208,925",34.82,"24,451",-21.18,"136,040",232.27,"27,594",35.40,"4,580",-6.72,"12,370",-66.67,"3,890",-81.12,-,-
2001M04,"212,221",30.69,"32,499",-9.04,"81,063",74.53,"34,279",196.66,"6,820",-13.07,"38,120",-2.19,"19,440",-10.96,-,-
