期間,本國法人_原始值,本國法人_年增率(%),本國法人_原始值,本國法人_年增率(%),僑外法人_原始值,僑外法人_年增率(%),僑外法人_原始值,僑外法人_年增率(%),本國自然人_原始值,本國自然人_年增率(%),本國自然人_原始值,本國自然人_年增率(%),外國自然人_原始值,外國自然人_年增率(%),外國自然人_原始值,外國自然人_年增率(%)
2000M02,584.92,221.03,9.00,-,227.23,276.65,3.40,-,"5,727.44",228.53,87.60,-,0.64,28.00,0.00,-
2000M03,921.14,116.91,10.71,-,289.63,196.54,3.40,-,"7,390.93",72.03,85.90,-,0.56,-18.84,0.00,-
2000M04,702.01,22.26,9.00,-,212.53,64.15,2.70,-,"6,881.63",32.99,88.30,-,0.85,63.46,0.00,-
2000M05,455.98,-8.02,9.00,-,172.48,44.17,3.30,-,"4,495.58",-4.95,87.70,-,0.39,-82.43,0.00,-
2000M06,446.80,-33.82,10.40,-,162.59,9.11,3.80,-,"3,682.82",-45.10,85.80,-,0.21,-74.07,0.00,-
2000M07,466.38,-5.21,13.10,-,146.20,10.15,4.10,-,"2,951.45",-44.14,82.80,-,0.30,114.29,0.00,-
2000M08,377.37,-22.61,10.70,-,147.47,7.73,4.10,-,"3,017.42",-38.48,85.20,-,0.22,15.79,0.00,-
2000M09,432.98,4.20,11.30,-,190.52,66.93,4.97,-,"3,208.83",-13.91,83.70,-,0.17,-32.00,0.03,-
2000M10,389.54,-4.73,11.90,-,178.89,64.48,5.50,-,"2,712.63",-25.01,82.70,-,0.15,-78.87,0.00,-
2000M11,407.91,-18.45,10.93,-,197.67,50.08,5.30,-,"3,125.01",-26.32,83.70,-,0.52,-26.76,0.07,-
2000M12,247.64,-58.65,12.90,-,91.52,-41.03,4.80,-,"1,578.77",-69.25,82.30,-,0.51,29.74,0.00,-
2001M01,393.17,-55.01,10.80,-,159.87,-22.17,4.40,-,"3,079.91",-61.90,84.80,-,0.37,-68.64,0.00,-
2001M02,436.44,-25.38,9.50,-,202.28,-10.98,4.40,-,"3,959.48",-30.87,86.10,-,0.28,-56.56,0.00,-
2001M03,378.81,-58.88,8.60,-,178.07,-38.52,4.00,-,"3,854.21",-47.85,87.40,-,0.54,-2.86,0.00,-
2001M04,274.98,-60.83,9.60,-,160.02,-24.71,5.60,-,"2,428.15",-64.72,84.80,-,0.24,-71.76,0.00,-
2001M05,208.57,-54.26,9.30,-,180.22,4.49,8.00,-,"1,861.58",-58.59,82.70,-,0.24,-38.46,0.00,-
2001M06,174.17,-61.02,9.30,-,162.56,-0.02,8.70,-,"1,544.56",-58.06,82.00,-,0.30,42.38,0.00,-
2001M07,180.19,-61.36,10.20,-,158.36,8.32,8.90,-,"1,439.77",-51.22,80.90,-,0.12,-61.33,0.00,-
2001M08,232.58,-38.37,10.00,-,181.76,23.25,7.80,-,"1,913.93",-36.57,82.20,-,0.14,-37.27,0.00,-
2001M09,163.89,-62.15,12.50,-,113.87,-40.23,8.70,-,"1,036.33",-67.70,78.80,-,0.32,88.24,0.00,-
2001M10,199.86,-48.69,10.10,-,163.49,-8.61,8.30,-,"1,614.80",-40.47,81.60,-,0.07,-53.33,0.00,-
2001M11,372.00,-8.80,10.00,-,249.65,26.30,6.70,-,"3,109.67",-0.49,83.30,-,0.11,-78.85,0.00,-
2001M12,554.76,124.02,9.17,-,258.65,182.62,4.30,-,"5,239.15",231.85,86.50,-,0.22,-56.52,0.03,-
2002M01,564.23,43.51,8.40,-,296.68,85.58,4.40,-,"5,848.87",89.90,87.20,-,0.14,-62.16,0.00,-
2002M02,253.06,-42.02,10.30,-,154.12,-23.81,6.30,-,"2,051.04",-48.20,83.40,-,0.05,-82.01,0.00,-
2002M03,605.42,59.82,10.90,-,308.57,73.29,5.50,-,"4,661.94",20.96,83.60,-,0.44,-19.12,0.00,-
2002M04,520.97,89.46,10.50,-,301.74,88.56,6.10,-,"4,127.94",70.00,83.40,-,0.99,312.50,0.00,-
2002M05,391.50,87.71,11.70,-,278.73,54.66,8.30,-,"2,679.96",43.96,80.00,-,0.28,16.67,0.00,-
2002M06,319.21,83.27,12.00,-,275.63,69.56,10.30,-,"2,070.56",34.05,77.70,-,0.15,-49.83,0.00,-
2002M07,388.52,115.62,12.24,-,266.50,68.28,8.40,-,"2,518.98",74.96,79.36,-,0.09,-22.41,0.00,-
