期間,爭議件數(件)_原始值,爭議件數(件)_年增率(%),爭議人數(人)_原始值,爭議人數(人)_年增率(%),爭議人數-涉及率(0/00)_原始值,爭議人數-涉及率(0/00)_年增率(%),處理方式(件)-協調_原始值,處理方式(件)-協調_年增率(%),處理方式(件)-調解_原始值,處理方式(件)-調解_年增率(%),處理方式(件)-仲裁_原始值,處理方式(件)-仲裁_年增率(%)
2008M04,"1,759",9.32,"3,403",-1.08,0.43,-,"1,430",9.41,338,34.66,0,--
2008M05,"1,807",-1.04,"4,514",-6.99,0.57,-,"1,360",-10.53,337,37.55,0,--
2008M06,"1,828",17.56,"3,316",-15.45,0.42,-,"1,621",13.04,358,74.63,0,--
2008M07,"1,986",12.71,"4,190",7.30,0.53,-,"1,642",14.11,287,19.58,0,--
2008M08,"2,034",18.39,"3,562",2.62,0.45,-,"1,625",15.66,375,45.35,0,--
2008M09,"2,182",42.61,"6,736",-39.30,0.85,-,"1,617",37.85,430,79.92,0,--
2008M10,"2,431",37.11,"8,118",129.84,1.02,-,"1,922",39.58,422,71.54,0,--
2008M11,"2,303",31.15,"5,221",-83.50,0.66,-,"1,771",8.12,409,57.31,0,--
2008M12,"3,055",71.24,"7,677",-34.29,0.97,-,"2,333",60.67,514,82.92,0,--
2009M01,"2,206",15.68,"4,649",63.07,0.59,-,"1,739",1.81,374,4.47,0,--
2009M02,"2,995",110.18,"6,683",23.74,0.85,-,"2,430",131.21,452,100.00,0,--
2009M03,"3,066",68.18,"5,777",-43.83,0.74,-,"2,623",78.92,467,75.56,0,--
2009M04,"2,805",59.47,"5,804",70.56,0.74,-,"2,408",68.39,454,34.32,0,--
2009M05,"2,538",40.45,"4,264",-5.54,0.54,-,"2,083",53.16,412,22.26,0,--
2009M06,"2,858",56.35,"9,805",195.69,1.25,-,"2,448",51.02,464,29.61,0,--
2009M07,"2,606",31.22,"7,390",76.37,0.94,-,"1,962",19.49,487,69.69,0,--
2009M08,"2,317",13.91,"4,071",14.29,0.52,-,"2,052",26.28,456,21.60,0,--
2009M09,"2,514",15.22,"8,493",26.08,1.08,-,"2,146",32.71,455,5.81,0,--
