期間,本國銀行-支票存款-借記總額(新台幣百萬元)_原始值,本國銀行-支票存款-借記總額(新台幣百萬元)_年增率(%),本國銀行-支票存款-按年計算之回轉次數(次)_原始值,本國銀行-支票存款-按年計算之回轉次數(次)_年增率(%),本國銀行-活期存款-借記總額(新台幣百萬元)_原始值,本國銀行-活期存款-借記總額(新台幣百萬元)_年增率(%),本國銀行-活期存款-按年計算之回轉次數(次)_原始值,本國銀行-活期存款-按年計算之回轉次數(次)_年增率(%),本國銀行-活期儲蓄存款-借記總額(新台幣百萬元)_原始值,本國銀行-活期儲蓄存款-借記總額(新台幣百萬元)_年增率(%),本國銀行-活期儲蓄存款-按年計算之回轉次數(次)_原始值,本國銀行-活期儲蓄存款-按年計算之回轉次數(次)_年增率(%),票據交換及存款不足退票數額-交換-張數(張)_原始值,票據交換及存款不足退票數額-交換-張數(張)_年增率(%),票據交換及存款不足退票數額-交換-金額(新台幣百萬元)_原始值,票據交換及存款不足退票數額-交換-金額(新台幣百萬元)_年增率(%),票據交換及存款不足退票數額-存款不足退票-張數(張)_原始值,票據交換及存款不足退票數額-存款不足退票-張數(張)_年增率(%),票據交換及存款不足退票數額-存款不足退票-金額(新台幣百萬元)_原始值,票據交換及存款不足退票數額-存款不足退票-金額(新台幣百萬元)_年增率(%),票據交換及存款不足退票數額-退票張數比率(%)_原始值,票據交換及存款不足退票數額-退票張數比率(%)_年增率(%),票據交換及存款不足退票數額-退票金額比率(%)_原始值,票據交換及存款不足退票數額-退票金額比率(%)_年增率(%)
2007M10,"8,148,826",5.77,321.3,-1.85,"14,623,606",31.58,95.3,9.03,"6,430,763",17.95,15.2,0.53,"14,497,081",-3.36,"2,059,049",-1.72,"63,072",-17.81,"15,173",-6.28,0.44,-13.73,0.74,-3.90
2007M11,"7,687,910",-2.41,307.6,-1.91,"13,681,026",19.43,88.2,6.62,"5,859,603",14.48,14.2,9.75,"11,954,616",-5.22,"1,828,307",-8.47,"48,612",-15.73,"10,562",-11.22,0.41,-10.87,0.58,-3.33
2007M12,"7,899,829",-1.74,317.8,-0.35,"13,268,056",3.05,88.5,-6.06,"5,158,854",-9.73,13.4,-9.74,"11,765,396",22.63,"1,855,590",3.07,"51,213",13.59,"13,018",27.07,0.44,-6.38,0.70,22.81
2008M01,"8,266,046",-2.61,314.5,-0.17,"14,260,076",6.03,91.2,-0.54,"5,948,257",-7.28,14.8,-4.48,"12,490,810",-18.90,"1,950,835",-13.00,"44,721",-35.35,"11,471",-28.55,0.36,-20.00,0.59,-18.06
2008M02,"6,155,119",15.08,330.4,8.37,"9,969,878",15.84,94.2,-0.40,"4,192,536",5.45,14.2,-4.39,"10,084,535",22.26,"1,461,617",10.81,"35,683",3.09,"8,037",5.42,0.35,-16.67,0.55,-5.17
2008M03,"7,700,323",-4.49,328.0,8.11,"13,943,304",6.42,97.9,10.79,"5,430,185",-7.40,14.0,4.86,"11,642,184",-7.03,"1,752,325",-11.32,"42,602",-25.89,"13,544",13.42,0.37,-19.57,0.77,28.33
2008M04,"7,272,161",-3.48,315.0,-0.43,"13,438,906",16.15,94.5,6.16,"5,738,897",5.03,14.9,4.00,"10,923,346",-17.68,"1,719,976",-8.98,"41,229",-31.52,"11,740",-6.54,0.38,-15.56,0.68,3.03
2008M05,"7,294,534",-5.73,309.6,4.31,"13,312,026",11.19,93.9,13.19,"5,341,043",-1.03,14.0,9.20,"9,291,380",-23.65,"1,628,144",-15.94,"33,770",-32.51,"9,800",-9.30,0.36,-12.20,0.60,7.14
2008M06,"7,785,566",-1.35,337.6,-0.95,"13,009,759",-2.02,92.0,-11.33,"4,910,938",-16.74,13.1,-14.86,"12,970,616",47.09,"1,926,259",13.69,"45,600",18.40,"11,006",21.44,0.35,-20.45,0.57,7.55
2008M07,"8,538,722",-4.36,351.3,3.86,"12,831,509",-24.87,87.8,-22.87,"4,905,515",-39.06,12.8,-31.82,"11,461,316",-21.68,"1,818,176",-17.89,"42,213",-31.40,"12,201",-9.40,0.37,-11.90,0.67,9.84
2008M08,"7,514,377",-12.44,317.1,1.61,"11,961,949",-25.10,83.6,-14.96,"4,470,067",-38.46,12.2,-25.48,"8,893,779",-27.36,"1,530,258",-22.28,"32,781",-35.39,"8,033",-42.78,0.37,-9.76,0.52,-26.76
2008M09,"8,092,753",13.94,341.9,4.81,"13,136,133",8.84,86.6,-8.69,"4,705,365",-19.05,12.8,-24.03,"11,753,045",29.46,"1,734,383",13.17,"43,401",8.43,"11,914",32.20,0.37,-15.91,0.69,16.95
2008M10,"8,189,930",0.50,330.8,2.96,"12,215,647",-16.47,76.9,-19.28,"5,018,879",-21.96,13.0,-14.67,"13,248,601",-8.61,"1,866,371",-9.36,"51,199",-18.82,"12,055",-20.55,0.39,-11.36,0.65,-12.16
2008M11,"6,478,045",-15.74,299.5,-2.64,"9,843,781",-28.05,66.9,-24.15,"3,910,269",-33.27,11.2,-20.65,"8,349,213",-30.16,"1,322,137",-27.69,"35,818",-26.32,"10,168",-3.73,0.43,4.88,0.77,32.76
2008M12,"8,069,522",2.15,321.1,1.03,"12,465,615",-6.05,73.1,-17.42,"4,701,425",-8.87,11.8,-12.03,"13,547,705",15.15,"1,870,783",0.82,"62,622",22.28,"16,817",29.18,0.46,4.55,0.90,28.57
2009M01,"5,585,606",-32.43,275.9,-12.27,"9,098,013",-36.20,73.4,-19.51,"4,020,643",-32.41,13.1,-11.94,"7,672,466",-38.58,"1,216,432",-37.65,"28,547",-36.17,"7,754",-32.40,0.37,2.78,0.64,8.47
2009M02,"5,710,012",-7.23,272.8,-17.45,"9,106,274",-8.66,61.8,-34.40,"3,642,596",-13.12,9.7,-31.57,"9,975,086",-1.09,"1,382,384",-5.42,"38,035",6.59,"9,208",14.57,0.38,8.57,0.67,21.82
2009M03,"6,130,004",-20.39,269.8,-17.75,"11,012,779",-21.02,65.8,-32.77,"4,849,222",-10.70,11.4,-18.52,"12,365,694",6.21,"1,575,231",-10.11,"45,859",7.65,"12,696",-6.26,0.37,0.00,0.81,5.19
2009M04,"5,748,000",-20.96,250.5,-20.47,"11,693,839",-12.99,67.3,-28.83,"5,008,293",-12.73,11.3,-24.36,"9,623,641",-11.90,"1,370,659",-20.31,"31,699",-23.11,"7,898",-32.73,0.33,-13.16,0.58,-14.71
2009M05,"5,360,370",-26.52,275.4,-11.05,"11,890,099",-10.68,82.3,-12.30,"4,885,594",-8.53,12.9,-7.66,"7,261,369",-21.85,"1,146,767",-29.57,"22,258",-34.09,"6,006",-38.71,0.31,-13.89,0.52,-13.33
2009M06,"6,356,277",-18.36,261.8,-22.46,"13,136,677",0.98,69.2,-24.79,"6,144,144",25.11,12.6,-4.28,"12,407,064",-4.34,"1,697,853",-11.86,"36,955",-18.96,"9,782",-11.12,0.30,-14.29,0.58,1.75
2009M07,"6,084,819",-28.74,245.8,-30.03,"12,738,504",-0.72,65.8,-25.02,"5,417,608",10.44,10.9,-15.06,"10,440,054",-8.91,"1,534,395",-15.61,"28,156",-33.30,"7,145",-41.44,0.27,-27.03,0.47,-29.85
2009M08,"5,894,118",-21.56,254.6,-19.70,"12,098,321",1.14,64.9,-22.30,"4,958,714",10.93,11.3,-7.12,"9,997,711",12.41,"1,464,227",-4.32,"27,224",-16.95,"6,782",-15.57,0.27,-27.03,0.46,-11.54
2009M09,"6,013,355",-25.69,240.4,-29.68,"12,973,478",-1.24,64.2,-25.84,"5,128,658",9.00,10.4,-19.16,"10,476,474",-10.86,"1,551,531",-10.54,"26,181",-39.68,"6,036",-49.34,0.25,-32.43,0.39,-43.48
2009M10,"5,834,746",-28.76,232.5,-29.71,"13,467,205",10.25,65.0,-15.50,"5,586,982",11.32,11.1,-14.77,"8,352,633",-36.95,"1,420,705",-23.88,"21,689",-57.64,"5,367",-55.48,0.26,-33.33,0.38,-41.54
2009M11,"5,802,933",-10.42,235.8,-21.27,"12,584,039",27.84,62.4,-6.76,"5,093,002",30.25,10.5,-6.36,"12,170,744",45.77,"1,592,774",20.47,"28,800",-19.59,"7,253",-28.67,0.24,-44.19,0.46,-40.26
2009M12,"7,009,218",-13.14,246.9,-23.10,"15,378,063",23.36,67.7,-7.41,"6,408,226",36.30,11.9,1.28,"10,800,259",-20.28,"1,734,358",-7.29,"24,888",-60.26,"7,453",-55.68,0.23,-50.00,0.43,-52.22
