期間,總計_原始值,總計_年增率(%),空氣污染(不含異味污染物)_原始值,空氣污染(不含異味污染物)_年增率(%),異味污染物_原始值,異味污染物_年增率(%),噪音_原始值,噪音_年增率(%),水污染_原始值,水污染_年增率(%),環境衛生_原始值,環境衛生_年增率(%),廢棄物_原始值,廢棄物_年增率(%),振動_原始值,振動_年增率(%),其他_原始值,其他_年增率(%)
2010M03,"17,181",11.41,"1,349",3.06,"4,372",29.27,"6,306",6.68,632,2.76,"3,448",22.14,973,-24.46,6,--,95,1.06
2010M04,"16,162",7.34,"1,047",-11.94,"4,421",36.66,"5,952",7.30,654,-2.24,"3,090",6.74,897,-37.32,10,66.67,91,7.06
2010M05,"17,540",6.95,"1,115",-28.98,"4,667",26.37,"5,785",7.77,688,-13.68,"4,136",29.94,978,-42.67,0,--,171,116.46
2010M06,"16,951",3.81,"1,021",-28.45,"4,673",14.82,"5,161",15.18,594,-21.74,"4,390",29.50,"1,014",-51.85,5,-16.67,93,3.33
2010M07,"18,386",2.19,"1,577",-22.58,"5,231",17.05,"4,489",7.65,728,-10.34,"5,056",43.72,"1,100",-61.67,5,0.00,200,80.18
2010M08,"17,884",17.26,"1,335",-11.18,"5,302",34.91,"4,243",21.51,853,29.44,"4,931",57.44,"1,099",-55.29,6,50.00,115,57.53
2010M09,"16,428",1.29,"1,140",-32.66,"5,029",13.88,"4,177",2.15,643,-6.81,"4,388",36.02,968,-51.26,4,33.33,79,-31.90
2010M10,"17,122",1.14,"1,374",-21.49,"4,994",18.76,"5,548",-4.23,625,-3.25,"3,583",16.60,920,-33.28,0,--,78,2.63
2010M11,"17,617",-3.83,"1,417",-34.91,"4,538",-1.30,"6,985",6.27,561,-5.40,"3,115",6.75,926,-31.20,7,75.00,68,-38.18
2010M12,"17,150",2.90,"1,672",-16.90,"4,716",17.43,"6,079",1.74,591,-5.44,"3,097",17.31,894,-31.65,5,0.00,96,11.63
