期間,消費者貸款--小計_原始值,消費者貸款--小計_年增率(%),消費者貸款--購置住宅貸款_原始值,消費者貸款--購置住宅貸款_年增率(%),消費者貸款--房屋修繕貸款_原始值,消費者貸款--房屋修繕貸款_年增率(%),消費者貸款--汽車貸款_原始值,消費者貸款--汽車貸款_年增率(%),消費者貸款--機關團體職工福利貸款_原始值,消費者貸款--機關團體職工福利貸款_年增率(%),消費者貸款--其他個人消費性貸款_原始值,消費者貸款--其他個人消費性貸款_年增率(%),消費者貸款--信用卡循環信用餘額_原始值,消費者貸款--信用卡循環信用餘額_年增率(%),建築貸款_原始值,建築貸款_年增率(%)
1999M07,"3,990,618",6.32,"2,521,214",7.28,"803,634",-0.42,"45,104",25.60,"62,070",10.89,"430,181",5.79,"128,415",31.18,"570,664",-2.07
1999M08,"3,993,692",6.00,"2,519,395",7.05,"801,426",-1.04,"45,526",26.47,"64,652",15.12,"431,681",4.73,"131,012",30.76,"568,860",-3.30
1999M09,"3,995,700",5.49,"2,517,124",6.59,"799,930",-1.73,"45,777",26.01,"63,630",13.35,"427,210",2.98,"142,029",35.41,"578,104",-2.58
1999M10,"3,995,082",4.99,"2,520,950",6.26,"798,124",-2.04,"46,064",29.11,"64,693",12.59,"420,469",1.19,"144,782",32.56,"577,548",-2.54
1999M11,"4,008,720",4.03,"2,525,593",4.54,"797,117",-2.25,"46,071",15.93,"65,250",16.05,"427,159",2.80,"147,530",33.54,"581,073",-5.21
1999M12,"4,050,223",4.56,"2,539,707",4.93,"799,768",-2.37,"46,431",13.37,"68,727",16.31,"444,514",6.37,"151,076",30.13,"591,918",-3.33
2000M01,"4,047,223",3.04,"2,529,594",2.70,"804,799",-1.69,"47,340",13.02,"69,272",15.27,"442,924",4.81,"153,294",26.26,"582,281",-5.09
2000M02,"4,050,284",3.01,"2,521,279",1.94,"805,110",-1.04,"47,341",10.86,"68,343",13.54,"448,484",6.94,"159,727",30.27,"583,331",-4.52
2000M03,"4,059,844",3.15,"2,527,972",1.84,"808,257",-0.33,"47,417",10.83,"68,626",14.61,"451,614",8.27,"155,958",26.66,"575,951",-4.00
2000M04,"4,074,095",2.87,"2,549,127",2.14,"810,259",-0.13,"47,664",10.18,"69,898",16.42,"438,108",2.09,"159,039",31.40,"575,106",-2.81
2000M05,"4,092,505",2.92,"2,553,736",1.75,"814,414",0.72,"48,013",9.55,"69,004",13.80,"449,033",4.70,"158,305",26.71,"577,078",-0.89
2000M06,"4,116,241",3.07,"2,560,800",1.52,"821,568",1.82,"48,275",8.08,"72,195",18.13,"449,446",4.04,"163,957",29.49,"583,858",0.41
2000M07,"4,147,733",3.94,"2,573,770",2.08,"825,561",2.73,"48,585",7.72,"72,926",17.49,"460,938",7.15,"165,953",29.23,"582,301",2.04
2000M08,"4,151,921",3.96,"2,572,606",2.11,"826,729",3.16,"48,490",6.51,"71,593",10.74,"463,073",7.27,"169,430",29.32,"579,037",1.79
2000M09,"4,182,704",4.68,"2,587,128",2.78,"829,629",3.71,"48,967",6.97,"73,812",16.00,"469,373",9.87,"173,795",22.37,"574,611",-0.60
2000M10,"4,232,822",5.95,"2,615,963",3.77,"834,457",4.55,"50,409",9.43,"76,199",17.79,"477,032",13.45,"178,762",23.47,"569,469",-1.40
2000M11,"4,268,503",6.48,"2,635,105",4.34,"846,152",6.15,"51,106",10.93,"76,310",16.95,"478,846",12.10,"180,984",22.68,"565,071",-2.75
2000M12,"4,296,486",6.08,"2,651,772",4.41,"849,621",6.23,"51,607",11.15,"76,737",11.65,"480,480",8.09,"186,269",23.29,"558,510",-5.64
2001M01,"4,301,010",6.27,"2,655,767",4.99,"842,700",4.71,"53,107",12.18,"75,808",9.44,"483,094",9.07,"190,534",24.29,"548,703",-5.77
2001M02,"4,294,670",6.03,"2,654,592",5.29,"836,387",3.88,"53,485",12.98,"74,593",9.15,"482,627",7.61,"192,986",20.82,"543,745",-6.79
2001M03,"4,289,526",5.66,"2,653,388",4.96,"828,631",2.52,"53,617",13.08,"73,484",7.08,"485,957",7.60,"194,449",24.68,"543,529",-5.63
2001M04,"4,286,608",5.22,"2,656,899",4.23,"819,890",1.19,"54,185",13.68,"72,124",3.18,"490,565",11.97,"192,945",21.32,"529,710",-7.89
