期間,本國籍-合計_原始值,本國籍-合計_年增率(%),本國籍占總出生(%)_原始值,本國籍占總出生(%)_年增率(%),本國籍-男_原始值,本國籍-男_年增率(%),本國籍-女_原始值,本國籍-女_年增率(%),大陸港澳地區與外國籍-計_原始值,大陸港澳地區與外國籍-計_年增率(%),大陸港澳地區與外國籍-男_原始值,大陸港澳地區與外國籍-男_年增率(%),大陸港澳地區與外國籍-女_原始值,大陸港澳地區與外國籍-女_年增率(%),大陸港澳地區-計_原始值,大陸港澳地區-計_年增率(%),大陸港澳地區-男_原始值,大陸港澳地區-男_年增率(%),大陸港澳地區-女_原始值,大陸港澳地區-女_年增率(%),外國籍-計_原始值,外國籍-計_年增率(%),外國籍-男_原始值,外國籍-男_年增率(%),外國籍-女_原始值,外國籍-女_年增率(%)
2005M10,"15,299",-8.94,87.01,-,"8,070",-9.42,"7,229",-8.40,"2,285",-5.66,"1,233",1.23,"1,052",-12.62,861,-11.15,468,-4.49,393,-17.95,"1,424",-2.00,765,5.08,659,-9.10
2005M11,"16,353",-10.41,87.45,-,"8,576",-9.24,"7,777",-11.68,"2,346",-9.91,"1,215",-11.25,"1,131",-8.42,895,-12.08,454,-16.08,441,-7.55,"1,451",-8.51,761,-8.09,690,-8.97
2005M12,"15,925",-8.31,87.91,-,"8,236",-8.63,"7,689",-7.97,"2,190",-12.96,"1,117",-14.54,"1,073",-11.25,826,-15.28,431,-12.22,395,-18.39,"1,364",-11.49,686,-15.93,678,-6.48
2006M01,"14,430",-7.43,87.58,-,"7,577",-6.29,"6,853",-8.66,"2,047",-9.22,"1,087",-9.19,960,-9.26,837,-2.79,448,0.67,389,-6.49,"1,210",-13.20,639,-15.03,571,-11.06
2006M02,"14,191",11.75,87.25,-,"7,413",12.23,"6,778",11.22,"2,073",10.97,"1,070",11.23,"1,003",10.71,820,18.33,410,12.95,410,24.24,"1,253",6.64,660,10.18,593,2.95
2006M03,"15,395",-7.25,87.85,-,"8,070",-6.59,"7,325",-7.98,"2,129",-9.67,"1,065",-13.20,"1,064",-5.84,873,-0.46,463,0.22,410,-1.20,"1,256",-15.14,602,-21.31,654,-8.53
2006M04,"13,314",-1.13,88.02,-,"6,972",-0.80,"6,342",-1.49,"1,812",-9.72,946,-9.73,866,-9.70,778,8.66,407,10.60,371,6.61,"1,034",-19.91,539,-20.74,495,-18.99
2006M05,"14,781",-0.62,88.21,-,"7,814",0.32,"6,967",-1.65,"1,976",-10.67,"1,059",-7.02,917,-14.54,865,4.47,459,13.05,406,-3.79,"1,111",-19.73,600,-18.14,511,-21.51
2006M06,"14,620",6.06,88.30,-,"7,701",7.44,"6,919",4.56,"1,938",-9.23,"1,047",-5.68,891,-13.07,853,0.83,467,5.90,386,-4.69,"1,085",-15.83,580,-13.30,505,-18.55
2006M07,"14,376",2.81,87.98,-,"7,652",4.97,"6,724",0.46,"1,964",-8.05,"1,001",-14.15,963,-0.72,863,6.28,468,4.70,395,8.22,"1,101",-16.84,533,-25.87,568,-6.12
2006M08,"15,208",-1.76,87.85,-,"7,877",-2.72,"7,331",-0.70,"2,103",-14.27,"1,102",-14.84,"1,001",-13.63,935,1.96,482,-2.82,453,7.60,"1,168",-23.96,620,-22.31,548,-25.75
