期間,結婚-對數(對)_原始值,結婚-對數(對)_年增率(%),結婚-粗結婚率(0/00)_原始值,結婚-粗結婚率(0/00)_年增率(%),離婚-對數(對)_原始值,離婚-對數(對)_年增率(%),離婚-粗離婚率(0/00)_原始值,離婚-粗離婚率(0/00)_年增率(%),本國人與外國人結婚登記人數-計(人)_原始值,本國人與外國人結婚登記人數-計(人)_年增率(%),本國人與外國人結婚登記人數-男(人)_原始值,本國人與外國人結婚登記人數-男(人)_年增率(%),本國人與外國人結婚登記人數-女(人)_原始值,本國人與外國人結婚登記人數-女(人)_年增率(%),本國人與外國人離婚登記人數-計(人)_原始值,本國人與外國人離婚登記人數-計(人)_年增率(%),本國人與外國人離婚登記人數-男(人)_原始值,本國人與外國人離婚登記人數-男(人)_年增率(%),本國人與外國人離婚登記人數-女(人)_原始值,本國人與外國人離婚登記人數-女(人)_年增率(%)
2005M04,"10,830",55.65,0.48,-,"5,027",-5.08,0.22,-,"1,018",-24.54,789,-30.79,229,9.57,306,13.33,256,22.49,50,-18.03
2005M05,"12,039",20.57,0.53,-,"5,529",4.76,0.24,-,"1,142",-28.98,892,-33.78,250,-4.21,360,24.14,293,29.07,67,6.35
2005M06,"10,223",13.91,0.45,-,"5,387",0.92,0.24,-,"1,112",-38.80,861,-45.64,251,7.73,358,16.23,292,16.33,66,15.79
2005M07,"10,817",13.28,0.48,-,"5,294",-3.62,0.23,-,"1,060",-46.92,843,-51.44,217,-16.86,341,22.22,284,19.33,57,39.02
2005M08,"7,276",-3.13,0.32,-,"6,063",11.51,0.27,-,"1,117",-40.30,881,-46.99,236,12.92,370,7.56,297,9.59,73,0.00
2005M09,"8,185",35.87,0.36,-,"5,523",4.21,0.24,-,951,-44.84,706,-53.43,245,17.79,334,0.91,274,2.24,60,-4.76
2005M10,"12,225",19.71,0.54,-,"5,329",7.01,0.23,-,916,-43.87,713,-50.42,203,4.64,312,-1.58,250,-1.19,62,-3.12
2005M11,"14,157",15.07,0.62,-,"5,531",5.92,0.24,-,874,-45.48,690,-50.07,184,-16.74,333,7.42,271,8.84,62,1.64
2005M12,"16,168",19.59,0.71,-,"5,219",-1.36,0.23,-,933,-48.40,737,-53.03,196,-17.99,314,8.65,247,6.01,67,19.64
2006M01,"16,442",10.18,0.72,-,"4,673",7.11,0.21,-,984,-48.88,748,-56.69,236,19.19,296,-1.33,249,0.81,47,-11.32
2006M02,"11,809",13.80,0.52,-,"4,861",36.05,0.21,-,727,-31.42,499,-42.04,228,14.57,310,42.86,255,44.89,55,34.15
2006M03,"12,407",-10.87,0.54,-,"5,959",3.94,0.26,-,905,-46.76,681,-52.08,224,-19.71,438,20.00,353,14.61,85,49.12
2006M04,"11,333",4.64,0.50,-,"4,978",-0.97,0.22,-,760,-25.34,551,-30.16,209,-8.73,343,12.09,292,14.06,51,2.00
2006M05,"11,930",-0.91,0.52,-,"5,608",1.43,0.25,-,846,-25.92,609,-31.73,237,-5.20,396,10.00,326,11.26,70,4.48
2006M06,"12,040",17.77,0.53,-,"5,848",8.56,0.26,-,782,-29.68,542,-37.05,240,-4.38,395,10.34,321,9.93,74,12.12
2006M07,"11,322",4.67,0.50,-,"5,284",-0.19,0.23,-,823,-22.36,596,-29.30,227,4.61,366,7.33,288,1.41,78,36.84
2006M08,"6,124",-15.83,0.27,-,"5,983",-1.32,0.26,-,724,-35.18,480,-45.52,244,3.39,410,10.81,317,6.73,93,27.40
2006M09,"4,986",-39.08,0.22,-,"5,130",-7.12,0.22,-,718,-24.50,528,-25.21,190,-22.45,391,17.07,317,15.69,74,23.33
2006M10,"11,477",-6.12,0.50,-,"5,239",-1.69,0.23,-,808,-11.79,571,-19.92,237,16.75,332,6.41,262,4.80,70,12.90
2006M11,"13,881",-1.95,0.61,-,"5,371",-2.89,0.23,-,698,-20.14,486,-29.57,212,15.22,360,8.11,283,4.43,77,24.19
2006M12,"18,918",17.01,0.83,-,"5,606",7.42,0.25,-,749,-19.72,525,-28.77,224,14.29,388,23.57,313,26.72,75,11.94
2007M01,"15,256",-7.21,0.67,-,"4,826",3.27,0.21,-,818,-16.87,599,-19.92,219,-7.20,355,19.93,281,12.85,74,57.45
2007M02,"10,986",-6.97,0.48,-,"3,316",-31.78,0.14,-,640,-11.97,468,-6.21,172,-24.56,261,-15.81,208,-18.43,53,-3.64
2007M03,"10,932",-11.89,0.48,-,"5,773",-3.12,0.25,-,887,-1.99,649,-4.70,238,6.25,468,6.85,379,7.37,89,4.71
2007M04,"11,288",-0.40,0.49,-,"4,763",-4.32,0.21,-,771,1.45,565,2.54,206,-1.44,367,7.00,317,8.56,50,-1.96
