期間,噸數(千公噸)-合計_原始值,噸數(千公噸)-合計_年增率(%),延噸公里(千噸公里)-合計_原始值,延噸公里(千噸公里)-合計_年增率(%),平均每噸貨物運距(公里)-合計_原始值,平均每噸貨物運距(公里)-合計_年增率(%),噸數(千公噸)-台鐵_原始值,噸數(千公噸)-台鐵_年增率(%),延噸公里(千噸公里)-台鐵_原始值,延噸公里(千噸公里)-台鐵_年增率(%),平均每噸貨物運距(公里)-台鐵_原始值,平均每噸貨物運距(公里)-台鐵_年增率(%),貨運收入(千元)-台鐵_原始值,貨運收入(千元)-台鐵_年增率(%),噸數(千公噸)-生產事業機構_原始值,噸數(千公噸)-生產事業機構_年增率(%),延噸公里(千噸公里)-生產事業機構_原始值,延噸公里(千噸公里)-生產事業機構_年增率(%)
2013M03,"1,058",-16.33,"69,540",-4.51,65.7,14.14,961,0.05,"69,129",-4.29,71.9,-4.35,"80,258",-5.02,97,-68.01,411,-30.42
2013M04,924,-25.50,"59,439",-20.46,64.3,6.77,873,-7.75,"59,395",-19.90,68.1,-13.17,"70,062",-20.39,51,-82.52,44,-92.38
2013M05,863,-32.72,"55,984",-30.93,64.9,2.66,859,-15.19,"55,972",-30.71,65.2,-18.31,"65,670",-30.74,4,-98.42,12,-95.66
2013M06,814,-20.88,"57,471",-15.29,70.6,7.07,806,-1.12,"57,456",-15.03,71.2,-14.07,"66,342",-16.07,7,-96.52,15,-93.47
2013M07,928,-28.99,"63,144",-21.30,68.0,10.84,922,-8.96,"63,138",-21.03,68.5,-13.26,"73,857",-21.22,6,-98.08,7,-97.61
2013M08,922,-10.16,"57,356",0.93,62.2,12.35,848,13.69,"57,306",1.33,67.6,-10.87,"67,654",2.72,74,-73.60,50,-81.87
2013M09,846,-31.30,"56,666",-22.76,67.0,12.44,846,-11.04,"56,664",-22.41,67.0,-12.78,"66,992",-20.61,0,-99.91,2,-99.27
2013M10,933,-26.79,"65,153",-17.79,69.8,12.29,933,-8.14,"65,152",-17.52,69.8,-10.22,"76,139",-16.73,0,-99.97,1,-99.57
2013M11,981,-12.72,"65,859",-9.88,67.1,3.25,981,2.28,"65,859",-9.65,67.1,-11.66,"78,945",-8.05,-,--,-,--
2013M12,"1,015",2.27,"64,578",-3.27,63.7,-5.41,985,16.45,"64,261",-3.17,65.2,-16.85,"76,446",-0.72,29,-79.97,316,-19.16
2014M01,986,-13.03,"59,910",-16.06,60.8,-3.48,930,-6.30,"59,381",-16.08,63.9,-10.44,"70,757",-14.22,56,-60.35,529,-14.32
2014M02,730,-2.53,"41,931",-1.60,57.4,0.95,687,5.27,"41,512",-1.61,60.4,-6.53,"49,950",0.16,43,-55.22,419,-1.11
2014M03,"1,066",0.75,"60,044",-13.66,56.3,-14.30,"1,008",4.88,"59,469",-13.97,59.0,-17.98,"71,333",-11.12,59,-39.97,575,39.87
2014M04,950,2.78,"57,753",-2.84,60.8,-5.47,942,7.91,"57,684",-2.88,61.3,-10.00,"67,820",-3.20,8,-84.21,69,55.45
2014M05,950,10.04,"58,520",4.53,61.6,-5.00,949,10.48,"58,514",4.54,61.7,-5.38,"68,729",4.66,1,-79.81,6,-49.78
2014M06,906,11.36,"55,696",-3.09,61.5,-12.98,905,12.26,"55,686",-3.08,61.5,-13.66,"66,896",0.84,1,-86.10,10,-32.10
2014M07,910,-1.93,"57,013",-9.71,62.6,-7.93,909,-1.42,"57,004",-9.71,62.7,-8.41,"66,892",-9.43,1,-84.55,9,29.00
