期間,出口總值_原始值,出口總值_年增率(%),出口總值_原始值,出口總值_年增率(%),進口總值_原始值,進口總值_年增率(%),進口總值_原始值,進口總值_年增率(%)
1996M01,"295,952",50.47,"10,848.7",45.01,"265,575",34.42,"9,699.6",29.56
1996M02,"209,771",-7.26,"7,653.1",-11.15,"191,997",-5.59,"6,979.2",-9.53
1996M03,"250,471",4.53,"9,134.6",-0.16,"225,128",2.99,"8,180.5",-1.61
1996M04,"277,449",11.43,"10,222.9",5.48,"253,352",2.13,"9,300.7",-3.31
1996M05,"262,616",1.81,"9,676.4",-4.79,"212,906",-10.02,"7,815.9",-15.83
1996M06,"270,961",20.73,"9,824.6",12.46,"259,095",9.57,"9,360.4",2.09
1996M07,"264,890",-1.18,"9,604.4",-7.31,"225,834",-10.12,"8,158.7",-15.67
1996M08,"270,505",0.13,"9,850.9",-2.06,"237,807",-1.43,"8,628.7",-3.58
1996M09,"273,159",12.68,"9,951.2",12.56,"213,636",-3.97,"7,754.5",-4.08
1996M10,"273,306",-5.29,"9,963.8",-6.84,"241,262",-2.49,"8,763.6",-4.08
1996M11,"286,466",4.44,"10,428.3",2.95,"249,125",6.92,"9,036.1",5.41
1996M12,"285,987",11.35,"10,422.3",10.62,"254,591",16.23,"9,244.4",15.47
1997M01,"287,649",-2.81,"10,494.3",-3.27,"256,891",-3.27,"9,338.1",-3.73
1997M02,"215,298",2.63,"7,849.0",2.56,"208,914",8.81,"7,588.6",8.73
1997M03,"297,776",18.89,"10,840.0",18.67,"280,351",24.53,"10,168.7",24.30
1997M04,"274,996",-0.88,"9,989.0",-2.29,"278,950",10.10,"10,095.9",8.55
1997M05,"285,715",8.80,"10,333.3",6.79,"238,698",12.11,"8,601.7",10.05
1997M06,"282,414",4.23,"10,151.5",3.33,"270,844",4.53,"9,700.7",3.64
1997M07,"302,376",14.15,"10,861.2",13.09,"284,492",25.97,"10,182.2",24.80
1997M08,"274,882",1.62,"9,679.0",-1.75,"264,009",11.02,"9,263.5",7.36
1997M09,"314,879",15.27,"11,009.8",10.64,"280,821",31.45,"9,784.7",26.18
1997M10,"302,661",10.74,"10,615.9",6.54,"269,340",11.64,"9,414.2",7.42
