期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),水污染_原始值,水污染_年增率(%),水污染_原始值,水污染_年增率(%),廢棄物_原始值,廢棄物_年增率(%),廢棄物_原始值,廢棄物_年增率(%),空氣污染_原始值,空氣污染_年增率(%),空氣污染_原始值,空氣污染_年增率(%),噪音_原始值,噪音_年增率(%),噪音_原始值,噪音_年增率(%),毒性化學物質_原始值,毒性化學物質_年增率(%),毒性化學物質_原始值,毒性化學物質_年增率(%),環境用藥_原始值,環境用藥_年增率(%),環境用藥_原始值,環境用藥_年增率(%),飲用水_原始值,飲用水_年增率(%),飲用水_原始值,飲用水_年增率(%),環境影響評估_原始值,環境影響評估_年增率(%),環境影響評估_原始值,環境影響評估_年增率(%),土壤及地下水污染_原始值,土壤及地下水污染_年增率(%),土壤及地下水污染_原始值,土壤及地下水污染_年增率(%),海洋污染_原始值,海洋污染_年增率(%),海洋污染_原始值,海洋污染_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%)
2005M03,"10,740",105.16,341,29.66,834,2.08,51,-26.09,"6,805",139.87,251,59.87,"2,112",142.76,37,15.62,18,-25.00,2,-33.33,526,2.73,0,--,0,--,0,--,236,74.81,0,--,0,--,0,--,33,-17.50,0,--,4,--,0,--,172,--,0,--
2005M04,"9,603",46.25,371,20.45,675,-23.81,67,-1.47,"6,303",79.37,202,18.82,"1,908",41.23,98,58.06,13,30.00,1,-80.00,380,-29.24,0,--,0,--,0,--,177,9.94,3,200.00,1,--,0,--,25,-64.79,0,--,4,--,0,--,117,225.00,0,--
2005M05,"11,363",80.42,382,-5.21,752,-5.88,49,-32.88,"7,450",108.92,246,-0.40,"1,971",55.32,80,1.27,18,157.14,1,-50.00,794,55.38,6,200.00,0,--,0,--,229,182.72,0,--,0,--,0,--,17,-63.04,0,--,0,--,0,--,132,594.74,0,--
2005M06,"7,492",20.41,241,-31.73,671,-17.87,50,-31.51,"4,704",33.56,130,-36.27,"1,195",2.14,50,-33.33,22,37.50,1,0.00,477,-3.25,10,--,0,--,0,--,300,200.00,0,--,3,200.00,0,--,73,-1.35,0,--,2,--,0,--,45,55.17,0,--
2005M07,"6,135",-26.85,295,-13.24,685,-3.25,35,-32.69,"3,581",-35.08,216,-6.90,"1,135",-21.29,43,-18.87,14,75.00,1,-50.00,406,-1.93,0,--,0,--,0,--,229,10.10,0,--,0,--,0,--,7,-90.14,0,--,30,--,0,--,48,182.35,0,--
2005M08,"8,629",-4.29,390,-6.47,865,29.49,42,-10.64,"4,962",-21.30,264,10.46,"1,817",34.99,80,-38.46,29,52.63,1,0.00,616,23.45,3,--,0,--,0,--,265,99.25,0,--,0,--,0,--,19,-50.00,0,--,8,--,0,--,48,585.71,0,--
2005M09,"9,516",-17.90,399,-32.72,998,78.53,50,2.04,"5,510",-38.69,252,-40.98,"2,010",35.81,89,-21.24,32,77.78,7,250.00,598,60.75,1,-50.00,0,--,0,--,287,462.75,0,--,0,--,0,--,17,-85.95,0,--,3,--,0,--,61,"1,933.33",0,--
2005M10,"8,173",-31.57,369,-26.49,824,7.71,45,-11.76,"4,519",-49.17,213,-30.62,"1,824",9.22,106,-25.35,51,264.29,3,--,566,26.62,1,-50.00,0,--,0,--,301,262.65,0,--,2,--,0,--,27,-58.46,0,--,52,--,0,--,7,-12.50,1,--
2005M11,"8,632",-19.15,344,-10.88,881,8.23,52,10.64,"4,951",-31.02,246,8.85,"1,850",-0.32,40,-61.90,52,57.58,5,66.67,598,7.36,1,-66.67,0,--,0,--,239,378.00,0,--,1,--,0,--,11,-70.27,0,--,49,--,0,--,0,--,0,--
2005M12,"8,334",-6.55,276,-16.62,834,18.97,36,44.00,"4,854",-9.08,177,-2.21,"1,964",-4.80,55,-54.92,39,85.71,6,100.00,492,-6.11,2,--,0,--,0,--,135,29.81,0,--,2,--,0,--,11,-60.71,0,--,1,--,0,--,2,-98.55,0,--
2006M01,"6,335",-19.34,272,-34.30,700,-7.65,52,-22.39,"3,909",-22.49,179,-13.94,"1,083",-19.30,38,-72.66,45,200.00,2,--,410,-19.45,1,--,0,--,0,--,149,577.27,0,--,0,--,0,--,12,-69.23,0,--,3,--,0,--,24,-80.95,0,--
2006M02,"6,674",77.88,180,-17.43,534,73.38,36,16.13,"4,125",52.21,113,0.00,"1,471",244.50,29,-60.81,26,62.50,1,--,297,56.32,0,--,0,--,0,--,201,--,1,--,0,--,0,--,16,100.00,0,--,4,--,0,--,0,--,0,--
2006M03,"8,278",-22.92,351,2.93,896,7.43,108,111.76,"4,445",-34.68,161,-35.86,"2,066",-2.18,75,102.70,77,327.78,3,50.00,549,4.37,1,--,0,--,0,--,232,-1.69,1,--,0,--,0,--,11,-66.67,0,--,2,-50.00,0,--,0,--,2,--
2006M04,"6,476",-32.56,312,-15.90,824,22.07,57,-14.93,"2,706",-57.07,169,-16.34,"1,919",0.58,80,-18.37,64,392.31,3,200.00,622,63.68,3,--,0,--,0,--,303,71.19,0,--,0,--,0,--,7,-72.00,0,--,1,-75.00,0,--,30,-74.36,0,--
2006M05,"6,411",-43.58,339,-11.26,972,29.26,83,69.39,"2,548",-65.80,164,-33.33,"1,939",-1.62,87,8.75,73,305.56,2,100.00,611,-23.05,1,-83.33,0,--,0,--,243,6.11,1,--,0,--,0,--,16,-5.88,0,--,9,--,1,--,0,--,0,--
2006M06,"6,789",-9.38,304,26.14,938,39.79,39,-22.00,"2,516",-46.51,175,34.62,"2,332",95.15,87,74.00,24,9.09,1,0.00,636,33.33,2,-80.00,0,--,0,--,323,7.67,0,--,0,--,0,--,13,-82.19,0,--,7,250.00,0,--,0,--,0,--
2006M07,"7,347",19.76,351,18.98,821,19.85,59,68.57,"4,184",16.84,210,-2.78,"1,569",38.24,79,83.72,37,164.29,3,200.00,570,40.39,0,--,0,--,0,--,153,-33.19,0,--,0,--,0,--,9,28.57,0,--,4,-86.67,0,--,0,--,0,--
2006M08,"10,488",21.54,430,10.26,888,2.66,56,33.33,"6,599",32.99,267,1.14,"2,110",16.13,102,27.50,16,-44.83,4,300.00,617,0.16,1,-66.67,0,--,0,--,250,-5.66,0,--,0,--,0,--,8,-57.89,0,--,0,--,0,--,0,--,0,--
2006M09,"10,338",8.64,405,1.50,845,-15.33,62,24.00,"7,313",32.72,271,7.54,"1,354",-32.64,68,-23.60,31,-3.12,4,-42.86,545,-8.86,0,--,0,--,0,--,247,-13.94,0,--,0,--,0,--,3,-82.35,0,--,0,--,0,--,0,--,0,--
2006M10,"15,081",84.52,310,-15.99,637,-22.69,34,-24.44,"12,006",165.68,207,-2.82,"1,581",-13.32,67,-36.79,24,-52.94,2,-33.33,419,-25.97,0,--,0,--,0,--,402,33.55,0,--,0,--,0,--,12,-55.56,0,--,0,--,0,--,0,--,0,--
2006M11,"17,351",101.01,386,12.21,840,-4.65,62,19.23,"12,884",160.23,204,-17.07,"2,912",57.41,116,190.00,43,-17.31,4,-20.00,519,-13.21,0,--,0,--,0,--,148,-38.08,0,--,0,--,0,--,5,-54.55,0,--,0,--,0,--,0,--,0,--
2006M12,"13,212",58.53,281,1.81,746,-10.55,74,105.56,"9,758",101.03,132,-25.42,"2,021",2.90,70,27.27,29,-25.64,4,-33.33,439,-10.77,1,-50.00,0,--,0,--,198,46.67,0,--,0,--,0,--,1,-90.91,0,--,3,200.00,0,--,17,750.00,0,--
2007M01,"8,269",30.53,325,19.49,876,25.14,103,98.08,"4,426",13.23,132,-26.26,"2,116",95.38,83,118.42,44,-2.22,5,150.00,533,30.00,2,100.00,0,--,0,--,255,71.14,0,--,0,--,0,--,12,0.00,0,--,3,0.00,0,--,4,-83.33,0,--
2007M02,"3,665",-45.09,140,-22.22,362,-32.21,19,-47.22,"1,915",-53.58,51,-54.87,895,-39.16,70,141.38,9,-65.38,0,--,317,6.73,0,--,0,--,0,--,163,-18.91,0,--,0,--,0,--,3,-81.25,0,--,1,-75.00,0,--,0,--,0,--
2007M03,"8,492",2.59,298,-15.10,969,8.15,60,-44.44,"4,318",-2.86,171,6.21,"2,041",-1.21,62,-17.33,60,-22.08,1,-66.67,741,34.97,4,300.00,0,--,0,--,329,41.81,0,--,0,--,0,--,8,-27.27,0,--,0,--,0,--,26,--,0,--
2007M04,"8,461",30.65,303,-2.88,940,14.08,68,19.30,"4,721",74.46,153,-9.47,"1,866",-2.76,80,0.00,90,40.62,2,-33.33,583,-6.27,0,--,1,--,0,--,232,-23.43,0,--,0,--,0,--,13,85.71,0,--,1,0.00,0,--,14,-53.33,0,--
2007M05,"9,588",49.56,328,-3.24,995,2.37,80,-3.61,"5,622",120.64,151,-7.93,"1,905",-1.75,88,1.15,35,-52.05,5,150.00,654,7.04,4,300.00,0,--,0,--,343,41.15,0,--,0,--,0,--,1,-93.75,0,--,0,--,0,--,33,--,0,--
2007M06,"10,200",50.24,253,-16.78,900,-4.05,69,76.92,"6,155",144.63,117,-33.14,"2,423",3.90,63,-27.59,11,-54.17,0,--,468,-26.42,3,50.00,0,--,0,--,216,-33.13,1,--,0,--,0,--,1,-92.31,0,--,0,--,0,--,26,--,0,--
2007M07,"12,811",74.37,288,-17.95,812,-1.10,53,-10.17,"9,535",127.89,166,-20.95,"1,680",7.07,67,-15.19,28,-24.32,1,-66.67,472,-17.19,1,--,0,--,0,--,278,81.70,0,--,0,--,0,--,4,-55.56,0,--,0,--,0,--,2,--,0,--
2007M08,"13,214",25.99,320,-25.58,838,-5.63,49,-12.50,"9,192",39.29,197,-26.22,"2,379",12.75,71,-30.39,12,-25.00,2,-50.00,512,-17.02,0,--,0,--,0,--,279,11.60,0,--,0,--,0,--,2,-75.00,1,--,0,--,0,--,0,--,0,--
