期間,店頭市場契約-遠期契約_原始值,店頭市場契約-遠期契約_年增率(%),店頭市場契約-交換_原始值,店頭市場契約-交換_年增率(%),店頭市場契約-買入選擇權_原始值,店頭市場契約-買入選擇權_年增率(%),店頭市場契約-賣出選擇權_原始值,店頭市場契約-賣出選擇權_年增率(%),交易所契約-期貨-長部位_原始值,交易所契約-期貨-長部位_年增率(%),交易所契約-期貨-短部位_原始值,交易所契約-期貨-短部位_年增率(%),交易所契約-買入選擇權_原始值,交易所契約-買入選擇權_年增率(%),交易所契約-賣出選擇權_原始值,交易所契約-賣出選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%)
2012Q1,"12,113",206.35,"25,348,298",-13.83,"780,489",-43.58,"864,642",-41.21,"1,472",-81.55,"67,052",70.62,0,-100.00,0,-100.00,"27,074,066",-16.27
2012Q2,"14,907",20.99,"23,638,117",-14.76,"692,874",-40.65,"747,662",-39.34,"6,613",-27.02,"66,754",-32.29,0,-100.00,0,-100.00,"25,166,927",-16.84
2012Q3,"9,644",-51.75,"22,725,637",-23.60,"558,613",-51.72,"626,273",-48.84,"2,448",-77.18,"35,014",-25.30,0,--,0,-100.00,"23,957,629",-25.63
2012Q4,"2,876",28.68,"22,287,357",-14.32,"444,571",-54.04,"496,502",-51.75,"1,075",-93.68,"56,096",43.62,0,--,0,--,"23,288,477",-17.02
2013Q1,"2,957",-75.59,"21,082,534",-16.83,"351,336",-54.99,"414,703",-52.04,"12,501",749.25,"66,478",-0.86,0,--,0,--,"21,930,509",-19.00
2013Q2,"2,981",-80.00,"20,865,615",-11.73,"332,053",-52.08,"392,376",-47.52,"6,281",-5.02,"30,578",-54.19,0,--,0,--,"21,629,884",-14.05
2013Q3,"7,013",-27.28,"19,889,224",-12.48,"314,512",-43.70,"381,290",-39.12,"11,782",381.29,"46,368",32.43,0,--,0,--,"20,650,189",-13.81
2013Q4,"1,072",-62.73,"18,844,755",-15.45,"293,289",-34.03,"353,409",-28.82,"19,900","1,751.16","54,392",-3.04,0,--,0,--,"19,566,817",-15.98
2014Q1,"1,095",-62.97,"18,773,662",-10.95,"257,726",-26.64,"320,357",-22.75,"28,636",129.07,"83,792",26.04,0,--,0,--,"19,465,268",-11.24
2014Q2,0,-100.00,"17,236,596",-17.39,"237,126",-28.59,"289,203",-26.29,"55,530",784.09,"93,475",205.69,0,--,0,--,"17,911,930",-17.19
