期間,合計_原始值,合計_年增率(%),男性_原始值,男性_年增率(%),女性_原始值,女性_年增率(%),年滿十五歲以上按經濟活動分-合計_原始值,年滿十五歲以上按經濟活動分-合計_年增率(%),年滿十五歲以上按經濟活動分-商_原始值,年滿十五歲以上按經濟活動分-商_年增率(%),年滿十五歲以上按經濟活動分-工程師_原始值,年滿十五歲以上按經濟活動分-工程師_年增率(%),年滿十五歲以上按經濟活動分-教師_原始值,年滿十五歲以上按經濟活動分-教師_年增率(%),年滿十五歲以上按經濟活動分-傳教士_原始值,年滿十五歲以上按經濟活動分-傳教士_年增率(%),年滿十五歲以上按經濟活動分-技工技匠_原始值,年滿十五歲以上按經濟活動分-技工技匠_年增率(%),年滿十五歲以上按經濟活動分-外籍勞工_原始值,年滿十五歲以上按經濟活動分-外籍勞工_年增率(%),年滿十五歲以上按經濟活動分-其他_原始值,年滿十五歲以上按經濟活動分-其他_年增率(%),年滿十五歲以上按經濟活動分-失業_原始值,年滿十五歲以上按經濟活動分-失業_年增率(%),年滿十五歲以上按經濟活動分-非勞動力_原始值,年滿十五歲以上按經濟活動分-非勞動力_年增率(%),未滿十五歲者_原始值,未滿十五歲者_年增率(%)
2000M11,"392,858",...,"188,171",...,"204,687",...,"387,189",...,"4,979",...,"2,446",...,"4,329",...,"1,920",...,625,...,"311,403",...,"17,476",...,"2,622",...,"41,389",...,"5,669",...
2000M12,"388,189",...,"183,171",...,"205,018",...,"382,833",...,"4,049",...,"2,020",...,"3,812",...,"1,907",...,513,...,"308,122",...,"16,969",...,"2,561",...,"42,880",...,"5,356",...
2001M01,"386,062",13.33,"178,303",-3.10,"207,759",32.62,"380,743",13.80,"4,760",4.45,"2,261",2.91,"3,706",19.78,"1,906",1.98,540,-3.57,"305,235",8.34,"17,737",51.62,"2,542",8.40,"42,056",58.54,"5,319",-12.57
2001M02,"400,189",14.80,"186,369",-0.94,"213,820",33.25,"394,635",15.28,"5,074",8.56,"2,503",15.67,"4,400",29.18,"1,949",2.96,582,6.01,"311,536",8.89,"18,947",53.11,"2,679",14.10,"46,965",63.02,"5,554",-11.52
2001M03,"399,930",14.21,"185,351",-1.10,"214,579",31.82,"394,667",14.66,"4,937",13.16,"2,496",16.80,"4,237",22.39,"1,936",3.70,565,3.67,"310,654",8.00,"18,385",47.43,"2,694",15.77,"48,763",65.95,"5,263",-12.09
2001M04,"405,417",14.74,"186,145",-0.40,"219,272",31.75,"399,988",15.19,"5,086",12.08,"2,502",14.88,"4,696",27.64,"1,927",1.31,566,2.54,"312,656",8.27,"18,839",44.96,"2,728",13.76,"50,988",68.69,"5,429",-10.77
2001M05,"405,624",13.26,"185,326",-0.82,"220,298",28.61,"400,348",13.68,"5,291",12.17,"2,575",13.59,"4,722",26.46,"1,940",4.70,603,9.24,"311,433",6.31,"18,658",41.63,"2,747",14.32,"52,379",71.61,"5,276",-11.58
2001M06,"400,775",11.54,"182,089",-1.98,"218,686",26.02,"396,122",11.91,"5,059",9.27,"2,500",10.08,"4,122",28.45,"1,825",6.60,603,2.55,"310,246",4.25,"17,792",41.25,"2,722",17.73,"51,253",76.41,"4,653",-12.55
2001M07,"396,563",9.74,"179,435",-3.01,"217,128",23.10,"392,286",10.00,"5,073",11.57,"2,595",14.17,"3,692",26.66,"1,782",8.66,605,-0.33,"307,683",1.94,"17,112",39.53,"2,710",19.54,"51,034",80.42,"4,277",-9.92
2001M08,"398,099",7.93,"178,662",-4.05,"219,437",20.13,"393,205",8.22,"5,112",6.21,"2,668",16.71,"4,217",25.81,"1,827",4.46,613,-3.31,"304,070",0.15,"17,857",29.60,"2,818",19.31,"54,023",75.64,"4,894",-11.53
2001M09,"398,187",4.77,"177,772",-5.51,"220,415",14.84,"393,263",5.03,"5,057",3.20,"2,591",11.63,"4,578",20.51,"1,911",6.40,581,-9.36,"301,620",-2.18,"17,776",15.26,"2,907",17.55,"56,242",61.95,"4,924",-12.63
2001M10,"397,667",2.54,"176,058",-6.56,"221,609",11.15,"392,772",2.78,"5,204",7.39,"2,782",17.88,"4,971",20.28,"1,939",3.36,585,-7.58,"298,259",-4.00,"17,755",6.80,"2,982",16.30,"58,295",51.63,"4,895",-13.26
2001M11,"394,034",0.30,"173,471",-7.81,"220,563",7.76,"389,141",0.50,"5,192",4.28,"2,821",15.33,"5,140",18.73,"1,933",0.68,595,-4.80,"293,486",-5.75,"17,622",0.84,"3,026",15.41,"59,326",43.34,"4,893",-13.69
2001M12,"383,663",-1.17,"167,094",-8.78,"216,569",5.63,"379,048",-0.99,"4,053",0.10,"2,269",12.33,"4,435",16.34,"1,925",0.94,491,-4.29,"287,337",-6.75,"16,140",-4.89,"3,022",18.00,"59,376",38.47,"4,615",-13.83
2002M01,"388,363",0.60,"168,734",-5.37,"219,629",5.71,"383,773",0.80,"5,179",8.80,"2,869",26.89,"4,752",28.22,"1,934",1.47,583,7.96,"290,209",-4.92,"17,216",-2.94,"3,068",20.69,"57,963",37.82,"4,590",-13.71
2002M02,"390,670",-2.38,"169,189",-9.22,"221,481",3.58,"385,981",-2.19,"4,945",-2.54,"2,759",10.23,"5,054",14.86,"1,936",-0.67,562,-3.44,"290,247",-6.83,"17,381",-8.27,"3,111",16.13,"59,986",27.72,"4,689",-15.57
2002M03,"389,340",-2.65,"167,966",-9.38,"221,374",3.17,"384,893",-2.48,"4,913",-0.49,"2,753",10.30,"4,960",17.06,"1,969",1.70,560,-0.88,"288,610",-7.10,"17,206",-6.41,"3,120",15.81,"60,802",24.69,"4,447",-15.50
2002M04,"390,017",-3.80,"166,825",-10.38,"223,192",1.79,"385,460",-3.63,"4,806",-5.51,"2,810",12.31,"5,289",12.63,"1,943",0.83,562,-0.71,"287,108",-8.17,"17,946",-4.74,"3,134",14.88,"61,862",21.33,"4,557",-16.06
2002M05,"395,755",-2.43,"167,649",-9.54,"228,106",3.54,"391,065",-2.32,"4,834",-8.64,"2,873",11.57,"5,327",12.81,"1,925",-0.77,534,-11.44,"291,086",-6.53,"17,916",-3.98,"3,225",17.40,"63,345",20.94,"4,690",-11.11
2002M06,"395,206",-1.39,"166,693",-8.46,"228,513",4.49,"390,986",-1.30,"4,629",-8.50,"2,899",15.96,"4,813",16.76,"1,846",1.15,516,-14.43,"293,481",-5.40,"16,955",-4.70,"3,277",20.39,"62,570",22.08,"4,220",-9.31
2002M07,"394,389",-0.55,"165,279",-7.89,"229,110",5.52,"390,482",-0.46,"4,470",-11.89,"2,904",11.91,"4,214",14.14,"1,768",-0.79,489,-19.17,"294,662",-4.23,"16,081",-6.03,"3,304",21.92,"62,590",22.64,"3,907",-8.65
2002M08,"399,372",0.32,"166,877",-6.60,"232,495",5.95,"394,906",0.43,"4,541",-11.17,"3,000",12.44,"4,739",12.38,"1,882",3.01,493,-19.58,"294,651",-3.10,"16,963",-5.01,"3,489",23.81,"65,148",20.59,"4,466",-8.75
2002M09,"404,929",1.69,"168,121",-5.43,"236,808",7.44,"400,317",1.79,"4,730",-6.47,"3,098",19.57,"5,293",15.62,"1,935",1.26,501,-13.77,"296,380",-1.74,"17,225",-3.10,"3,613",24.29,"67,542",20.09,"4,612",-6.34
2002M10,"406,912",2.32,"166,931",-5.18,"239,981",8.29,"402,205",2.40,"4,638",-10.88,"3,193",14.77,"5,656",13.78,"1,952",0.67,465,-20.51,"295,763",-0.84,"17,327",-2.41,"3,763",26.19,"69,448",19.13,"4,707",-3.84
2002M11,"405,937",3.02,"165,278",-4.72,"240,659",9.11,"401,197",3.10,"4,819",-7.18,"3,296",16.84,"5,866",14.12,"1,973",2.07,460,-22.69,"293,021",-0.16,"17,366",-1.45,"3,843",27.00,"70,553",18.92,"4,740",-3.13
2002M12,"405,751",5.76,"164,388",-1.62,"241,363",11.45,"395,090",4.23,"4,987",23.04,"3,416",50.55,"5,976",34.75,"2,014",4.62,391,-20.37,"288,878",0.54,"13,797",-14.52,"4,043",33.79,"71,588",20.57,"10,661",131.01
2003M01,"388,370",0.00,"152,571",-9.58,"235,799",7.36,"384,229",0.12,"3,388",-34.58,"2,487",-13.31,"4,610",-2.99,"1,960",1.34,330,-43.40,"285,870",-1.50,"14,976",-13.01,"3,727",21.48,"66,881",15.39,"4,141",-9.78
2003M02,"406,134",3.96,"164,898",-2.54,"241,236",8.92,"401,450",4.01,"4,840",-2.12,"3,363",21.89,"5,936",17.45,"2,001",3.36,402,-28.47,"291,681",0.49,"17,216",-0.95,"3,987",28.16,"72,024",20.07,"4,684",-0.11
2003M03,"405,751",4.22,"164,388",-2.13,"241,363",9.03,"395,090",2.65,"4,987",1.51,"3,416",24.08,"5,976",20.48,"2,014",2.29,391,-30.18,"288,878",0.09,"13,797",-19.81,"4,043",29.58,"71,588",17.74,"10,661",139.73
2003M04,"405,760",4.04,"163,459",-2.02,"242,301",8.56,"394,588",2.37,"5,032",4.70,"3,452",22.85,"6,319",19.47,"2,050",5.51,390,-30.60,"285,463",-0.57,"14,107",-21.39,"4,116",31.33,"73,659",19.07,"11,172",145.16
2003M05,"397,721",0.50,"158,736",-5.32,"238,985",4.77,"388,222",-0.73,"4,945",2.30,"3,461",20.47,"6,016",12.93,"1,964",2.03,368,-31.09,"280,277",-3.71,"13,737",-23.33,"4,045",25.43,"73,409",15.89,"9,499",102.54
2003M06,"393,708",-0.38,"155,557",-6.68,"238,151",4.22,"385,023",-1.53,"4,796",3.61,"3,520",21.42,"5,496",14.19,"1,862",0.87,358,-30.62,"278,973",-4.94,"13,504",-20.35,"3,993",21.85,"72,521",15.90,"8,685",105.81
2003M07,"391,388",-0.76,"153,937",-6.86,"237,451",3.64,"382,955",-1.93,"4,602",2.95,"3,512",20.94,"4,907",16.45,"1,827",3.34,329,-32.72,"278,533",-5.47,"13,346",-17.01,"3,978",20.40,"71,921",14.91,"8,433",115.84
2003M08,"397,264",-0.53,"156,156",-6.42,"240,661",3.51,"386,933",-2.02,"4,791",5.51,"3,622",20.73,"5,506",16.18,"1,921",2.07,326,-33.87,"278,800",-5.38,"13,956",-17.73,"4,044",15.91,"73,967",13.54,"10,331",131.33
2003M09,"402,792",-0.53,"159,210",-5.30,"243,582",2.86,"392,096",-2.05,"4,908",3.76,"3,772",21.76,"5,990",13.17,"2,001",3.41,334,-33.33,"280,828",-5.25,"13,879",-19.43,"4,018",11.21,"76,366",13.06,"10,696",131.92
2003M10,"405,296",-0.40,"159,387",-4.52,"245,909",2.47,"394,549",-1.90,"4,839",4.33,"3,743",17.23,"6,386",12.91,"2,031",4.05,321,-30.97,"281,294",-4.89,"14,092",-18.67,"4,036",7.25,"77,807",12.04,"10,747",128.32
2003M11,"407,651",0.42,"159,872",-3.27,"247,779",2.96,"396,850",-1.08,"4,839",0.42,"3,748",13.71,"6,545",11.58,"2,050",3.90,318,-30.87,"282,253",-3.67,"14,281",-17.76,"4,012",4.40,"78,804",11.69,"10,801",127.87
2003M12,"405,284",-0.12,"157,046",-4.47,"248,238",2.85,"395,366",0.07,"4,034",-19.11,"3,145",-7.93,"5,958",-0.30,"2,048",1.69,277,-29.16,"283,239",-1.95,"13,563",-1.70,"3,976",-1.66,"79,126",10.53,"9,918",-6.97
2004M01,"403,113",3.80,"155,947",2.21,"247,166",4.82,"392,899",2.26,"4,697",38.64,"3,442",38.40,"5,805",25.92,"2,051",4.64,290,-12.12,"283,127",-0.96,"13,938",-6.93,"3,954",6.09,"75,595",13.03,"10,214",146.66
2004M02,"409,866",0.92,"158,427",-3.92,"251,439",4.23,"399,215",-0.56,"4,768",-1.49,"3,588",6.69,"6,531",10.02,"2,059",2.90,294,-26.87,"282,331",-3.21,"14,555",-15.46,"4,070",2.08,"81,019",12.49,"10,651",127.39
2004M03,"410,151",1.08,"157,421",-4.24,"252,730",4.71,"399,933",1.23,"4,696",-5.84,"3,544",3.75,"6,654",11.35,"2,070",2.78,302,-22.76,"281,264",-2.64,"14,653",6.20,"4,140",2.40,"82,610",15.40,"10,218",-4.16
2004M04,"410,296",1.12,"156,852",-4.04,"253,444",4.60,"399,777",1.32,"4,739",-5.82,"3,523",2.06,"6,913",9.40,"2,056",0.29,304,-22.05,"279,789",-1.99,"14,815",5.02,"4,222",2.58,"83,416",13.25,"10,519",-5.84
2004M05,"411,898",3.56,"157,275",-0.92,"254,623",6.54,"401,458",3.41,"4,731",-4.33,"3,551",2.60,"6,917",14.98,"2,021",2.90,313,-14.95,"280,939",0.24,"14,882",8.34,"4,298",6.25,"83,806",14.16,"10,440",9.91
2004M06,"408,701",3.81,"155,048",-0.33,"253,653",6.51,"399,879",3.86,"4,180",-12.84,"3,302",-6.19,"5,926",7.82,"1,872",0.54,307,-14.25,"283,731",1.71,"14,395",6.60,"4,184",4.78,"81,982",13.05,"8,822",1.58
2004M07,"408,854",4.46,"154,428",0.32,"254,426",7.15,"400,673",4.63,"4,251",-7.63,"3,326",-5.30,"5,414",10.33,"1,798",-1.59,297,-9.73,"284,379",2.10,"14,535",8.91,"4,243",6.66,"82,430",14.61,"8,181",-2.99
2004M08,"415,876",4.69,"157,082",0.59,"258,794",7.53,"405,718",4.85,"4,543",-5.18,"3,474",-4.09,"6,243",13.39,"1,863",-3.02,308,-5.52,"284,794",2.15,"15,071",7.99,"4,333",7.15,"85,089",15.04,"10,158",-1.67
2004M09,"419,405",4.12,"158,321",-0.56,"261,084",7.19,"409,011",4.31,"4,484",-8.64,"3,479",-7.77,"6,631",10.70,"1,918",-4.15,298,-10.78,"285,286",1.59,"15,272",10.04,"4,345",8.14,"87,298",14.32,"10,394",-2.82
2004M10,"421,118",3.90,"157,944",-0.91,"263,174",7.02,"410,676",4.09,"4,337",-10.37,"3,476",-7.13,"6,949",8.82,"1,935",-4.73,296,-7.79,"285,556",1.52,"15,132",7.38,"4,363",8.10,"88,632",13.91,"10,442",-2.84
2004M11,"424,616",4.16,"158,916",-0.60,"265,700",7.23,"414,083",4.34,"4,167",-13.89,"3,393",-9.47,"7,130",8.94,"1,963",-4.24,287,-9.75,"288,809",2.32,"14,980",4.89,"4,377",9.10,"88,977",12.91,"10,533",-2.48
2004M12,"423,456",4.48,"157,905",0.55,"265,551",6.97,"413,660",4.63,"4,207",4.29,"3,319",5.53,"6,831",14.65,"1,921",-6.20,272,-1.81,"288,898",2.00,"14,820",9.27,"4,342",9.21,"89,050",12.54,"9,796",-1.23
2005M01,"407,744",1.15,"148,900",-4.52,"258,844",4.72,"398,789",1.50,"3,258",-30.64,"2,571",-25.31,"5,367",-7.55,"1,872",-8.73,251,-13.45,"285,343",0.78,"13,494",-3.19,"4,133",4.53,"82,500",9.13,"8,955",-12.33
2005M02,"419,047",2.24,"156,093",-1.47,"262,954",4.58,"408,806",2.40,"4,286",-10.11,"3,497",-2.54,"7,005",7.26,"1,916",-6.95,299,1.70,"285,023",0.95,"15,211",4.51,"4,185",2.83,"87,384",7.86,"10,241",-3.85
2005M03,"410,802",0.16,"151,194",-3.96,"259,608",2.72,"401,684",0.44,"3,764",-19.85,"3,099",-12.56,"6,657",0.05,"1,875",-9.42,315,4.30,"278,566",-0.96,"15,008",2.42,"4,025",-2.78,"88,375",6.98,"9,118",-10.77
2005M04,"412,609",0.56,"152,691",-2.65,"259,918",2.55,"402,365",0.65,"4,368",-7.83,"3,504",-0.54,"7,220",4.44,"1,896",-7.78,345,13.49,"275,157",-1.66,"16,052",8.35,"4,059",-3.86,"89,764",7.61,"10,244",-2.61
2005M05,"408,994",-0.71,"151,546",-3.64,"257,448",1.11,"398,830",-0.65,"4,065",-14.08,"3,296",-7.18,"7,109",2.78,"1,816",-10.14,340,8.63,"273,829",-2.53,"15,971",7.32,"3,956",-7.96,"88,448",5.54,"10,164",-2.64
2005M06,"406,413",-0.56,"149,678",-3.46,"256,735",1.22,"397,874",-0.50,"4,095",-2.03,"3,377",2.27,"6,152",3.81,"1,691",-9.67,343,11.73,"276,039",-2.71,"15,965",10.91,"3,872",-7.46,"86,340",5.32,"8,539",-3.21
2005M07,"406,092",-0.68,"148,461",-3.86,"257,631",1.26,"398,243",-0.61,"4,031",-5.18,"3,366",1.20,"5,478",1.18,"1,661",-7.62,336,13.13,"278,256",-2.15,"15,928",9.58,"3,843",-9.43,"85,344",3.54,"7,849",-4.06
2005M08,"415,792",-0.02,"151,758",-3.39,"264,034",2.02,"406,056",0.08,"3,873",-14.75,"3,284",-5.47,"6,247",0.06,"1,659",-10.95,353,14.61,"284,417",-0.13,"16,178",7.35,"3,848",-11.19,"86,197",1.30,"9,736",-4.15
2005M09,"425,335",1.41,"156,240",-1.31,"269,095",3.07,"415,346",1.55,"4,307",-3.95,"3,467",-0.34,"6,822",2.88,"1,758",-8.34,367,23.15,"290,027",1.66,"16,766",9.78,"3,877",-10.77,"87,955",0.75,"9,989",-3.90
2005M10,"427,906",1.61,"156,712",-0.78,"271,194",3.05,"417,971",1.78,"4,048",-6.66,"3,424",-1.50,"7,000",0.73,"1,788",-7.60,377,27.36,"292,929",2.58,"16,704",10.39,"3,898",-10.66,"87,803",-0.94,"9,935",-4.86
2005M11,"431,181",1.55,"158,352",-0.35,"272,829",2.68,"421,194",1.72,"4,123",-1.06,"3,425",0.94,"7,123",-0.10,"1,789",-8.86,405,41.11,"295,349",2.26,"16,992",13.43,"3,930",-10.21,"88,058",-1.03,"9,987",-5.18
2005M12,"429,703",1.48,"156,370",-0.97,"273,333",2.93,"420,526",1.66,"3,878",-7.82,"3,117",-6.09,"6,630",-2.94,"1,800",-6.30,424,55.88,"297,287",2.90,"16,533",11.56,"3,957",-8.87,"86,900",-2.41,"9,177",-6.32
2006M01,"409,175",0.35,"144,863",-2.71,"264,312",2.11,"401,508",0.68,"2,395",-26.49,"2,015",-21.63,"4,930",-8.14,"1,683",-10.10,376,49.80,"295,979",3.73,"13,788",2.18,"3,629",-12.19,"76,713",-7.01,"7,667",-14.38
2006M02,"432,295",3.16,"157,422",0.85,"274,873",4.53,"422,639",3.38,"3,925",-8.42,"3,308",-5.40,"6,951",-0.77,"1,797",-6.21,477,59.53,"302,045",5.97,"16,635",9.36,"3,832",-8.43,"83,669",-4.25,"9,656",-5.71
2006M03,"430,893",4.89,"156,909",3.78,"273,984",5.54,"422,237",5.12,"3,838",1.97,"3,214",3.71,"6,723",0.99,"1,807",-3.63,503,59.68,"302,464",8.58,"16,391",9.22,"3,744",-6.98,"83,553",-5.46,"8,656",-5.07
2006M04,"432,250",4.76,"157,782",3.33,"274,468",5.60,"422,738",5.06,"4,072",-6.78,"3,248",-7.31,"7,054",-2.30,"1,815",-4.27,558,61.74,"301,964",9.74,"16,787",4.58,"3,772",-7.07,"83,468",-7.01,"9,512",-7.15
2006M05,"433,638",6.03,"158,556",4.63,"275,082",6.85,"424,195",6.36,"3,931",-3.30,"3,204",-2.79,"6,974",-1.90,"1,737",-4.35,581,70.88,"304,903",11.35,"16,640",4.19,"3,736",-5.56,"82,489",-6.74,"9,443",-7.09
2006M06,"432,732",6.48,"158,554",5.93,"274,178",6.79,"424,725",6.75,"3,959",-3.32,"3,293",-2.49,"6,078",-1.20,"1,642",-2.90,647,88.63,"308,843",11.88,"16,523",3.50,"3,614",-6.66,"80,126",-7.20,"8,007",-6.23
2006M07,"426,166",4.94,"154,566",4.11,"271,600",5.42,"418,962",5.20,"3,584",-11.09,"3,039",-9.71,"5,412",-1.20,"1,598",-3.79,672,100.00,"307,548",10.53,"15,821",-0.67,"3,482",-9.39,"77,806",-8.83,"7,204",-8.22
2006M08,"433,102",4.16,"157,905",4.05,"275,197",4.23,"423,799",4.37,"3,996",3.18,"3,157",-3.87,"6,323",1.22,"1,703",2.65,712,101.70,"308,324",8.41,"16,624",2.76,"3,500",-9.04,"79,460",-7.82,"9,303",-4.45
2006M09,"432,537",1.69,"157,488",0.80,"275,049",2.21,"423,274",1.91,"3,784",-12.14,"2,928",-15.55,"6,558",-3.87,"1,760",0.11,730,98.91,"307,015",5.86,"16,364",-2.40,"3,434",-11.43,"80,701",-8.25,"9,263",-7.27
2006M10,"434,408",1.52,"158,992",1.45,"275,416",1.56,"425,047",1.69,"3,705",-8.47,"3,034",-11.39,"6,787",-3.04,"1,772",-0.89,770,104.24,"307,905",5.11,"16,807",0.62,"3,383",-13.21,"80,884",-7.88,"9,361",-5.78
2006M11,"438,175",1.62,"161,191",1.79,"276,984",1.52,"428,651",1.77,"3,916",-5.02,"3,075",-10.22,"7,010",-1.59,"1,790",0.06,827,104.20,"310,284",5.06,"17,120",0.75,"3,388",-13.79,"81,241",-7.74,"9,524",-4.64
2006M12,"428,240",-0.34,"156,559",0.12,"271,681",-0.60,"419,788",-0.18,"3,197",-17.56,"2,500",-19.79,"6,185",-6.71,"1,804",0.22,807,90.33,"306,418",3.07,"16,031",-3.04,"3,329",-15.87,"79,517",-8.50,"8,452",-7.90
2007M01,"438,881",7.26,"161,413",11.42,"277,468",4.98,"430,313",7.17,"3,697",54.36,"2,763",37.12,"6,313",28.05,"1,840",9.33,901,139.63,"314,915",6.40,"16,792",21.79,"3,329",-8.27,"79,763",3.98,"8,568",11.75
2007M02,"422,823",-2.19,"153,167",-2.70,"269,656",-1.90,"415,283",-1.74,"2,601",-33.73,"1,996",-39.66,"5,497",-20.92,"1,701",-5.34,847,77.57,"311,130",3.01,"14,597",-12.25,"3,093",-19.28,"73,821",-11.77,"7,540",-21.91
2007M03,"419,328",-2.68,"151,661",-3.34,"267,667",-2.31,"412,352",-2.34,"2,322",-39.50,"1,765",-45.08,"5,196",-22.71,"1,663",-7.97,868,72.56,"311,187",2.88,"13,759",-16.06,"2,945",-21.34,"72,647",-13.05,"6,976",-19.41
2007M04,"425,908",-1.47,"155,860",-1.22,"270,048",-1.61,"417,951",-1.13,"3,364",-17.39,"2,320",-28.57,"5,908",-16.25,"1,689",-6.94,939,68.28,"312,546",3.50,"15,055",-10.32,"3,035",-19.54,"73,095",-12.43,"7,957",-16.35
2007M05,"400,908",-7.55,"148,339",-6.44,"252,569",-8.18,"396,808",-6.46,"3,521",-10.43,"2,296",-28.34,"5,429",-22.15,"1,535",-11.63,965,66.09,"300,752",-1.36,"14,813",-10.98,"2,892",-22.59,"64,605",-21.68,"4,100",-56.58
2007M06,"424,333",-1.94,"156,481",-1.31,"267,852",-2.31,"417,393",-1.73,"3,789",-4.29,"2,591",-21.32,"5,278",-13.16,"1,600",-2.56,"1,020",57.65,"314,564",1.85,"15,536",-5.97,"2,956",-18.21,"70,059",-12.56,"6,940",-13.33
2007M07,"420,289",-1.38,"154,738",0.11,"265,551",-2.23,"413,848",-1.22,"3,708",3.46,"2,559",-15.79,"4,877",-9.89,"1,559",-2.44,"1,079",60.57,"314,030",2.11,"15,172",-4.10,"2,882",-17.23,"67,982",-12.63,"6,441",-10.59
2007M08,"429,717",-0.78,"159,244",0.85,"270,473",-1.72,"420,931",-0.68,"4,133",3.43,"2,735",-13.37,"5,907",-6.58,"1,678",-1.47,"1,100",54.49,"316,192",2.55,"16,160",-2.79,"2,956",-15.54,"70,070",-11.82,"8,786",-5.56
2007M09,"431,285",-0.29,"160,248",1.75,"271,037",-1.46,"422,467",-0.19,"4,049",7.00,"2,672",-8.74,"6,157",-6.11,"1,701",-3.35,"1,120",53.42,"316,361",3.04,"16,019",-2.11,"2,970",-13.51,"71,418",-11.50,"8,818",-4.80
2007M10,"435,582",0.27,"163,615",2.91,"271,967",-1.25,"426,805",0.41,"4,052",9.37,"2,621",-13.61,"6,367",-6.19,"1,736",-2.03,"1,149",49.22,"319,958",3.91,"16,054",-4.48,"2,946",-12.92,"71,922",-11.08,"8,777",-6.24
2007M11,"439,031",0.20,"165,800",2.86,"273,231",-1.35,"430,117",0.34,"4,166",6.38,"2,730",-11.22,"6,573",-6.23,"1,781",-0.50,"1,149",38.94,"322,745",4.02,"16,295",-4.82,"2,946",-13.05,"71,732",-11.70,"8,914",-6.40
2007M12,"433,169",1.15,"163,575",4.48,"269,594",-0.77,"425,110",1.27,"3,752",17.36,"2,407",-3.72,"6,009",-2.85,"1,775",-1.61,"1,142",41.51,"321,804",5.02,"15,576",-2.84,"2,917",-12.38,"69,728",-12.31,"8,059",-4.65
2008M01,"422,575",-3.72,"157,029",-2.72,"265,546",-4.30,"415,241",-3.50,"3,323",-10.12,"1,968",-28.77,"5,016",-20.54,"1,723",-6.36,"1,063",17.98,"322,650",2.46,"14,737",-12.24,"2,784",-16.37,"61,977",-22.30,"7,334",-14.40
2008M02,"436,810",3.31,"165,714",8.19,"271,096",0.53,"428,222",3.12,"4,063",56.21,"2,547",27.61,"6,330",15.15,"1,760",3.47,"1,108",30.81,"326,830",5.05,"16,279",11.52,"2,829",-8.54,"66,476",-9.95,"8,588",13.90
