期間,災害救助-救助受災人數-臨時收容(人)_原始值,災害救助-救助受災人數-臨時收容(人)_年增率(%),災害救助-救助受災人數-死亡(人)_原始值,災害救助-救助受災人數-死亡(人)_年增率(%),災害救助-救助受災人數-失蹤(人)_原始值,災害救助-救助受災人數-失蹤(人)_年增率(%),災害救助-救助受災人數-重傷(人)_原始值,災害救助-救助受災人數-重傷(人)_年增率(%),災害救助-救助受災人數-其他(人)_原始值,災害救助-救助受災人數-其他(人)_年增率(%),災害救助-安遷救助(房屋損毀)-戶數(戶)_原始值,災害救助-安遷救助(房屋損毀)-戶數(戶)_年增率(%),災害救助-安遷救助(房屋損毀)-人數(人)_原始值,災害救助-安遷救助(房屋損毀)-人數(人)_年增率(%),災害救助-財務受損影響生計者(戶)_原始值,災害救助-財務受損影響生計者(戶)_年增率(%),災害救助-總救助金額(元)_原始值,災害救助-總救助金額(元)_年增率(%),急難現金救助-計(人次)_原始值,急難現金救助-計(人次)_年增率(%),急難現金救助-男(人次)_原始值,急難現金救助-男(人次)_年增率(%),急難現金救助-女(人次)_原始值,急難現金救助-女(人次)_年增率(%),急難現金救助-金額(元)_原始值,急難現金救助-金額(元)_年增率(%)
2007Q4,7,-86.54,43,59.26,0,--,2,--,0,-100.00,215,-56.74,566,-61.81,"9,648",600.65,"62,995,000",195.70,"13,451",45.42,"7,951",37.61,"5,500",58.41,"78,129,197",41.13
2008Q1,63,"2,000.00",15,-11.76,0,--,3,-50.00,88,633.33,108,-41.62,317,-40.75,87,31.82,"9,926,740",-33.88,"10,894",6.31,"6,410",6.07,"4,484",6.66,"63,846,326",11.35
2008Q2,0,-100.00,18,5.88,0,--,0,--,0,-100.00,79,-14.13,256,0.39,60,-50.41,"9,370,000",-4.49,"11,499",-2.31,"6,916",-0.14,"4,583",-5.41,"68,918,088",-0.89
2008Q3,968,288.76,49,96.00,6,500.00,0,-100.00,0,--,207,10.70,525,8.25,"14,427",192.64,"124,617,000",178.56,"11,988",7.06,"7,165",8.43,"4,823",5.10,"70,583,673",11.25
2008Q4,5,-28.57,29,-32.56,7,--,1,-50.00,680,--,254,18.14,626,10.60,"2,741",-71.59,"44,786,536",-28.90,"13,693",1.80,"8,229",3.50,"5,464",-0.65,"70,307,395",-10.01
2009Q1,0,-100.00,22,46.67,0,--,0,-100.00,0,-100.00,97,-10.19,260,-17.98,67,-22.99,"10,795,000",8.75,"10,486",-3.75,"6,324",-1.34,"4,162",-7.18,"49,033,624",-23.20
2009Q2,0,--,16,-11.11,0,--,1,--,2,--,81,2.53,283,10.55,60,0.00,"9,695,000",3.47,"11,253",-2.14,"6,671",-3.54,"4,582",-0.02,"61,864,735",-10.23
2009Q3,"5,918",511.36,214,336.73,398,"6,533.33",5,--,"19,640",--,"1,352",553.14,"3,650",595.24,"111,999",676.32,"758,017,601",508.28,"10,797",-9.93,"6,682",-6.74,"4,115",-14.68,"52,732,259",-25.29
2009Q4,"1,509","30,080.00",34,17.24,6,-14.29,4,300.00,0,-100.00,568,123.62,"1,691",170.13,135,-95.07,"43,290,000",-3.34,"11,593",-15.34,"7,214",-12.33,"4,379",-19.86,"82,133,665",16.82
2010Q1,21,--,15,-31.82,0,--,0,--,0,--,305,214.43,798,206.92,65,-2.99,"19,450,000",80.18,"11,748",12.04,"7,179",13.52,"4,569",9.78,"59,030,392",20.39
2010Q2,0,--,20,25.00,0,--,1,0.00,0,-100.00,146,80.25,433,53.00,97,61.67,"13,465,000",38.89,"12,208",8.49,"7,403",10.97,"4,805",4.87,"56,235,481",-9.10
2010Q3,"2,965",-49.90,20,-90.65,0,-100.00,1,-80.00,"16,250",-17.26,228,-83.14,544,-85.10,"40,357",-63.97,"601,075,000",-20.70,"11,875",9.98,"7,084",6.02,"4,791",16.43,"58,575,912",11.08
2010Q4,"1,356",-10.14,6,-82.35,0,-100.00,0,-100.00,0,--,209,-63.20,580,-65.70,"14,240","10,448.15","158,266,996",265.60,"12,032",3.79,"7,239",0.35,"4,793",9.45,"109,891,564",33.80
2011Q1,20,-4.76,27,80.00,0,--,1,--,0,--,100,-67.21,283,-64.54,57,-12.31,"11,610,000",-40.31,"10,677",-9.12,"6,369",-11.28,"4,308",-5.71,"53,452,512",-9.45
2011Q2,15,--,15,-25.00,0,--,3,200.00,0,--,137,-6.16,385,-11.09,57,-41.24,"11,535,000",-14.33,"11,491",-5.87,"6,975",-5.78,"4,516",-6.01,"59,867,564",6.46
2011Q3,901,-69.61,15,-25.00,1,--,1,0.00,33,-99.80,92,-59.65,256,-52.94,632,-98.43,"13,913,312",-97.69,"11,552",-2.72,"7,090",0.08,"4,462",-6.87,"78,234,721",33.56
2011Q4,3,-99.78,16,166.67,0,--,7,--,0,--,78,-62.68,221,-61.90,90,-99.37,"9,664,590",-93.89,"11,698",-2.78,"6,939",-4.14,"4,759",-0.71,"82,673,495",-24.77
2012Q1,9,-55.00,22,-18.52,0,--,0,-100.00,0,--,84,-16.00,246,-13.07,74,29.82,"11,078,690",-4.58,"11,511",7.81,"6,868",7.83,"4,643",7.78,"64,792,841",21.22
2012Q2,"1,719","11,360.00",34,126.67,0,--,1,-66.67,0,--,57,-58.39,162,-57.92,598,949.12,"15,125,563",31.13,"11,839",3.03,"6,962",-0.19,"4,861",7.64,"71,234,166",18.99
2012Q3,"2,647",193.78,25,66.67,0,-100.00,0,-100.00,35,6.06,156,69.57,501,95.70,"5,746",809.18,"80,366,423",477.62,"12,206",5.66,"7,529",6.19,"4,677",4.82,"67,021,379",-14.33
2012Q4,219,"7,200.00",34,112.50,0,--,1,-85.71,1,--,236,202.56,624,182.35,"1,890","2,000.00","67,055,000",593.82,"11,438",-2.22,"7,067",1.84,"4,371",-8.15,"66,054,895",-20.10
2013Q1,5,-44.44,23,4.55,0,--,1,--,0,--,78,-7.14,211,-14.23,110,48.65,"10,165,250",-8.25,"10,202",-11.37,"6,036",-12.11,"4,166",-10.27,"60,849,950",-6.09
2013Q2,36,-97.91,19,-44.12,0,--,5,400.00,0,--,79,38.60,204,25.93,39,-93.48,"9,698,000",-35.88,"10,369",-12.42,"6,271",-9.93,"4,098",-15.70,"61,021,658",-14.34
2013Q3,"6,688",152.66,14,-44.00,0,--,6,--,7,-80.00,194,24.36,529,5.59,"1,756",-69.44,"28,624,693",-64.38,"10,145",-16.89,"6,212",-17.49,"3,933",-15.91,"63,120,334",-5.82
2013Q4,448,104.57,28,-17.65,0,--,1,0.00,0,-100.00,124,-47.46,330,-47.12,"2,957",56.46,"40,046,330",-40.28,"10,245",-10.43,"6,208",-12.16,"4,037",-7.64,"61,696,293",-6.60
2014Q1,47,840.00,16,-30.43,0,--,0,-100.00,0,--,76,-2.56,222,5.21,34,-69.09,"8,968,840",-11.77,"10,741",5.28,"6,474",7.26,"4,267",2.42,"64,296,196",5.66
2014Q2,0,-100.00,21,10.53,1,--,1,-80.00,3,--,83,5.06,228,11.76,55,41.03,"10,790,000",11.26,"10,473",1.00,"6,120",-2.41,"4,353",6.22,"61,585,361",0.92
