期間,1982,1983,1984,1985,1986
(五)國外,"27,923","42,162","46,319","45,592","79,759"
六、應付商業本票,"62,675","63,672","79,851","69,089","67,924"
七、應付銀行承兌匯票,"58,834","81,558","91,797","96,042","60,374"
八、應付國內公司債,"4,650","6,950","12,285","12,520","12,775"
九、應付國外有價證券,...,...,...,...,...
十、營業準備,"8,677","9,777","8,904","7,410","6,777"
十一、職工退休金及福利金準備,...,...,...,...,...
十二、土地增值稅準備,"25,275","30,891","32,295","35,943","36,657"
十三、衍生性金融商品負債,...,...,...,...,...
十四、遞延貸項,...,...,...,...,...
淨值合計,"1,030,023","1,168,080","1,341,737","1,426,348","1,705,287"
一、實收資本額,"896,078","1,002,233","1,171,166","1,344,005","1,590,039"
(一)政府,"1,872","2,372","3,201","3,373","3,754"
(二)金融機構,"8,906","9,210","17,472","17,635","13,164"
(三)企業,"41,409","46,373","49,489","51,541","70,920"
(四)個人及非營利團體,"811,537","911,000","1,065,607","1,227,044","1,441,994"
(五)國外,"32,354","33,279","35,397","44,412","60,207"
二、公積及累積盈虧,"133,945","165,847","170,571","82,343","115,248"
資產合計,"5,157,558","6,296,883","7,382,135","8,334,220","9,654,588"
一、庫存現金及零用金,"75,069","89,329","108,419","124,903","110,721"
二、國內金融機構存款及信託資金,"618,313","661,874","735,164","819,951","1,004,169"
(一)活期性存款,"408,268","475,687","516,581","570,844","649,176"
(二)定期性存款,"204,725","177,349","212,363","246,085","351,516"
(三)外匯存款,...,...,...,...,...
(四)信託資金,"5,320","8,838","6,220","3,022","3,477"
三、附賣(買)回交易,...,...,...,...,...
四、融通,"51,688","53,966","90,800","118,202","103,216"
(一)政府,...,...,...,...,...
(二)金融機構,...,...,...,...,...
(三)企業,"37,707","37,710","71,368","94,389","77,491"
(四)個人及非營利團體,"13,981","16,256","19,432","23,813","25,725"
(五)國外,...,...,...,...,...
五、應收及預付款項淨額,"1,260,103","1,524,667","1,828,628","2,121,087","2,426,809"
(一)政府,"80,675","98,590","105,130","110,195","131,115"
(二)金融機構,"28,321","30,367","46,628","38,433","34,974"
(三)企業,"935,862","1,128,824","1,389,594","1,657,234","1,914,754"
(四)個人及非營利團體,"74,802","112,915","126,390","140,073","155,251"
(五)國外,"163,636","180,749","187,165","200,683","218,693"
(六)減備抵呆帳,"23,193","26,778","26,279","25,531","27,978"
六、有價證券及投資淨額,"169,898","169,223","227,654","223,268","306,602"
(一)商業本票,"29,404","24,726","23,421","11,535","22,033"
(二)銀行承兌匯票,"2,936","3,853","3,766","1,416","3,525"
(三)政府公債及國庫券,"42,633","33,733","12,814","10,569","13,369"
(四)公司債,"2,284",194,"2,713","2,647","6,392"
(五)金融債券,"1,399",693,642,327,"2,660"
(六)受益憑證,...,"1,450","2,727","2,850","4,006"
(七)金融機構股份,"1,888","1,517","3,165","7,407","21,462"
(八)企業股份,"89,354","103,057","178,406","186,517","233,155"
(九)衍生性金融商品*,...,...,...,...,...
(十)其他國內投資,...,...,...,...,...
(十一)減備抵跌價損失,...,...,...,...,...
七、國內不動產投資及閒置設備,"41,154","50,154","74,586","113,679","160,487"
八、國外資產,"1,472","5,302","12,797","16,817","32,892"
(一)國外存款,...,...,...,...,...
(二)國外企業投資,"1,206","4,142","10,055","13,862","25,740"
(三)有價證券投資,266,"1,160","2,742","2,955","7,152"
(四)不動產投資,...,...,...,...,...
(五)減備抵跌價損失,...,...,...,...,...
九、存貨,"1,053,402","1,321,509","1,534,157","1,722,154","1,969,427"
十、固定資產淨額,"1,833,518","2,357,289","2,697,108","2,994,212","3,449,449"
(一)土地,"317,022","390,814","474,658","608,520","754,944"
(二)建築物及其他營業資產,"1,516,496","1,966,475","2,222,450","2,385,692","2,694,505"
(三)減累積折舊及折耗,...,...,...,...,...
十一、無形資產、遞延投資及用品盤存,"52,941","63,570","72,822","79,947","90,816"
負債合計,"3,076,443","3,854,799","4,437,273","4,943,835","5,742,379"
一、國內金融機構借款,"1,074,537","1,542,833","1,838,873","2,024,941","2,517,742"
二、金融機構以外借款,"491,854","604,575","665,131","691,843","749,699"
(一)政府,460,"1,164","2,904","3,787","3,061"
(二)企業,"35,780","64,471","61,727","66,886","71,172"
(三)個人及非營利團體,"455,614","538,940","600,500","621,170","675,466"
三、國外借款,"18,597","23,807","23,194","21,651","28,710"
四、附賣(買)回交易,...,...,...,...,...
五、應付及預收款項淨額,"1,315,559","1,508,349","1,669,305","1,846,023","2,039,169"
(一)政府,"58,080","76,779","93,473","94,573","111,897"
(二)金融機構,"12,797","16,999","21,059","31,597","28,967"
(三)企業,"925,301","1,097,734","1,227,244","1,406,963","1,556,172"
(四)個人及非營利團體,"132,802","183,014","206,089","220,348","252,368"
(五)國外,"186,579","133,823","121,440","92,542","89,765"
六、應付商業本票,"71,513","73,684","123,740","217,350","248,115"
七、應付銀行承兌匯票,"47,727","39,725","54,095","62,249","48,139"
八、應付國內公司債,"11,766","11,628","9,711","10,804","18,324"
九、應付國外有價證券,...,...,...,...,...
十、營業準備,"7,079","8,686","11,909","12,938","9,226"
十一、職工退休金及福利金準備,...,...,...,...,...
十二、土地增值稅準備,"37,811","41,512","41,315","56,036","83,255"
十三、衍生性金融商品負債,...,...,...,...,...
十四、遞延貸項,...,...,...,...,...
淨值合計,"2,081,115","2,442,084","2,944,862","3,390,385","3,912,209"
一、實收資本額,"1,826,913","2,035,945","2,412,557","2,851,022","3,260,678"
(一)政府,"3,496","4,449","3,504","2,247","6,663"
(二)金融機構,"21,700","30,024","50,828","59,444","66,679"
(三)企業,"83,135","70,407","94,695","119,254","104,019"
(四)個人及非營利團體,"1,651,080","1,859,450","2,182,617","2,583,454","2,994,109"
(五)國外,"67,502","71,615","80,913","86,623","89,208"
二、公積及累積盈虧,"254,202","406,139","532,305","539,363","651,531"
資產合計,"11,250,999","13,309,193","15,259,572","17,855,613","19,430,400"
一、庫存現金及零用金,"139,293","186,987","282,284","381,413","393,911"
二、國內金融機構存款及信託資金,"1,222,430","1,460,504","1,644,851","1,681,427","1,974,489"
(一)活期性存款,"915,082","1,060,462","1,155,055","1,134,113","1,385,388"
(二)定期性存款,"305,620","388,176","482,789","526,507","511,447"
(三)外匯存款,...,...,...,...,"72,657"
(四)信託資金,"1,728","11,866","7,007","20,807","4,997"
三、附賣(買)回交易,...,...,...,...,...
四、融通,"74,364","92,511","103,654","100,089","145,269"
(一)政府,...,...,...,297,240
(二)金融機構,...,...,...,...,...
(三)企業,"50,428","68,496","73,393","78,087","97,664"
(四)個人及非營利團體,"23,936","24,015","30,261","18,757","43,916"
(五)國外,...,...,...,"2,948","3,449"
五、應收及預付款項淨額,"2,647,479","2,879,122","3,338,435","4,148,140","4,529,163"
(一)政府,"142,810","166,653","276,428","321,221","385,591"
(二)金融機構,"38,069","45,942","29,273","62,781","79,162"
(三)企業,"2,160,991","2,326,415","2,604,572","3,134,092","3,416,721"
(四)個人及非營利團體,"150,788","157,470","180,277","279,668","309,091"
(五)國外,"181,680","210,654","281,393","390,072","381,617"
(六)減備抵呆帳,"26,859","28,012","33,508","39,694","43,019"
六、有價證券及投資淨額,"355,789","491,054","691,548","745,320","1,000,943"
(一)商業本票,"20,682","26,921","50,428","31,825","53,257"
(二)銀行承兌匯票,"2,502","3,790","4,951","11,895","4,006"
(三)政府公債及國庫券,"13,920","16,191","9,409","23,661","33,087"
(四)公司債,"7,386","11,428","20,562","10,274","7,310"
(五)金融債券,"2,836","4,232","4,276","1,958","1,673"
(六)受益憑證,"2,460","9,081","11,842","25,359","88,718"
(七)金融機構股份,"13,265","18,864","12,784","37,576","57,582"
(八)企業股份,"292,738","400,547","592,022","617,980","740,741"
(九)衍生性金融商品*,...,...,...,...,...
(十)其他國內投資,...,...,...,"1,794","23,587"
(十一)減備抵跌價損失,...,...,"14,726","17,002","9,018"
七、國內不動產投資及閒置設備,"189,678","229,089","385,862","625,923","483,401"
八、國外資產,"59,728","69,463","107,021","155,137","231,359"
(一)國外存款,...,...,...,528,428
(二)國外企業投資,"47,982","62,586","96,423","146,613","213,131"
(三)有價證券投資,"11,746","6,877","10,598","5,759","15,202"
(四)不動產投資,...,...,...,"2,237","2,598"
(五)減備抵跌價損失,...,...,...,...,...
九、存貨,"2,244,604","2,583,167","2,833,791","3,359,495","3,817,748"
十、固定資產淨額,"4,200,289","5,207,037","5,741,800","6,394,643","6,614,619"
(一)土地,"808,547","971,164","1,141,591","1,426,054","1,603,487"
(二)建築物及其他營業資產,"3,391,742","4,235,873","7,803,791","8,484,807","8,834,627"
(三)減累積折舊及折耗,...,...,"3,203,582","3,516,218","3,823,495"
十一、無形資產、遞延投資及用品盤存,"117,345","110,259","130,326","264,026","239,498"
負債合計,"6,909,517","8,214,985","9,644,383","11,155,751","11,961,516"
一、國內金融機構借款,"3,227,477","3,701,492","4,325,938","4,520,904","4,380,117"
二、金融機構以外借款,"848,584","1,123,852","1,548,998","1,935,608","1,553,849"
(一)政府,"2,233","31,999","27,070","28,348","31,173"
(二)企業,"37,944","68,320","82,628","31,316","49,402"
(三)個人及非營利團體,"808,407","1,023,533","1,439,300","1,875,944","1,473,274"
三、國外借款,"24,335","26,663","29,063","32,948","22,096"
四、附賣(買)回交易,...,...,...,...,...
五、應付及預收款項淨額,"2,331,944","2,644,190","3,039,116","3,737,317","4,680,551"
(一)政府,"152,749","139,507","193,751","196,217","218,923"
(二)金融機構,"23,251","34,077","53,212","47,946","57,448"
(三)企業,"1,829,087","2,075,735","2,236,282","2,727,000","3,105,547"
(四)個人及非營利團體,"212,751","268,329","382,314","566,416","1,135,488"
(五)國外,"114,106","126,542","173,557","199,738","163,145"
六、應付商業本票,"301,510","440,769","378,903","395,092","669,213"
七、應付銀行承兌匯票,"51,574","133,623","71,291","143,716","120,967"
八、應付國內公司債,"19,399","24,485","36,489","49,979","145,800"
九、應付國外有價證券,...,...,"52,911","70,119","81,939"
十、營業準備,"9,033","5,564","1,070","2,179","5,523"
十一、職工退休金及福利金準備,...,...,...,"70,501","68,208"
十二、土地增值稅準備,"95,661","114,347","160,604","197,388","233,253"
十三、衍生性金融商品負債,...,...,...,...,...
十四、遞延貸項,...,...,...,...,...
淨值合計,"4,341,482","5,094,208","5,615,189","6,699,862","7,468,884"
一、實收資本額,"3,559,407","4,114,470","4,589,361","5,473,153","6,074,799"
(一)政府,"9,096","10,616","6,011","43,163","47,973"
(二)金融機構,"76,254","93,081","148,531","155,945","225,442"
(三)企業,"241,084","288,218","336,785","377,893","436,594"
(四)個人及非營利團體,"3,138,256","3,607,147","3,982,306","4,770,465","5,210,981"
(五)國外,"94,717","115,408","115,728","125,687","153,809"
二、公積及累積盈虧,"782,075","979,738","1,025,828","1,226,709","1,394,085"
資產合計,"20,882,523","22,434,915","23,713,375","25,471,244","24,978,517","26,385,518","27,216,216","30,174,220"
一、庫存現金及零用金,"341,837","339,983","313,183","303,174","244,625","224,568","250,533","272,437"
二、國內金融機構存款及信託資金,"2,071,302","2,129,281","2,137,602","2,179,176","2,085,229","2,127,403","2,360,270","2,618,430"
(一)活期性存款,"1,344,171","1,336,306","1,291,419","1,179,396","1,095,514","1,129,299","1,241,587","1,414,928"
(二)定期性存款,"579,684","636,711","670,920","689,220","679,172","712,133","678,004","769,778"
(三)外匯存款,"138,380","146,975","165,412","300,620","296,951","277,657","439,935","432,725"
(四)信託資金,"9,068","9,288","9,852","9,940","13,593","8,314",744,998
三、附賣(買)回交易,...,"200,938","123,235","103,674","81,822","58,046","67,690","138,127"
四、融通,"150,554","133,767","123,895","107,220","93,997","83,286","87,584","98,664"
(一)政府,131,128,172,150,302,132,...,...
(二)金融機構,...,...,...,...,"6,731","6,405","4,334","4,262"
(三)企業,"123,325","112,501","97,666","84,169","70,353","62,470","70,881","71,659"
(四)個人及非營利團體,"18,508","14,019","18,938","16,227","10,309","8,323","2,904","3,088"
(五)國外,"8,589","7,118","7,119","6,674","6,302","5,956","9,465","19,656"
五、應收及預付款項淨額,"4,843,866","5,157,636","5,662,761","6,287,784","5,673,228","6,281,727","6,381,151","7,215,355"
(一)政府,"353,337","385,425","438,381","474,321","469,936","522,955","547,850","571,412"
(二)金融機構,"184,237","151,099","149,865","140,555","130,992","103,606","95,169","104,981"
(三)企業,"3,490,380","3,771,413","4,136,894","4,617,984","4,025,863","4,423,947","4,498,977","5,086,754"
(四)個人及非營利團體,"352,406","358,302","379,733","381,018","389,724","394,067","315,601","369,075"
(五)國外,"518,250","563,499","659,201","799,928","755,881","948,513","1,051,766","1,226,047"
(六)減備抵呆帳,"54,743","72,101","101,313","126,021","99,169","111,361","128,213","142,914"
六、有價證券及投資淨額,"1,506,555","1,880,340","2,149,459","2,459,100","2,547,648","3,174,999","3,550,541","3,770,670"
(一)商業本票,"75,565","84,542","82,509","81,282","57,905","65,862","93,041","120,764"
(二)銀行承兌匯票,"3,291","1,099","1,419","1,031",880,348,244,246
(三)政府公債及國庫券,"3,846","5,476","15,724","15,931","15,713","14,087","10,543","16,510"
(四)公司債,"6,063","9,938","20,695","18,698","17,492","14,868","10,301","16,190"
(五)金融債券,"1,393",858,"3,540","3,519","6,492","8,261","3,303","5,780"
(六)受益憑證,"141,763","149,005","207,495","232,319","278,402","548,903","686,434","635,016"
(七)金融機構股份,"85,111","335,212","427,749","511,860","451,123","475,109","595,790","645,516"
(八)企業股份,"1,186,079","1,302,627","1,414,641","1,647,759","1,802,492","2,136,110","2,177,831","2,365,073"
(九)衍生性金融商品*,...,...,...,...,...,"19,428","17,542","16,656"
(十)其他國內投資,"30,697","29,960","20,214","20,526","19,021","10,146","9,252","7,938"
(十一)減備抵跌價損失,"27,254","38,376","44,527","73,824","101,871","118,123","53,739","59,019"
七、國內不動產投資及閒置設備,"595,332","701,580","779,870","888,709","993,532","1,157,590","964,728","1,049,117"
八、國外資產,"367,962","448,063","520,103","705,718","826,238","1,023,778","1,315,724","1,484,320"
(一)國外存款,530,642,890,"1,049","1,529","2,528","2,511","5,543"
(二)國外企業投資,"329,772","406,643","474,341","650,585","759,987","930,416","1,233,719","1,363,061"
(三)有價證券投資,"36,607","39,921","44,162","52,633","63,714","97,415","106,373","142,795"
(四)不動產投資,"1,054",857,710,"1,451","1,007",238,126,127
(五)減備抵跌價損失,...,...,...,...,...,"6,818","27,005","27,205"
九、存貨,"3,692,580","3,567,072","3,441,285","3,518,386","3,262,180","3,135,688","3,244,008","3,808,261"
十、固定資產淨額,"7,035,724","7,562,684","8,101,263","8,495,528","8,744,386","8,676,158","8,552,840","9,247,960"
(一)土地,"1,851,305","2,040,459","2,104,846","2,271,460","2,400,028","2,307,544","2,277,795","2,472,984"
(二)建築物及其他營業資產,"9,647,821","10,472,797","11,164,973","11,257,088","11,388,867","11,147,501","11,324,040","12,448,258"
(三)減累積折舊及折耗,"4,463,402","4,950,572","5,168,556","5,033,020","5,044,509","4,778,888","5,048,995","5,673,281"
十一、無形資產、遞延投資及用品盤存,"276,811","313,573","360,720","422,774","425,632","442,275","441,147","470,877"
負債合計,"12,736,204","13,917,105","14,511,177","15,404,307","14,603,214","15,072,791","15,055,083","16,809,623"
一、國內金融機構借款,"5,152,588","5,607,272","5,972,388","6,298,893","6,086,240","5,971,031","6,201,629","6,975,045"
二、金融機構以外借款,"1,285,179","1,007,191","771,464","568,922","337,017","153,177","171,482","168,948"
(一)政府,"29,234","22,836","38,003","34,189","19,009","10,549","5,664","5,400"
(二)企業,"252,455","176,661","110,633","91,499","78,056","75,797","87,809","80,723"
(三)個人及非營利團體,"1,003,491","807,694","622,827","443,234","239,952","66,831","78,009","82,826"
三、國外借款,"17,281","18,055","22,544","34,189","45,497","45,521","83,532","71,821"
四、附賣(買)回交易,...,"70,081","37,908","29,066","15,023","2,325","7,994","14,299"
五、應付及預收款項淨額,"4,684,365","5,411,241","5,794,514","6,516,516","6,235,011","6,946,183","6,835,646","7,712,982"
(一)政府,"187,357","210,492","218,739","241,973","253,018","287,989","253,933","341,839"
(二)金融機構,"75,626","104,437","139,699","162,659","201,026","222,175","191,058","196,401"
(三)企業,"3,106,319","3,508,136","3,626,150","4,022,856","3,462,209","3,668,797","3,751,606","4,203,576"
(四)個人及非營利團體,"1,136,177","1,375,122","1,562,473","1,762,809","1,875,538","2,150,206","1,979,445","2,202,957"
(五)國外,"178,885","213,055","247,454","326,220","443,220","617,017","659,604","768,208"
六、應付商業本票,"868,015","1,146,261","1,019,845","922,252","759,174","620,208","413,236","398,392"
七、應付銀行承兌匯票,"107,428","35,417","13,198","16,740","15,350","7,885","6,781","7,596"
八、應付國內公司債,"169,694","185,076","482,217","587,909","644,654","800,533","671,127","732,813"
九、應付國外有價證券,"127,345","92,871","75,681","81,759","80,873","80,138","243,348","301,020"
十、營業準備,"7,240","11,530","13,974","15,773","23,021","33,532","32,782","38,772"
十一、職工退休金及福利金準備,"63,574","68,054","57,494","53,629","44,129","36,786","31,526","36,598"
十二、土地增值稅準備,"253,496","264,055","249,950","278,660","317,226","297,826","287,514","272,343"
十三、衍生性金融商品負債,...,...,...,...,...,...,"1,388","4,851"
十四、遞延貸項,...,...,...,...,...,"77,644","67,101","74,143"
淨值合計,"8,146,319","8,517,809","9,202,198","10,066,937","10,375,303","11,312,727","12,161,132","13,364,596"
一、實收資本額,"6,672,074","7,114,507","7,953,750","8,735,962","8,866,297","9,500,000","9,725,137","10,310,852"
(一)政府,"47,027","40,697","52,486","81,545","98,142","99,540","119,996","100,337"
(二)金融機構,"313,117","329,078","299,369","281,552","282,335","251,191","294,758","355,652"
(三)企業,"748,629","878,392","1,268,018","1,607,535","1,990,882","2,251,254","1,754,387","1,850,677"
(四)個人及非營利團體,"5,368,868","5,619,464","6,039,581","6,414,305","6,043,907","6,392,766","6,845,540","7,178,336"
(五)國外,"194,433","246,875","294,296","351,024","451,031","505,250","710,457","825,850"
二、公積及累積盈虧,"1,474,245","1,403,302","1,248,448","1,330,975","1,509,006","1,812,727","2,435,995","3,053,744"
