期間,合計_原始值,合計_年增率(%),本國銀行_原始值,本國銀行_年增率(%),外國銀行在台分行_原始值,外國銀行在台分行_年增率(%),外國銀行在台分行--預售外匯外銷貸款_原始值,外國銀行在台分行--預售外匯外銷貸款_年增率(%)
1999M08,"558,538",-9.36,"450,195",-4.34,"108,343",-25.59,"4,916",60.60
1999M09,"578,372",-3.92,"467,615",2.13,"110,757",-23.16,"3,944",27.55
1999M10,"568,291",-0.98,"464,365",7.14,"103,926",-26.01,"3,850",-1.79
1999M11,"578,936",1.98,"475,919",10.31,"103,017",-24.41,"3,850",-18.12
1999M12,"573,057",2.53,"476,945",10.45,"96,112",-24.37,"3,751",-15.78
2000M01,"572,696",-0.25,"471,738",5.76,"100,958",-21.16,"6,125",23.94
2000M02,"573,042",-0.69,"470,380",4.34,"102,662",-18.67,"6,894",80.05
2000M03,"547,179",-3.32,"452,356",1.13,"94,823",-20.11,"5,770",51.72
2000M04,"582,050",3.65,"475,284",7.71,"106,766",-11.24,"6,403",37.97
2000M05,"588,123",6.13,"486,838",10.73,"101,285",-11.52,"5,304",30.83
2000M06,"578,861",6.51,"481,101",11.15,"97,760",-11.65,"4,632",1.65
2000M07,"579,136",5.51,"484,213",10.59,"94,923",-14.53,"4,087",-8.81
2000M08,"575,770",3.09,"477,636",6.10,"98,134",-9.42,"3,198",-34.95
2000M09,"570,117",-1.43,"466,756",-0.18,"103,361",-6.68,"2,926",-25.81
2000M10,"599,562",5.50,"490,937",5.72,"108,625",4.52,"2,677",-30.47
2000M11,"594,408",2.67,"491,155",3.20,"103,253",0.23,"2,514",-34.70
2000M12,"550,764",-3.89,"465,946",-2.31,"84,818",-11.75,"2,016",-46.25
2001M01,"523,404",-8.61,"436,972",-7.37,"86,432",-14.39,"2,134",-65.16
2001M02,"474,220",-17.25,"394,473",-16.14,"79,747",-22.32,"2,283",-66.88
2001M03,"452,618",-17.28,"382,083",-15.53,"70,535",-25.61,"2,374",-58.86
2001M04,"454,079",-21.99,"383,315",-19.35,"70,764",-33.72,"1,873",-70.75
2001M05,"457,119",-22.27,"381,621",-21.61,"75,498",-25.46,"1,918",-63.84
2001M06,"444,058",-23.29,"374,453",-22.17,"69,605",-28.80,"1,924",-58.46
2001M07,"431,441",-25.50,"364,866",-24.65,"66,575",-29.86,"2,184",-46.56
2001M08,"422,968",-26.54,"358,333",-24.98,"64,635",-34.14,"2,136",-33.21
2001M09,"426,941",-25.11,"366,519",-21.48,"60,422",-41.54,"1,935",-33.87
2001M10,"419,155",-30.09,"366,356",-25.38,"52,799",-51.39,"1,787",-33.25
2001M11,"417,863",-29.70,"364,359",-25.82,"53,504",-48.18,"2,120",-15.67
2001M12,"392,803",-28.68,"345,814",-25.78,"46,989",-44.60,"1,777",-11.86
2002M01,"400,620",-23.46,"352,102",-19.42,"48,518",-43.87,"1,425",-33.22
2002M02,"398,138",-16.04,"347,996",-11.78,"50,142",-37.12,"1,363",-40.30
2002M03,"379,929",-16.06,"333,591",-12.69,"46,338",-34.30,"1,117",-52.95
2002M04,"392,107",-13.65,"343,031",-10.51,"49,076",-30.65,937,-49.97
2002M05,"417,052",-8.77,"359,984",-5.67,"57,068",-24.41,766,-60.06
2002M06,"439,336",-1.06,"373,552",-0.24,"65,784",-5.49,728,-62.16
2002M07,"486,778",12.83,"410,281",12.45,"76,497",14.90,728,-66.67
2002M08,"501,388",18.54,"425,749",18.81,"75,639",17.02,738,-65.45
2002M09,"496,958",16.40,"426,710",16.42,"70,248",16.26,735,-62.02
2002M10,"484,185",15.51,"417,657",14.00,"66,528",26.00,718,-59.82
2002M11,"486,441",16.41,"423,371",16.20,"63,070",17.88,716,-66.23
2002M12,"441,792",12.47,"391,436",13.19,"50,356",7.17,707,-60.21
2003M01,"443,831",10.79,"392,779",11.55,"51,052",5.22,706,-50.46
2003M02,"455,828",14.49,"401,384",15.34,"54,444",8.58,707,-48.13
2003M03,"449,681",18.36,"398,499",19.46,"51,182",10.45,667,-40.29
2003M04,"469,440",19.72,"416,770",21.50,"52,670",7.32,669,-28.60
2003M05,"466,245",11.80,"415,325",15.37,"50,920",-10.77,582,-24.02
2003M06,"451,115",2.68,"405,285",8.49,"45,830",-30.33,580,-20.33
2003M07,"465,489",-4.37,"415,808",1.35,"49,681",-35.05,577,-20.74
2003M08,"466,087",-7.04,"417,563",-1.92,"48,524",-35.85,572,-22.49
2003M09,"476,927",-4.03,"426,392",-0.07,"50,535",-28.06,-,-
2003M10,"530,478",9.56,"472,438",13.12,"58,040",-12.76,-,-
2003M11,"551,877",13.45,"494,374",16.77,"57,503",-8.83,-,-
2003M12,"502,139",13.66,"455,872",16.46,"46,267",-8.12,-,-
2004M01,"548,961",23.69,"491,235",25.07,"57,726",13.07,-,-
2004M02,"583,725",28.06,"513,250",27.87,"70,475",29.44,-,-
2004M03,"580,773",29.15,"511,837",28.44,"68,936",34.69,-,-
2004M04,"637,573",35.82,"562,571",34.98,"75,002",42.40,-,-
2004M05,"677,948",45.41,"595,546",43.39,"82,402",61.83,-,-
2004M06,"663,433",47.07,"592,048",46.08,"71,385",55.76,-,-
2004M07,"694,945",49.29,"617,974",48.62,"76,971",54.93,-,-
2004M08,"676,829",45.22,"599,714",43.62,"77,115",58.92,-,-
2004M09,"644,401",35.12,"565,640",32.66,"78,761",55.85,-,-
2004M10,"641,061",20.85,"561,857",18.93,"79,204",36.46,-,-
2004M11,"623,813",13.03,"547,540",10.75,"76,273",32.64,-,-
2004M12,"560,042",11.53,"495,578",8.71,"64,464",39.33,-,-
2005M01,"594,438",8.28,"523,967",6.66,"70,471",22.08,-,-
2005M02,"603,926",3.46,"530,152",3.29,"73,774",4.68,-,-
2005M03,"613,916",5.71,"535,258",4.58,"78,658",14.10,-,-
2005M04,"618,777",-2.95,"543,473",-3.39,"75,304",0.40,-,-
2005M05,"622,008",-8.25,"543,830",-8.68,"78,178",-5.13,-,-
2005M06,"591,850",-10.79,"520,777",-12.04,"71,073",-0.44,-,-
2005M07,"602,987",-13.23,"530,330",-14.18,"72,657",-5.60,-,-
2005M08,"604,566",-10.68,"531,584",-11.36,"72,982",-5.36,-,-
2005M09,"592,163",-8.11,"514,608",-9.02,"77,555",-1.53,-,-
2005M10,"592,887",-7.51,"508,478",-9.50,"84,409",6.57,-,-
2005M11,"567,847",-8.97,"493,448",-9.88,"74,399",-2.46,-,-
2005M12,"511,911",-8.59,"447,954",-9.61,"63,957",-0.79,-,-
2006M01,"532,037",-10.50,"456,435",-12.89,"75,602",7.28,-,-
2006M02,"541,419",-10.35,"471,384",-11.09,"70,035",-5.07,-,-
2006M03,"525,999",-14.32,"451,935",-15.57,"74,064",-5.84,-,-
2006M04,"515,879",-16.63,"441,355",-18.79,"74,524",-1.04,-,-
2006M05,"548,494",-11.82,"467,342",-14.06,"81,152",3.80,-,-
2006M06,"531,144",-10.26,"457,197",-12.21,"73,947",4.04,-,-
2006M07,"556,113",-7.77,"479,652",-9.56,"76,461",5.24,-,-
2006M08,"558,713",-7.58,"480,086",-9.69,"78,627",7.73,-,-
2006M09,"572,917",-3.25,"485,732",-5.61,"87,185",12.42,-,-
2006M10,"600,448",1.28,"511,029",0.50,"89,419",5.94,-,-
2006M11,"559,433",-1.48,"473,631",-4.02,"85,802",15.33,-,-
2006M12,"523,869",2.34,"452,679",1.05,"71,190",11.31,-,-
2007M01,"556,680",4.63,"471,608",3.32,"85,072",12.53,-,-
2007M02,"575,346",6.27,"483,483",2.57,"91,863",31.17,-,-
2007M03,"573,301",8.99,"477,537",5.66,"95,764",29.30,-,-
2007M04,"581,775",12.77,"482,372",9.29,"99,403",33.38,-,-
2007M05,"538,032",-1.91,"446,078",-4.55,"91,954",13.31,-,-
2007M06,"522,536",-1.62,"440,927",-3.56,"81,609",10.36,-,-
2007M07,"558,921",0.50,"469,195",-2.18,"89,726",17.35,-,-
2007M08,"556,174",-0.45,"479,278",-0.17,"76,896",-2.20,-,-
2007M09,"546,024",-4.69,"458,053",-5.70,"87,971",0.90,-,-
2007M10,"549,863",-8.42,"461,944",-9.61,"87,919",-1.68,-,-
2007M11,"532,422",-4.83,"458,363",-3.22,"74,059",-13.69,-,-
2007M12,"505,863",-3.44,"432,559",-4.44,"73,304",2.97,-,-
2008M01,"528,838",-5.00,"446,174",-5.39,"82,664",-2.83,-,-
2008M02,"505,468",-12.15,"425,942",-11.90,"79,526",-13.43,-,-
2008M03,"565,682",-1.33,"484,594",1.48,"81,088",-15.33,-,-
2008M04,"652,180",12.10,"554,988",15.05,"97,192",-2.22,-,-
2008M05,"680,489",26.48,"572,709",28.39,"107,780",17.21,-,-
2008M06,"693,479",32.71,"580,596",31.68,"112,883",38.32,-,-
2008M07,"749,027",34.01,"626,058",33.43,"122,969",37.05,-,-
2008M08,"730,601",31.36,"597,848",24.74,"132,753",72.64,-,-
2008M09,"712,112",30.42,"594,086",29.70,"118,026",34.16,-,-
2008M10,"675,353",22.82,"562,936",21.86,"112,417",27.86,-,-
2008M11,"647,361",21.59,"538,139",17.40,"109,222",47.48,-,-
2008M12,"554,018",9.52,"468,874",8.40,"85,144",16.15,-,-
2009M01,"542,716",2.62,"448,557",0.53,"94,159",13.91,-,-
2009M02,"473,880",-6.25,"406,304",-4.61,"67,576",-15.03,-,-
2009M03,"446,327",-21.10,"373,232",-22.98,"73,095",-9.86,-,-
2009M04,"466,800",-28.42,"383,237",-30.95,"83,563",-14.02,-,-
2009M05,"472,104",-30.62,"393,472",-31.30,"78,632",-27.04,-,-
2009M06,"460,431",-33.61,"386,612",-33.41,"73,819",-34.61,-,-
2009M07,"487,771",-34.88,"413,252",-33.99,"74,519",-39.40,-,-
2009M08,"509,904",-30.21,"433,454",-27.50,"76,450",-42.41,-,-
2009M09,"497,036",-30.20,"423,521",-28.71,"73,515",-37.71,-,-
2009M10,"557,475",-17.45,"471,102",-16.31,"86,373",-23.17,-,-
2009M11,"584,158",-9.76,"498,164",-7.43,"85,994",-21.27,-,-
2009M12,"553,146",-0.16,"463,879",-1.07,"89,267",4.84,-,-
2010M01,"584,144",7.63,"484,472",8.01,"99,672",5.85,-,-
2010M02,"639,488",34.95,"538,450",32.52,"101,038",49.52,-,-
2010M03,"571,228",27.98,"491,135",31.59,"80,093",9.57,-,-
2010M04,"630,386",35.04,"537,143",40.16,"93,243",11.58,-,-
2010M05,"743,344",57.45,"620,413",57.68,"122,931",56.34,-,-
2010M06,"724,489",57.35,"586,571",51.72,"137,918",86.83,-,-
2010M07,"793,748",62.73,"655,158",58.54,"138,590",85.98,-,-
2010M08,"844,902",65.70,"689,014",58.96,"155,888",103.91,-,-
2010M09,"720,525",44.96,"596,178",40.77,"124,347",69.15,-,-
2010M10,"738,602",32.49,"626,799",33.05,"111,803",29.44,-,-
2010M11,"797,494",36.52,"664,102",33.31,"133,392",55.12,-,-
2010M12,"696,970",26.00,"591,657",27.55,"105,313",17.98,-,-
2011M01,"759,086",29.95,"652,354",34.65,"106,732",7.08,-,-
2011M02,"793,881",24.14,"677,110",25.75,"116,771",15.57,-,-
2011M03,"766,783",34.23,"655,892",33.55,"110,891",38.45,-,-
2011M04,"816,632",29.54,"689,104",28.29,"127,528",36.77,-,-
2011M05,"893,728",20.23,"746,203",20.28,"147,525",20.01,-,-
2011M06,"878,749",21.29,"702,426",19.75,"176,323",27.85,-,-
2011M07,"906,302",14.18,"714,756",9.10,"191,546",38.21,-,-
2011M08,"982,812",16.32,"775,553",12.56,"207,259",32.95,-,-
2011M09,"941,038",30.60,"754,258",26.52,"186,780",50.21,-,-
2011M10,"973,266",31.77,"773,491",23.40,"199,775",78.68,-,-
2011M11,"990,216",24.17,"790,479",19.03,"199,737",49.74,-,-
2011M12,"822,933",18.07,"659,908",11.54,"163,025",54.80,-,-
2012M01,"809,006",6.58,"669,078",2.56,"139,928",31.10,-,-
2012M02,"815,044",2.67,"676,767",-0.05,"138,277",18.42,-,-
2012M03,"752,729",-1.83,"618,744",-5.66,"133,985",20.83,-,-
2012M04,"820,877",0.52,"655,492",-4.88,"165,385",29.69,-,-
2012M05,"882,767",-1.23,"721,651",-3.29,"161,116",9.21,-,-
2012M06,"782,218",-10.99,"647,307",-7.85,"134,911",-23.49,-,-
2012M07,"879,310",-2.98,"729,585",2.07,"149,725",-21.83,-,-
2012M08,"880,940",-10.37,"727,897",-6.14,"153,043",-26.16,-,-
2012M09,"792,636",-15.77,"646,144",-14.33,"146,492",-21.57,-,-
2012M10,"872,639",-10.34,"706,832",-8.62,"165,807",-17.00,-,-
2012M11,"838,312",-15.34,"682,186",-13.70,"156,126",-21.83,-,-
2012M12,"814,732",-1.00,"647,754",-1.84,"166,978",2.42,-,-
2013M01,"817,705",1.08,"663,553",-0.83,"154,152",10.17,-,-
2013M02,"842,171",3.33,"676,510",-0.04,"165,661",19.80,-,-
2013M03,"831,672",10.49,"658,281",6.39,"173,391",29.41,-,-
2013M04,"852,102",3.80,"722,664",10.25,"129,438",-21.74,-,-
2013M05,"846,999",-4.05,"721,316",-0.05,"125,683",-21.99,-,-
2013M06,"854,262",9.21,"707,473",9.29,"146,789",8.80,-,-
2013M07,"919,441",4.56,"755,311",3.53,"164,130",9.62,-,-
2013M08,"907,634",3.03,"747,166",2.65,"160,468",4.85,-,-
2013M09,"887,994",12.03,"717,622",11.06,"170,372",16.30,-,-
2013M10,"929,664",6.53,"758,761",7.35,"170,903",3.07,-,-
2013M11,"958,642",14.35,"772,820",13.29,"185,822",19.02,-,-
2013M12,"936,005",14.89,"730,329",12.75,"205,676",23.18,-,-
2014M01,"1,006,205",23.05,"775,501",16.87,"230,704",49.66,-,-
2014M02,"1,002,338",19.02,"772,386",14.17,"229,952",38.81,-,-
2014M03,"931,142",11.96,"706,459",7.32,"224,683",29.58,-,-
2014M04,"957,348",12.35,"721,640",-0.14,"235,708",82.10,-,-
2014M05,"962,856",13.68,"720,060",-0.17,"242,796",93.18,-,-
2014M06,"914,819",7.09,"681,276",-3.70,"233,543",59.10,-,-
2014M07,"986,061",7.25,"739,522",-2.09,"246,539",50.21,-,-
