期間,現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%)
2004M11,"726,105",...,"3,637",...,"2,181",...,"44,106",...,209,...,"46,571",...,"457,134",...,"40,121",...,"29,593",...,"2,548",...,"11,264",...,"15,679",...,65,...,2,...,"13,579",...,"59,416",...,"119,235",...,"2,512",...,"1,232",...,"9,660",...,92,...,"22,498",...,"53,537",...,"5,504",...,"6,250",...,"4,676",...,"2,780",...,"2,745",...,15,...,2,...,"2,329",...,"5,403",...,"4,369",...,34,...,10,...,63,...,2,...,390,...,"2,528",...,572,...,8,...,10,...,81,...,123,...,-,...,-,...,114,...,434,...,822,...,16,...,6,...,14,...,1,...,112,...,468,...,79,...,6,...,8,...,20,...,24,...,-,...,-,...,16,...,52,...,"2,992",...,14,...,4,...,103,...,1,...,169,...,"1,880",...,284,...,83,...,6,...,50,...,112,...,-,...,-,...,69,...,217,...,435,...,1,...,2,...,20,...,2,...,56,...,247,...,27,...,24,...,0,...,6,...,17,...,-,...,-,...,10,...,22,...
2004M12,"727,016",...,"3,658",...,"2,176",...,"44,048",...,210,...,"46,691",...,"457,612",...,"40,247",...,"29,643",...,"2,557",...,"11,286",...,"15,685",...,65,...,2,...,"13,650",...,"59,486",...,"119,721",...,"2,533",...,"1,226",...,"9,697",...,94,...,"22,467",...,"53,879",...,"5,502",...,"6,315",...,"4,676",...,"2,784",...,"2,774",...,15,...,2,...,"2,334",...,"5,425",...,"4,613",...,37,...,5,...,64,...,1,...,376,...,"2,732",...,611,...,4,...,16,...,100,...,151,...,1,...,-,...,139,...,376,...,824,...,11,...,2,...,21,...,0,...,110,...,474,...,84,...,2,...,8,...,23,...,29,...,0,...,-,...,17,...,44,...,"3,583",...,19,...,15,...,119,...,-,...,261,...,"2,234",...,296,...,124,...,9,...,78,...,112,...,1,...,-,...,74,...,241,...,697,...,5,...,3,...,27,...,-,...,146,...,351,...,43,...,33,...,3,...,21,...,21,...,0,...,-,...,12,...,32,...
2005M01,"728,894",0.41,"3,655",-1.43,"2,149",-8.40,"43,990",-3.65,208,-5.45,"46,763",4.61,"457,677",-0.32,"40,351",6.01,"29,712",2.94,"2,559",0.04,"11,329",1.82,"15,724",0.67,64,-4.48,2,100.00,"15,063",1.83,"59,648",1.05,"120,565",5.20,"2,524",0.44,"1,210",-3.33,"9,755",2.86,94,0.93,"22,409",6.41,"54,072",5.87,"5,511",10.76,"6,328",2.38,"4,669",-0.22,"2,797",3.50,"2,790",5.35,15,6.10,2,200.00,"2,905",-0.22,"5,486",9.33,"4,093",47.82,25,150.00,5,0.00,69,23.21,-,--,375,74.42,"2,355",53.42,511,17.20,6,-33.33,9,350.00,102,104.00,140,52.17,-,--,-,--,116,-15.94,380,71.95,757,51.57,6,466.84,0,-82.11,33,89.73,-,--,129,83.74,402,69.58,67,16.97,2,-90.82,3,78.71,16,-26.35,24,46.37,-,--,-,--,16,-50.01,58,126.46,"3,641",44.66,27,107.69,32,357.14,116,38.10,2,--,335,87.15,"2,240",31.69,245,25.00,100,733.33,10,900.00,71,69.05,124,49.40,1,--,-,--,66,32.00,272,82.55,791,99.55,16,-23.76,15,"1,374.47",18,-23.14,0,--,231,287.40,370,69.77,44,109.65,23,"1,058.45",1,430.00,13,137.43,21,74.67,0,--,-,--,8,-17.90,30,33.15
2005M02,"729,714",0.35,"3,668",-1.16,"2,145",-8.49,"43,960",-3.93,209,-5.00,"46,888",4.38,"458,077",-0.32,"40,389",5.59,"29,746",2.54,"2,567",0.23,"11,356",1.82,"15,772",0.95,63,-5.97,2,100.00,"15,102",1.83,"59,770",1.00,"120,918",4.75,"2,543",1.42,"1,209",-3.23,"9,762",2.97,94,0.82,"22,478",4.53,"54,250",5.57,"5,523",10.41,"6,340",2.37,"4,666",-0.31,"2,808",3.66,"2,812",5.80,15,4.67,2,200.00,"2,911",0.47,"5,506",8.77,"2,421",-37.02,16,6.67,5,-16.67,34,-53.42,-,--,224,-36.54,"1,398",-36.91,289,-37.98,1,-85.71,7,16.67,58,-22.67,98,-34.67,-,--,-,--,68,-39.82,223,-38.57,463,-30.92,20,994.95,0,-56.81,13,-50.66,-,--,79,-32.35,244,-30.38,37,-36.04,0,-94.09,1,-42.14,11,-20.89,21,-14.55,-,--,-,--,10,-25.79,26,-53.59,"1,557",-34.80,3,-62.50,8,14.29,42,-31.15,-,--,103,-36.02,977,-35.04,168,-31.71,42,425.00,3,50.00,32,-27.27,48,-59.32,1,--,-,--,23,-66.18,107,-33.54,251,-33.53,0,-97.01,3,-66.28,15,1.71,-,--,36,-27.19,148,-18.08,15,-62.74,8,14.50,0,-54.55,3,-51.09,5,-76.16,0,--,-,--,4,-85.59,13,-9.27
2005M03,"728,973",-0.01,"3,657",-1.46,"2,125",-9.69,"43,667",-4.52,214,-2.28,"47,088",4.24,"457,400",-0.62,"40,474",4.82,"29,791",1.92,"2,559",-0.16,"11,365",1.54,"15,742",0.56,65,-2.99,2,100.00,"15,074",1.17,"59,750",0.61,"121,165",4.33,"2,543",1.34,"1,219",-2.27,"9,695",1.78,95,-2.84,"22,562",3.73,"54,430",5.36,"5,532",9.28,"6,342",2.50,"4,637",-0.91,"2,809",2.59,"2,820",5.77,15,8.95,2,200.00,"2,881",-0.46,"5,582",9.47,"5,492",12.91,32,45.45,5,-44.44,71,-10.13,1,0.00,532,22.58,"3,233",14.44,692,-1.42,7,0.00,8,60.00,104,16.85,177,4.12,2,--,-,--,112,-16.42,516,33.33,985,18.20,13,22.57,1,-63.64,23,-13.25,0,-99.90,186,25.60,540,21.65,84,-1.36,1,-44.64,1,48.30,16,21.56,31,14.74,1,--,-,--,16,-5.31,72,41.91,"5,795",110.73,34,142.86,22,340.00,336,479.31,-,--,302,49.50,"3,589",107.70,418,31.86,118,490.00,14,--,89,111.90,212,84.35,-,--,-,--,132,140.00,529,172.68,964,98.74,15,122.17,9,88.97,73,464.63,-,--,132,98.45,485,76.55,53,20.44,30,"1,338.27",2,--,19,291.92,43,66.57,-,--,-,--,49,191.47,55,109.96
2005M04,"729,175",-0.09,"3,646",-1.46,"2,119",-9.25,"43,560",-4.49,215,-0.92,"47,248",4.06,"457,231",-0.68,"40,606",4.40,"29,807",1.33,"2,563",0.35,"11,392",1.72,"15,750",0.54,65,1.56,2,100.00,"15,115",1.31,"59,856",0.66,"121,772",4.35,"2,544",2.17,"1,210",-1.59,"9,745",2.42,96,-1.31,"22,691",3.46,"54,716",5.28,"5,557",8.60,"6,377",3.13,"4,632",-1.01,"2,819",2.69,"2,850",6.25,15,12.07,2,200.00,"2,874",-0.95,"5,645",9.75,"5,159",15.96,19,-26.92,4,-66.67,80,5.26,-,--,467,19.13,"3,004",16.03,699,9.39,8,300.00,9,200.00,97,19.75,172,15.44,-,--,-,--,123,21.78,477,26.19,982,25.06,14,324.42,2,-33.19,26,41.76,-,--,172,23.29,517,26.27,97,23.98,1,118.75,1,259.02,16,-16.52,41,52.64,-,--,-,--,16,-12.20,77,14.49,"4,212",54.68,19,11.76,2,-80.00,120,60.00,-,--,275,58.05,"2,674",57.11,398,44.20,77,266.67,11,266.67,58,0.00,158,38.60,-,--,-,--,90,30.43,330,64.18,674,57.35,5,-52.81,0,-98.99,23,-4.19,-,--,101,88.58,371,64.93,50,28.11,14,692.04,3,960.38,9,-1.69,33,62.66,-,--,-,--,23,108.57,41,45.02
2005M05,"730,872",0.02,"3,652",-0.79,"2,123",-8.84,"43,538",-4.45,213,-1.39,"47,527",4.27,"458,026",-0.55,"40,795",4.17,"29,866",0.82,"2,572",1.18,"11,427",1.91,"15,796",0.80,67,4.69,2,100.00,"15,162",1.38,"60,106",0.91,"122,606",4.57,"2,561",3.22,"1,211",-1.47,"9,739",2.15,95,-1.37,"22,879",3.79,"55,149",5.50,"5,613",8.75,"6,393",2.96,"4,624",-1.00,"2,817",2.36,"2,886",7.10,16,15.74,2,200.00,"2,891",-0.32,"5,731",10.42,"4,806",20.18,25,56.25,6,50.00,73,65.91,1,--,481,44.44,"2,805",22.44,623,4.36,11,266.67,17,240.00,85,-3.41,136,-2.86,2,--,-,--,100,-3.85,441,17.91,"1,013",45.96,14,110.11,1,-48.38,20,41.86,0,--,179,46.94,565,58.42,87,10.54,21,303.25,6,138.39,14,1.98,28,-2.88,0,--,-,--,20,67.00,59,12.12,"3,013",17.93,16,-56.76,2,-66.67,89,50.85,1,--,189,32.17,"1,911",20.72,300,11.94,62,342.86,5,400.00,60,25.00,97,-9.35,-,--,-,--,61,7.02,220,-5.17,482,37.60,2,-77.83,1,-85.71,27,257.80,0,--,80,30.46,270,57.98,26,-28.77,16,"1,392.95",1,"1,300.00",14,101.92,12,-28.41,-,--,-,--,8,-15.90,25,4.37
2005M06,"732,710",0.05,"3,657",-0.46,"2,119",-9.17,"43,491",-4.51,214,0.00,"47,862",4.40,"458,888",-0.50,"41,037",3.87,"29,927",0.55,"2,576",1.34,"11,485",2.24,"15,863",1.10,70,9.38,2,100.00,"15,243",1.57,"60,276",0.94,"123,546",4.88,"2,550",2.38,"1,213",-2.27,"9,750",2.03,95,-2.73,"23,010",3.62,"55,719",6.12,"5,672",8.46,"6,430",3.20,"4,621",-0.99,"2,853",3.14,"2,921",8.54,17,17.77,2,200.00,"2,914",0.32,"5,779",11.24,"5,302",21.47,25,31.58,7,40.00,96,52.38,-,--,563,51.34,"2,983",17.26,710,10.76,12,200.00,10,100.00,106,47.22,169,13.42,3,50.00,-,--,114,6.54,504,31.94,"1,093",51.64,5,5.74,2,-9.77,21,4.70,-,--,185,58.41,610,60.38,95,11.08,19,108.96,5,680.17,17,50.54,45,92.40,1,39.13,-,--,15,-3.22,72,45.35,"3,465",27.44,17,-41.38,10,-28.57,129,43.33,-,--,237,32.40,"2,124",25.38,309,5.82,90,718.18,12,300.00,51,6.25,126,18.87,-,--,-,--,59,13.46,301,50.50,654,29.85,19,360.79,10,423.97,42,105.50,-,--,135,82.84,306,14.28,34,-19.29,16,254.22,1,301.65,8,6.14,29,20.77,-,--,-,--,10,-6.35,43,-6.52
2005M07,"733,819",0.12,"3,669",-0.19,"2,124",-8.84,"43,449",-4.51,215,0.94,"48,034",4.47,"459,312",-0.42,"41,241",3.56,"29,968",0.96,"2,587",1.45,"11,512",2.36,"15,854",0.86,72,10.77,2,100.00,"15,289",1.74,"60,491",1.04,"124,101",4.99,"2,554",2.21,"1,212",-2.08,"9,792",2.41,95,-2.81,"23,088",3.57,"56,003",6.24,"5,711",8.16,"6,450",3.61,"4,626",-0.93,"2,858",3.05,"2,926",8.20,17,18.29,2,200.00,"2,922",1.00,"5,846",11.58,"4,540",4.34,19,-9.52,9,50.00,87,50.00,2,--,441,22.16,"2,564",5.04,610,-8.68,8,60.00,7,-30.00,78,-6.02,140,-5.41,2,100.00,-,--,116,-4.92,457,7.03,867,-29.73,6,71.57,2,77.19,21,19.76,0,--,133,13.70,468,-47.72,84,-9.16,10,"1,449.08",2,-43.45,20,4.76,37,57.20,0,55.00,-,--,19,19.42,64,44.12,"3,336",24.29,8,-20.00,4,33.33,108,71.43,1,--,255,24.39,"2,106",24.99,268,-10.37,77,"1,000.00",8,166.67,48,-9.43,147,34.86,-,--,-,--,58,9.43,248,27.84,640,31.48,7,11.10,1,-73.08,22,50.22,0,--,103,41.43,348,33.24,47,-5.59,22,"11,561.58",1,12.41,6,-58.46,34,26.12,-,--,-,--,12,42.24,34,34.80
2005M08,"735,147",1.81,"3,687",2.56,"2,128",-2.56,"43,412",-1.79,213,1.91,"48,339",5.35,"459,938",1.20,"41,474",5.51,"30,042",2.08,"2,589",2.74,"11,525",3.19,"15,857",1.58,73,8.96,2,100.00,"15,307",3.73,"60,561",3.25,"124,959",5.86,"2,564",2.87,"1,215",-1.41,"9,793",3.16,94,-2.84,"23,251",4.62,"56,506",7.12,"5,779",8.56,"6,495",4.92,"4,621",-1.02,"2,859",4.75,"2,936",8.58,17,14.62,2,200.00,"2,904",1.40,"5,924",12.76,"4,921",11.99,27,145.45,6,0.00,79,38.60,1,--,585,48.48,"2,764",13.37,664,-4.87,10,42.86,12,-25.00,72,-11.11,155,0.00,1,-50.00,-,--,119,15.53,426,0.00,"1,063",37.57,10,165.10,2,-81.08,23,54.18,0,--,199,66.66,569,35.63,103,15.25,15,"1,081.69",2,-71.07,20,43.35,30,19.23,0,-90.00,-,--,15,-28.16,75,57.05,"3,646",-77.22,26,-73.20,3,-98.00,113,-91.57,1,-50.00,267,-48.55,"2,320",-76.11,293,-76.50,73,-78.14,11,-77.55,68,-56.96,112,-57.09,-,--,-,--,75,-81.88,284,-83.53,598,-56.28,6,-45.13,0,-96.40,38,-57.49,0,"2,757.14",71,-73.83,349,-43.77,35,-57.29,17,-61.88,2,-67.62,20,-67.77,19,-49.59,-,--,-,--,11,-84.75,31,-51.39
2005M09,"736,114",1.71,"3,693",2.55,"2,125",-2.61,"43,377",-1.76,219,4.78,"48,622",5.45,"460,262",1.12,"41,696",5.05,"30,074",2.09,"2,589",2.49,"11,520",2.99,"15,851",1.43,80,21.21,3,50.00,"15,319",3.51,"60,684",2.97,"125,421",5.94,"2,568",2.95,"1,216",-1.36,"9,794",2.78,95,-1.28,"23,282",4.40,"56,820",7.60,"5,826",7.77,"6,514",4.76,"4,619",-1.08,"2,855",4.33,"2,947",8.53,19,29.06,3,80.00,"2,900",1.08,"5,963",12.48,"4,672",8.05,28,64.71,9,125.00,70,32.08,3,50.00,523,32.07,"2,617",10.94,701,8.18,7,-30.00,3,-72.73,67,-11.84,155,-4.32,6,--,-,--,102,-11.30,381,-18.94,905,19.18,7,98.46,7,758.97,15,-20.01,1,366.67,167,26.82,494,26.85,90,-2.79,6,374.24,2,7.90,20,-4.17,26,1.40,2,--,-,--,15,-18.39,54,1.13,"3,326",16.25,18,28.57,12,50.00,101,2.02,-,--,243,29.95,"2,077",17.41,286,10.00,72,554.55,8,60.00,62,3.33,133,-2.92,1,--,-,--,71,-5.33,242,2.54,796,19.76,10,56.31,6,581.34,55,252.02,-,--,204,115.58,379,-14.49,35,17.00,19,723.82,1,78.38,20,146.73,20,-10.87,0,--,-,--,14,5.22,33,19.92
2005M10,"737,367",1.56,"3,719",3.08,"2,127",-2.12,"43,350",-1.82,220,5.26,"48,965",5.68,"460,665",0.92,"41,933",4.77,"30,082",2.00,"2,583",1.77,"11,541",2.71,"15,904",1.51,79,21.54,4,100.00,"15,373",3.26,"60,822",2.77,"124,879",4.82,"2,461",-0.93,"1,229",-0.22,"9,802",1.83,96,-0.61,"23,492",4.81,"57,184",7.53,"4,777",-13.08,"6,514",4.90,"4,605",-1.45,"2,837",2.90,"2,971",8.77,19,26.36,3,110.33,"2,905",0.68,"5,984",12.03,"4,488",2.47,32,33.33,8,60.00,74,-3.90,2,--,506,33.86,"2,521",0.52,647,4.52,2,-33.33,5,-16.67,66,-25.00,142,3.65,1,0.00,-,--,114,-15.56,368,-7.77,871,11.24,6,120.97,7,450.00,18,-21.09,0,--,169,45.38,467,5.97,97,16.17,1,368.75,2,58.73,11,-49.32,28,26.66,0,-66.67,-,--,13,-40.66,51,7.09,"2,803",2.82,12,-25.00,7,-58.82,65,-27.78,3,--,163,-15.54,"1,762",7.11,309,0.32,63,293.75,4,0.00,48,-15.79,100,-7.41,2,100.00,-,--,58,-4.92,207,-1.43,495,8.87,2,-20.72,3,-56.85,22,89.95,0,--,66,-15.27,269,19.53,47,27.46,19,69.33,1,-78.56,8,-31.89,17,21.04,0,105.00,-,--,6,-44.77,33,-18.38
2005M11,"735,189",1.25,"3,731",2.58,"2,090",-4.17,"43,049",-2.40,217,3.83,"48,814",4.82,"459,204",0.45,"41,923",4.49,"30,106",1.73,"2,584",1.41,"11,522",2.29,"15,830",0.96,81,24.62,5,150.00,"15,286",12.57,"60,747",2.24,"126,177",5.82,"2,554",1.69,"1,205",-2.19,"9,730",0.73,92,-0.55,"23,442",4.19,"57,383",7.18,"5,889",6.99,"6,530",4.48,"4,600",-1.62,"2,816",1.30,"2,991",8.95,19,29.06,3,123.67,"2,881",23.70,"6,042",11.82,"4,511",3.25,20,-41.18,8,-20.00,63,0.00,1,-50.00,474,21.54,"2,560",1.27,662,15.73,10,25.00,7,-30.00,94,16.05,133,8.13,2,--,-,--,90,-21.05,387,-10.83,888,8.09,6,-59.13,2,-63.24,16,11.66,0,-83.33,137,22.61,481,2.90,93,17.84,7,19.73,1,-84.06,36,76.87,31,27.72,0,--,-,--,13,-17.88,64,22.19,"6,045",102.04,13,-7.14,45,"1,025.00",348,237.86,2,100.00,603,256.80,"3,615",92.29,505,77.82,72,-13.25,7,16.67,116,132.00,159,41.96,-,--,-,--,134,94.20,426,96.31,"1,019",134.37,25,"1,959.95",36,"2,017.79",87,330.49,3,58.40,234,316.92,439,77.92,76,180.28,13,-44.47,0,10.39,17,200.29,23,32.76,-,--,-,--,16,57.59,48,118.08
2005M12,"735,263",1.13,"3,752",2.57,"2,088",-4.04,"43,023",-2.33,215,2.38,"49,042",5.04,"458,769",0.25,"42,106",4.62,"30,132",1.65,"2,586",1.13,"11,543",2.28,"15,827",0.91,81,24.62,5,150.00,"15,277",11.92,"60,817",2.24,"126,765",5.88,"2,538",0.20,"1,204",-1.78,"9,683",-0.14,91,-2.96,"23,551",4.82,"57,730",7.15,"5,935",7.88,"6,609",4.65,"4,594",-1.76,"2,828",1.59,"3,028",9.16,19,28.20,3,123.67,"2,875",23.19,"6,078",12.04,"4,390",-4.83,27,-27.03,3,-40.00,57,-10.94,-,--,452,20.21,"2,455",-10.14,618,1.15,13,225.00,11,-31.25,73,-27.00,145,-3.97,-,--,-,--,121,-12.95,415,10.37,938,13.84,9,-17.07,1,-26.92,13,-35.46,-,--,168,53.27,456,-3.93,88,5.34,68,"4,085.50",3,-65.76,19,-18.16,31,9.41,-,--,-,--,24,43.35,57,29.49,"3,137",-12.45,13,-31.58,5,-66.67,80,-32.77,-,--,216,-17.24,"2,016",-9.76,325,9.80,56,-54.84,11,22.22,47,-39.74,83,-25.89,-,--,-,--,70,-5.41,215,-10.79,648,-7.05,29,504.07,2,-23.97,49,76.84,-,--,122,-16.36,308,-12.09,46,7.32,14,-57.14,2,-45.10,7,-67.30,11,-48.12,-,--,-,--,11,-6.78,48,47.24
2006M01,"736,443",1.04,"3,782",3.47,"2,085",-2.98,"42,969",-2.32,220,5.77,"49,336",5.50,"459,304",0.36,"42,249",4.70,"30,160",1.51,"2,589",1.17,"11,571",2.14,"15,857",0.85,82,28.12,5,150.00,"15,329",1.77,"60,905",2.11,"127,357",5.63,"2,546",0.90,"1,203",-0.58,"9,695",-0.62,92,-2.02,"23,738",5.93,"57,978",7.22,"5,998",8.85,"6,623",4.66,"4,594",-1.60,"2,839",1.48,"3,056",9.53,20,31.74,3,123.67,"2,870",-1.20,"6,103",11.25,"3,890",-4.96,35,40.00,8,60.00,40,-42.03,2,--,473,26.13,"2,116",-10.15,526,2.94,6,0.00,7,-22.22,88,-13.73,146,4.29,1,--,-,--,123,6.03,319,-16.05,799,5.49,10,62.58,2,422.73,18,-47.43,0,--,169,30.80,389,-3.23,81,19.86,7,387.33,1,-61.95,15,-7.50,46,92.36,0,--,-,--,13,-17.98,47,-19.79,"2,894",-20.52,9,-66.67,11,-65.62,86,-25.86,-,--,194,-42.09,"1,825",-18.53,299,22.04,61,-39.00,9,-10.00,64,-9.86,97,-21.77,-,--,-,--,47,-28.79,192,-29.41,565,-28.61,5,-67.60,4,-76.89,31,76.60,-,--,73,-68.43,334,-9.63,39,-10.03,10,-58.39,2,96.23,11,-16.11,19,-9.95,-,--,-,--,9,11.66,27,-10.44
2006M02,"736,268",0.90,"3,790",3.33,"2,082",-2.94,"42,936",-2.33,221,5.74,"49,537",5.65,"459,044",0.21,"42,244",4.59,"30,181",1.46,"2,592",0.97,"11,581",1.98,"15,839",0.42,85,34.92,5,150.00,"15,289",1.24,"60,842",1.79,"127,659",5.57,"2,548",0.20,"1,203",-0.47,"9,704",-0.59,92,-2.26,"23,815",5.95,"58,154",7.20,"6,005",8.72,"6,635",4.64,"4,597",-1.48,"2,843",1.24,"3,065",9.01,20,39.33,3,123.67,"2,857",-1.86,"6,117",11.09,"2,966",22.51,21,31.25,3,-40.00,38,11.76,1,--,402,79.46,"1,661",18.81,362,25.26,4,300.00,4,-42.86,50,-13.79,103,5.10,3,--,-,--,64,-5.88,250,12.11,600,29.61,4,-78.92,1,49.59,8,-37.37,0,--,126,60.08,331,35.63,47,27.36,1,152.08,1,-16.99,8,-21.74,17,-19.25,1,--,-,--,14,36.50,41,56.92,"2,872",84.46,14,366.67,9,12.50,67,59.52,-,--,206,100.00,"1,788",83.01,305,81.55,37,-11.90,2,-33.33,43,34.38,103,114.58,-,--,-,--,61,165.22,237,121.50,501,99.38,9,"3,843.81",2,-31.18,11,-29.11,-,--,77,116.79,287,93.31,39,158.05,12,47.16,1,500.00,6,106.08,18,258.92,-,--,-,--,11,180.98,28,110.48
