期間,總人數-合計(人)_原始值,總人數-合計(人)_年增率(%),總人數-男(人)_原始值,總人數-男(人)_年增率(%),總人數-女(人)_原始值,總人數-女(人)_年增率(%),視覺障礙者(人)_原始值,視覺障礙者(人)_年增率(%),聽覺機能障礙者(人)_原始值,聽覺機能障礙者(人)_年增率(%),平衡機能障礙者(人)_原始值,平衡機能障礙者(人)_年增率(%),聲音機能或語言機能障礙者(人)_原始值,聲音機能或語言機能障礙者(人)_年增率(%),肢體障礙者(人)_原始值,肢體障礙者(人)_年增率(%),智能障礙者(人)_原始值,智能障礙者(人)_年增率(%),重要器官失去功能者(人)_原始值,重要器官失去功能者(人)_年增率(%),顏面損傷者(人)_原始值,顏面損傷者(人)_年增率(%),植物人(人)_原始值,植物人(人)_年增率(%),失智症者(人)_原始值,失智症者(人)_年增率(%),自閉症者(人)_原始值,自閉症者(人)_年增率(%),慢性精神病患者(人)_原始值,慢性精神病患者(人)_年增率(%),多重障礙者(人)_原始值,多重障礙者(人)_年增率(%),頑性(難治型)癲癇症者(人)_原始值,頑性(難治型)癲癇症者(人)_年增率(%),因罕見疾病而致身心功能障礙者(人)_原始值,因罕見疾病而致身心功能障礙者(人)_年增率(%),其他障礙者(人)_原始值,其他障礙者(人)_年增率(%),新制類別無法對應舊制類別者(人)_原始值,新制類別無法對應舊制類別者(人)_年增率(%),占總人口比例-合計(％)_原始值,占總人口比例-合計(％)_年增率(%),占總人口比例-男(％)_原始值,占總人口比例-男(％)_年增率(%),占總人口比例-女(％)_原始值,占總人口比例-女(％)_年增率(%)
2002Q3,"811,468",8.51,"481,029",8.04,"330,439",9.20,"43,812",7.45,"86,027",6.19,830,42.37,"10,297",5.22,"348,159",8.41,"76,168",4.38,"72,801",12.15,"2,861",10.29,"4,481",1.96,"13,387",16.66,"2,998",23.43,"66,870",14.29,"79,557",6.50,...,...,...,...,"3,220",26.77,-,--,3.61,-,4.19,-,3.00,-
2002Q4,"831,266",10.24,"492,261",9.70,"339,005",11.02,"44,889",8.98,"89,129",8.76,934,54.13,"10,582",8.78,"354,903",9.69,"76,976",4.57,"75,323",15.92,"2,983",12.99,"4,631",11.35,"13,996",20.84,"3,135",22.94,"68,763",13.75,"81,667",9.67,...,...,...,...,"3,355",27.71,-,--,3.69,-,4.29,-,3.07,-
2003Q1,"849,822",10.26,"501,999",9.62,"347,823",11.21,"45,188",7.58,"90,303",8.37,924,42.59,"10,804",8.66,"362,115",9.52,"78,174",4.99,"78,300",16.82,"3,040",11.36,"4,846",15.60,"14,567",20.76,"3,310",23.42,"71,291",13.93,"83,277",9.99,469,...,77,...,"3,137",16.19,-,--,3.77,-,4.37,-,3.15,-
2003Q2,"847,703",7.26,"499,807",6.55,"347,896",8.30,"45,178",5.31,"90,245",5.77,930,21.41,"10,775",6.27,"360,297",6.51,"77,979",4.22,"78,166",11.53,"3,066",8.03,"4,658",8.83,"14,488",13.56,"3,447",20.57,"72,516",11.72,"82,188",6.21,548,...,82,...,"3,140",5.30,-,--,3.76,-,4.35,-,3.15,-
2003Q3,"841,176",3.66,"495,084",2.92,"346,092",4.74,"44,761",2.17,"89,715",4.29,927,11.69,"10,581",2.76,"357,874",2.79,"77,559",1.83,"76,759",5.44,"3,051",6.64,"4,259",-4.95,"14,319",6.96,"3,586",19.61,"73,733",10.26,"80,183",0.79,606,...,113,...,"3,150",-2.17,-,--,3.73,-,4.30,-,3.13,-
2003Q4,"861,030",3.58,"506,055",2.80,"354,975",4.71,"45,672",1.74,"91,820",3.02,994,6.42,"10,751",1.60,"365,394",2.96,"78,498",1.98,"79,466",5.50,"3,123",4.69,"4,364",-5.77,"15,108",7.95,"3,766",20.13,"75,832",10.28,"82,138",0.58,733,...,144,...,"3,227",-3.82,-,--,3.81,-,4.39,-,3.20,-
2004Q1,"861,631",1.39,"506,055",0.81,"355,576",2.23,"45,381",0.43,"92,141",2.04,970,4.98,"10,726",-0.72,"365,138",0.83,"78,758",0.75,"79,559",1.61,"3,148",3.55,"4,265",-11.99,"15,190",4.28,"3,954",19.46,"76,568",7.40,"81,451",-2.19,942,100.85,198,157.14,"3,242",3.35,-,--,3.81,-,4.39,-,3.20,-
2004Q2,"877,946",3.57,"514,736",2.99,"363,210",4.40,"45,905",1.61,"93,765",3.90,"1,056",13.55,"10,909",1.24,"370,826",2.92,"79,631",2.12,"81,665",4.48,"3,211",4.73,"4,287",-7.96,"15,821",9.20,"4,126",19.70,"79,059",9.02,"82,950",0.93,"1,054",92.34,226,175.61,"3,455",10.03,-,--,3.88,-,4.47,-,3.27,-
2004Q3,"896,738",6.61,"524,982",6.04,"371,756",7.42,"46,751",4.45,"95,523",6.47,"1,461",57.61,"10,788",1.96,"377,389",5.45,"80,633",3.96,"83,974",9.40,"3,302",8.23,"4,451",4.51,"16,660",16.35,"4,334",20.86,"81,621",10.70,"84,883",5.86,"1,177",94.22,257,127.43,"3,534",12.19,-,--,3.96,-,4.55,-,3.34,-
2004Q4,"908,719",5.54,"531,457",5.02,"377,262",6.28,"47,524",4.06,"96,792",5.41,"1,067",7.34,"11,315",5.25,"380,762",4.21,"81,593",3.94,"85,400",7.47,"3,331",6.66,"4,493",2.96,"17,186",13.75,"4,562",21.14,"83,175",9.68,"86,193",4.94,"1,457",98.77,328,127.78,"3,541",9.73,-,--,4.01,-,4.60,-,3.38,-
2005Q1,"914,222",6.10,"534,347",5.59,"379,875",6.83,"47,847",5.43,"97,450",5.76,"1,108",14.23,"11,343",5.75,"381,330",4.43,"82,298",4.49,"86,421",8.63,"3,383",7.47,"4,483",5.11,"17,349",14.21,"4,746",20.03,"84,435",10.27,"86,552",6.26,"1,403",48.94,372,87.88,"3,702",14.19,-,--,4.03,-,4.63,-,3.40,-
2005Q2,"923,497",5.19,"539,070",4.73,"384,427",5.84,"48,482",5.61,"98,201",4.73,"1,145",8.43,"11,460",5.05,"383,738",3.48,"83,089",4.34,"87,968",7.72,"3,464",7.88,"4,506",5.11,"17,787",12.43,"4,935",19.61,"85,425",8.05,"87,652",5.67,"1,604",52.18,450,99.12,"3,591",3.94,-,--,4.06,-,4.67,-,3.44,-
2005Q3,"925,114",3.16,"539,243",2.72,"385,871",3.80,"48,883",4.56,"98,206",2.81,"1,186",-18.82,"11,461",6.24,"384,526",1.89,"83,375",3.40,"88,207",5.04,"3,489",5.66,"4,236",-4.83,"17,648",5.93,"5,102",17.72,"85,531",4.79,"87,447",3.02,"1,771",50.47,450,75.10,"3,596",1.75,-,--,4.07,-,4.67,-,3.45,-
2005Q4,"937,944",3.22,"546,068",2.75,"391,876",3.87,"49,677",4.53,"99,535",2.83,"1,237",15.93,"11,633",2.81,"388,577",2.05,"84,294",3.31,"89,862",5.22,"3,542",6.33,"4,364",-2.87,"18,228",6.06,"5,359",17.47,"87,039",4.65,"88,638",2.84,"1,892",29.86,476,45.12,"3,591",1.41,-,--,4.12,-,4.72,-,3.50,-
2006Q1,"946,945",3.58,"550,703",3.06,"396,242",4.31,"49,992",4.48,"100,174",2.80,"1,271",14.71,"11,766",3.73,"391,123",2.57,"84,920",3.19,"91,747",6.16,"3,570",5.53,"4,438",-1.00,"18,678",7.66,"5,570",17.36,"87,894",4.10,"89,625",3.55,"2,053",46.33,514,38.17,"3,610",-2.49,-,--,4.15,-,4.76,-,3.53,-
2006Q2,"953,214",3.22,"554,080",2.78,"399,134",3.83,"50,167",3.48,"101,115",2.97,"1,309",14.32,"11,867",3.55,"392,669",2.33,"85,070",2.38,"92,782",5.47,"3,585",3.49,"4,561",1.22,"19,303",8.52,"5,616",13.80,"87,843",2.83,"90,899",3.70,"2,255",40.59,582,29.33,"3,591",0.00,-,--,4.18,-,4.79,-,3.55,-
2006Q3,"969,249",4.77,"562,941",4.39,"406,308",5.30,"51,004",4.34,"102,865",4.74,"1,400",18.04,"12,094",5.52,"397,795",3.45,"86,159",3.34,"94,885",7.57,"3,687",5.67,"4,671",10.27,"20,096",13.87,"5,882",15.29,"89,374",4.49,"92,648",5.95,"2,421",36.70,630,40.00,"3,638",1.17,-,--,4.24,-,4.86,-,3.61,-
2006Q4,"981,015",4.59,"569,234",4.24,"411,781",5.08,"51,759",4.19,"103,946",4.43,"1,476",19.32,"12,251",5.31,"400,254",3.01,"87,160",3.40,"96,623",7.52,"3,749",5.84,"4,733",8.46,"20,896",14.64,"6,185",15.41,"91,160",4.73,"93,816",5.84,"2,583",36.52,704,47.90,"3,720",3.59,-,--,4.29,-,4.91,-,3.65,-
2007Q1,"991,161",4.67,"574,585",4.34,"416,576",5.13,"52,433",4.88,"104,934",4.75,"1,594",25.41,"12,387",5.28,"401,573",2.67,"88,405",4.10,"98,371",7.22,"3,782",5.94,"4,805",8.27,"21,522",15.23,"6,430",15.44,"92,395",5.12,"95,315",6.35,"2,736",33.27,755,46.89,"3,724",3.16,-,--,4.33,-,4.96,-,3.69,-
2007Q2,"1,000,729",4.98,"579,597",4.61,"421,132",5.51,"53,053",5.75,"106,172",5.00,"1,756",34.15,"12,580",6.01,"402,038",2.39,"89,323",5.00,"100,266",8.07,"3,829",6.81,"4,876",6.91,"22,246",15.25,"6,709",19.46,"94,289",7.34,"96,164",5.79,"2,913",29.18,817,40.38,"3,698",2.98,-,--,4.37,-,5.00,-,3.72,-
2007Q3,"1,010,696",4.28,"584,971",3.91,"425,725",4.78,"53,701",5.29,"107,575",4.58,"1,909",36.36,"12,751",5.43,"402,492",1.18,"89,998",4.46,"102,253",7.77,"3,902",5.83,"4,966",6.32,"23,259",15.74,"6,929",17.80,"95,719",7.10,"97,612",5.36,"3,038",25.49,878,39.37,"3,714",2.09,-,--,4.41,-,5.04,-,3.76,-
2007Q4,"1,020,760",4.05,"590,306",3.70,"430,454",4.53,"54,319",4.95,"108,856",4.72,"2,041",38.28,"12,892",5.23,"402,983",0.68,"91,004",4.41,"104,282",7.93,"3,973",5.97,"5,006",5.77,"24,217",15.89,"7,207",16.52,"97,127",6.55,"98,999",5.52,"3,153",22.07,950,34.94,"3,751",0.83,-,--,4.45,-,5.09,-,3.79,-
2008Q1,"1,025,160",3.43,"592,659",3.15,"432,501",3.82,"54,615",4.16,"109,578",4.43,"2,173",36.32,"12,986",4.84,"401,826",0.06,"91,617",3.63,"105,732",7.48,"4,004",5.87,"4,987",3.79,"24,852",15.47,"7,443",15.75,"97,738",5.78,"99,563",4.46,"3,279",19.85,"1,014",34.30,"3,753",0.78,-,--,4.46,-,5.10,-,3.81,-
2008Q2,"1,027,041",2.63,"593,022",2.32,"434,019",3.06,"54,888",3.46,"109,898",3.51,"2,326",32.46,"12,995",3.30,"399,883",-0.54,"92,223",3.25,"106,511",6.23,"4,057",5.95,"4,811",-1.33,"25,314",13.79,"7,684",14.53,"98,550",4.52,"99,671",3.65,"3,391",16.41,"1,068",30.72,"3,771",1.97,-,--,4.47,-,5.11,-,3.81,-
2008Q3,"1,037,424",2.64,"598,671",2.34,"438,753",3.06,"55,412",3.19,"111,146",3.32,"2,457",28.71,"13,146",3.10,"400,790",-0.42,"92,975",3.31,"108,475",6.08,"4,149",6.33,"4,870",-1.93,"26,236",12.80,"7,924",14.36,"100,045",4.52,"101,355",3.83,"3,508",15.47,"1,140",29.84,"3,796",2.21,-,--,4.51,-,5.15,-,3.85,-
2008Q4,"1,040,585",1.94,"599,664",1.59,"440,921",2.43,"55,569",2.30,"111,623",2.54,"2,632",28.96,"13,154",2.03,"397,920",-1.26,"93,346",2.57,"109,835",5.32,"4,235",6.59,"4,792",-4.27,"27,018",11.57,"8,151",13.10,"101,846",4.86,"101,827",2.86,"3,649",15.73,"1,211",27.47,"3,777",0.69,-,--,4.52,-,5.16,-,3.86,-
2009Q1,"1,045,560",1.99,"601,873",1.55,"443,687",2.59,"55,752",2.08,"112,139",2.34,"2,716",24.99,"13,168",1.40,"396,412",-1.35,"93,776",2.36,"111,674",5.62,"4,268",6.59,"4,824",-3.27,"27,681",11.38,"8,416",13.07,"103,234",5.62,"102,650",3.10,"3,813",16.29,"1,273",25.54,"3,764",0.29,-,--,4.53,-,5.18,-,3.88,-
2009Q2,"1,054,457",2.67,"606,458",2.27,"447,999",3.22,"56,205",2.40,"113,105",2.92,"2,864",23.13,"13,196",1.55,"396,753",-0.78,"94,249",2.20,"113,440",6.51,"4,318",6.43,"4,855",0.91,"28,639",13.14,"8,653",12.61,"104,906",6.45,"104,241",4.59,"3,942",16.25,"1,309",22.57,"3,782",0.29,-,--,4.57,-,5.22,-,3.92,-
2009Q3,"1,060,804",2.25,"609,707",1.84,"451,097",2.81,"56,621",2.18,"113,992",2.56,"2,977",21.16,"13,217",0.54,"395,778",-1.25,"94,612",1.76,"115,118",6.12,"4,371",5.35,"4,904",0.70,"29,624",12.91,"8,950",12.95,"105,810",5.76,"105,630",4.22,"4,065",15.88,"1,359",19.21,"3,776",-0.53,-,--,4.59,-,5.24,-,3.94,-
2009Q4,"1,071,073",2.93,"615,621",2.66,"455,452",3.30,"56,928",2.45,"115,322",3.31,"3,094",17.55,"13,318",1.25,"396,652",-0.32,"95,375",2.17,"116,889",6.42,"4,415",4.25,"4,956",3.42,"30,605",13.28,"9,160",12.38,"107,663",5.71,"107,317",5.39,"4,179",14.52,"1,399",15.52,"3,801",0.64,-,--,4.63,-,5.29,-,3.97,-
2010Q1,"1,063,624",1.73,"610,369",1.41,"453,255",2.16,"55,854",0.18,"114,984",2.54,"3,171",16.75,"13,187",0.14,"391,721",-1.18,"95,457",1.79,"116,547",4.36,"4,384",2.72,"4,722",-2.11,"30,439",9.96,"9,384",11.50,"107,988",4.61,"106,302",3.56,"4,242",11.25,"1,439",13.04,"3,803",1.04,-,--,4.60,-,5.25,-,3.94,-
2010Q2,"1,064,339",0.94,"610,175",0.61,"454,164",1.38,"55,376",-1.47,"115,464",2.09,"3,296",15.08,"13,128",-0.52,"388,407",-2.10,"95,364",1.18,"117,954",3.98,"4,362",1.02,"4,736",-2.45,"31,127",8.69,"9,613",11.09,"108,883",3.79,"107,024",2.67,"4,321",9.61,"1,463",11.76,"3,821",1.03,-,--,4.60,-,5.24,-,3.95,-
2010Q3,"1,071,061",0.97,"613,888",0.69,"457,173",1.35,"55,526",-1.93,"116,373",2.09,"3,416",14.75,"13,229",0.09,"388,141",-1.93,"96,006",1.47,"119,417",3.73,"4,396",0.57,"4,754",-3.06,"31,882",7.62,"9,908",10.70,"109,971",3.93,"108,286",2.51,"4,412",8.54,"1,503",10.60,"3,841",1.72,-,--,4.63,-,5.28,-,3.97,-
2010Q4,"1,076,293",0.49,"616,675",0.17,"459,618",0.91,"55,603",-2.33,"117,103",1.54,"3,518",13.70,"13,329",0.08,"387,369",-2.34,"96,565",1.25,"120,776",3.33,"4,458",0.97,"4,749",-4.18,"32,580",6.45,"10,160",10.92,"110,809",2.92,"109,402",1.94,"4,479",7.18,"1,542",10.22,"3,851",1.32,-,--,4.65,-,5.30,-,3.99,-
2011Q1,"1,077,544",1.31,"617,073",1.10,"460,471",1.59,"55,529",-0.58,"117,168",1.90,"3,594",13.34,"13,322",1.02,"385,550",-1.58,"96,997",1.61,"121,752",4.47,"4,469",1.94,"4,747",0.53,"32,802",7.76,"10,409",10.92,"111,469",3.22,"109,721",3.22,"4,560",7.50,"1,587",10.28,"3,868",1.71,-,--,4.65,-,5.31,-,3.99,-
2011Q2,"1,085,001",1.94,"621,028",1.78,"463,973",2.16,"55,794",0.75,"118,122",2.30,"3,721",12.89,"13,319",1.45,"386,050",-0.61,"97,175",1.90,"123,498",4.70,"4,528",3.81,"4,772",0.76,"33,788",8.55,"10,708",11.39,"112,165",3.01,"111,174",3.88,"4,648",7.57,"1,651",12.85,"3,888",1.75,-,--,4.68,-,5.34,-,4.02,-
2011Q3,"1,093,219",2.07,"625,266",1.85,"467,953",2.36,"56,091",1.02,"119,185",2.42,"3,797",11.15,"13,511",2.13,"386,349",-0.46,"97,915",1.99,"125,396",5.01,"4,528",3.00,"4,739",-0.32,"34,827",9.24,"10,950",10.52,"113,023",2.78,"112,573",3.96,"4,720",6.98,"1,710",13.77,"3,905",1.67,-,--,4.71,-,5.37,-,4.05,-
2011Q4,"1,100,436",2.24,"629,179",2.03,"471,257",2.53,"56,373",1.38,"120,035",2.50,"3,893",10.66,"13,595",2.00,"386,217",-0.30,"98,407",1.91,"126,917",5.08,"4,535",1.73,"4,777",0.59,"35,781",9.83,"11,212",10.35,"113,992",2.87,"114,213",4.40,"4,791",6.97,"1,746",13.23,"3,952",2.62,-,--,4.74,-,5.40,-,4.07,-
2012Q1,"1,102,602",2.33,"630,007",2.10,"472,595",2.63,"56,318",1.42,"120,225",2.61,"4,003",11.38,"13,642",2.40,"384,641",-0.24,"98,791",1.85,"128,316",5.39,"4,552",1.86,"4,765",0.38,"36,202",10.37,"11,453",10.03,"114,509",2.73,"114,599",4.45,"4,837",6.07,"1,790",12.79,"3,959",2.35,-,--,4.74,-,5.41,-,4.08,-
2012Q2,"1,110,304",2.33,"634,124",2.11,"476,180",2.63,"56,589",1.42,"120,988",2.43,"4,127",10.91,"13,675",2.67,"385,148",-0.23,"99,165",2.05,"130,202",5.43,"4,581",1.17,"4,793",0.44,"36,977",9.44,"11,712",9.38,"115,392",2.88,"116,242",4.56,"4,930",6.07,"1,822",10.36,"3,961",1.88,-,--,4.77,-,5.44,-,4.10,-
2012Q3,"1,104,849",1.06,"629,398",0.66,"475,451",1.60,"56,194",0.18,"121,217",1.70,"4,169",9.80,"13,339",-1.27,"378,969",-1.91,"98,767",0.87,"129,998",3.67,"4,570",0.93,"4,317",-8.90,"37,768",8.44,"12,339",12.68,"117,321",3.80,"114,481",1.69,"4,851",2.78,"1,920",12.28,"3,914",0.23,715,--,4.75,-,5.40,-,4.09,-
2012Q4,"1,117,518",1.55,"636,287",1.13,"481,231",2.12,"56,582",0.37,"122,285",1.87,"4,256",9.32,"13,396",-1.46,"381,127",-1.32,"99,621",1.23,"132,024",4.02,"4,586",1.12,"4,129",-13.56,"39,441",10.23,"12,817",14.32,"119,514",4.84,"114,986",0.68,"4,977",3.88,"1,994",14.20,"3,901",-1.29,"1,882",--,4.79,-,5.45,-,4.13,-
2013Q1,"1,125,615",2.09,"640,791",1.71,"484,824",2.59,"56,848",0.94,"122,840",2.18,"4,190",4.67,"13,206",-3.20,"382,391",-0.58,"100,363",1.59,"133,784",4.26,"4,573",0.46,"4,158",-12.74,"40,073",10.69,"13,330",16.39,"121,254",5.89,"115,309",0.62,"4,971",2.77,"2,034",13.63,"3,816",-3.61,"2,475",--,4.82,-,5.49,-,4.16,-
2013Q2,"1,128,032",1.60,"641,519",1.17,"486,513",2.17,"56,953",0.64,"123,028",1.69,"4,101",-0.63,"13,295",-2.78,"381,849",-0.86,"100,380",1.23,"135,140",3.79,"4,571",-0.22,"4,205",-12.27,"40,417",9.30,"13,366",14.12,"120,789",4.68,"116,433",0.16,"4,854",-1.54,"2,012",10.43,"3,776",-4.67,"2,863",--,4.83,-,5.49,-,4.17,-
2013Q3,"1,135,566",2.78,"643,896",2.30,"491,670",3.41,"57,268",1.91,"123,389",1.79,"4,139",-0.72,"13,556",1.63,"382,836",1.02,"100,809",2.07,"137,245",5.57,"4,546",-0.53,"4,213",-2.41,"41,175",9.02,"13,258",7.45,"121,907",3.91,"117,636",2.76,"4,829",-0.45,"2,040",6.25,"3,689",-5.75,"3,031",323.92,4.86,-,5.51,-,4.21,-
2013Q4,"1,125,113",0.68,"639,969",0.58,"485,144",0.81,"56,840",0.46,"122,348",0.05,"4,063",-4.53,"13,509",0.84,"379,405",-0.45,"99,488",-0.13,"136,599",3.47,"4,570",-0.35,"4,213",2.03,"40,717",3.24,"13,072",1.99,"119,666",0.13,"116,735",1.52,"4,693",-5.71,"2,143",7.47,"3,708",-4.95,"3,344",77.68,4.81,-,5.48,-,4.15,-
2014Q1,"1,125,632",0.00,"640,162",-0.10,"485,470",0.13,"56,817",-0.05,"122,251",-0.48,"3,950",-5.73,"13,376",1.29,"375,850",-1.71,"102,404",2.03,"138,127",3.25,"4,540",-0.72,"4,308",3.61,"41,494",3.55,"13,440",0.83,"117,414",-3.17,"113,999",-1.14,"4,583",-7.81,"2,033",-0.05,"7,198",88.63,"3,848",55.47,4.81,-,5.48,-,4.15,-
2014Q2,"1,131,097",0.27,"643,288",0.28,"487,809",0.27,"56,941",-0.02,"122,409",-0.50,"3,917",-4.49,"13,355",0.45,"375,606",-1.63,"103,005",2.62,"139,555",3.27,"4,536",-0.77,"4,292",2.07,"42,131",4.24,"13,544",1.33,"121,322",0.44,"115,768",-0.57,"4,718",-2.80,"2,039",1.34,"3,587",-5.01,"4,372",52.71,4.84,-,5.51,-,4.17,-
