期間,原住民人數_原始值,原住民人數_年增率(%),原住民人數_原始值,原住民人數_年增率(%),原住民人數_原始值,原住民人數_年增率(%),平地原住民人數_原始值,平地原住民人數_年增率(%),平地原住民人數_原始值,平地原住民人數_年增率(%),平地原住民人數_原始值,平地原住民人數_年增率(%),山地原住民人數_原始值,山地原住民人數_年增率(%),山地原住民人數_原始值,山地原住民人數_年增率(%),山地原住民人數_原始值,山地原住民人數_年增率(%)
2013M05,"529,784",1.31,"258,934",1.14,"270,850",1.47,"249,149",1.21,"123,067",1.02,"126,082",1.40,"280,635",1.39,"135,867",1.26,"144,768",1.52
2013M06,"530,277",1.29,"259,144",1.12,"271,133",1.46,"249,389",1.21,"123,163",0.99,"126,226",1.43,"280,888",1.37,"135,981",1.24,"144,907",1.50
2013M07,"530,756",1.28,"259,348",1.10,"271,408",1.45,"249,602",1.19,"123,257",0.98,"126,345",1.40,"281,154",1.35,"136,091",1.21,"145,063",1.49
2013M08,"531,435",1.25,"259,635",1.09,"271,800",1.42,"249,918",1.18,"123,409",0.99,"126,509",1.36,"281,517",1.32,"136,226",1.17,"145,291",1.46
2013M09,"532,061",1.24,"259,913",1.07,"272,148",1.40,"250,180",1.16,"123,526",0.97,"126,654",1.35,"281,881",1.31,"136,387",1.16,"145,494",1.45
2013M10,"532,600",1.23,"260,185",1.08,"272,415",1.37,"250,407",1.16,"123,639",0.99,"126,768",1.33,"282,193",1.29,"136,546",1.16,"145,647",1.40
2013M11,"533,139",1.22,"260,423",1.08,"272,716",1.36,"250,606",1.14,"123,719",0.97,"126,887",1.31,"282,533",1.29,"136,704",1.17,"145,829",1.40
2013M12,"533,601",1.20,"260,616",1.06,"272,985",1.35,"250,815",1.12,"123,800",0.94,"127,015",1.30,"282,786",1.28,"136,816",1.17,"145,970",1.39
2014M01,"534,007",1.18,"260,788",1.04,"273,219",1.32,"251,029",1.12,"123,894",0.94,"127,135",1.30,"282,978",1.24,"136,894",1.13,"146,084",1.34
2014M02,"534,561",1.20,"260,983",1.04,"273,578",1.35,"251,290",1.13,"123,965",0.92,"127,325",1.34,"283,271",1.26,"137,018",1.14,"146,253",1.36
2014M03,"534,981",1.17,"261,179",1.02,"273,802",1.31,"251,516",1.12,"124,061",0.93,"127,455",1.31,"283,465",1.21,"137,118",1.11,"146,347",1.30
2014M04,"535,492",1.17,"261,383",1.03,"274,109",1.31,"251,724",1.12,"124,128",0.93,"127,596",1.31,"283,768",1.22,"137,255",1.12,"146,513",1.32
2014M05,"535,953",1.16,"261,562",1.01,"274,391",1.31,"251,965",1.13,"124,225",0.94,"127,740",1.32,"283,988",1.19,"137,337",1.08,"146,651",1.30
2014M06,"536,509",1.18,"261,798",1.02,"274,711",1.32,"252,174",1.12,"124,311",0.93,"127,863",1.30,"284,335",1.23,"137,487",1.11,"146,848",1.34
2014M07,"537,103",1.20,"262,028",1.03,"275,075",1.35,"252,457",1.14,"124,422",0.95,"128,035",1.34,"284,646",1.24,"137,606",1.11,"147,040",1.36
2014M08,"537,766",1.19,"262,303",1.03,"275,463",1.35,"252,756",1.14,"124,526",0.91,"128,230",1.36,"285,010",1.24,"137,777",1.14,"147,233",1.34
