期間,1982,1983,1984,1985,1986
5.減 備抵跌價損失,...,...,...,...,...
九、存貨,"171,395","172,004","139,071","132,082","106,912"
十、固定資產淨額,"924,674","1,081,125","1,153,783","1,174,345","1,212,705"
1.土地,"97,486","122,830","140,844","149,080","153,488"
2.建築物及其他設備,"827,188","958,295","1,012,939","1,025,265","1,059,217"
3.累積折舊及折耗,...,...,...,...,...
十一、無形資產、遞延資產及用品盤存,"12,184","15,783","15,489","12,698","12,916"
負債合計,"728,258","744,647","655,662","605,903","546,424"
一、國內金融機構借款,"244,558","242,554","230,707","214,573","211,267"
二、金融機構以外借款,"44,338","47,632","41,453","36,035","28,887"
1.政府,"32,088","35,452","32,525","28,059","22,379"
2.公營事業,933,"1,883","3,363","3,433","2,830"
3.民營企業,...,...,...,...,...
4.個人及非營利團體,"11,317","10,297","5,565","4,543","3,678"
三、國外借款,"197,996","208,029","173,263","150,397","94,675"
四、附買(賣)回交易,...,...,...,...,...
五、應付及預收款項淨額,"169,255","163,333","123,970","117,374","127,537"
1.政府,"77,533","71,451","40,270","42,485","44,396"
2.金融機構,"6,353","5,568","4,827","4,174","4,452"
3.公營事業,"29,653","29,825","22,244","21,215","22,090"
4.民營企業,"23,105","21,760","21,624","20,672","25,107"
5.個人及非營利團體,"11,038","15,674","15,213","14,732","18,685"
6.國外,"21,573","19,055","19,792","14,096","12,807"
六、應付商業本票,"10,825","9,193","10,853","13,006","14,253"
七、應付銀行承兌匯票,384,"4,150","12,033","16,066","11,227"
八、應付國內公司債,"30,499","27,888","30,121","26,567","33,874"
九、應付國外有價證券,...,...,...,...,...
十、營業準備,"26,327","22,571","14,847","14,466","10,947"
十一、職工退休金及福利金準備,...,...,...,...,...
十二、估計應付土地增值稅,"4,076","19,297","18,415","17,419","13,757"
十三、衍生性金融商品負債,...,...,...,...,...
十四、遞延貸項,...,...,...,...,...
淨值合計,"622,293","780,350","911,013","999,342","1,084,638"
一、實收資本額,"255,064","292,112","315,160","351,240","392,498"
1.政府,"238,693","273,768","295,587","325,865","366,379"
2.金融機構,"7,183","8,789","9,515","11,468","12,011"
3.公營事業,"7,736","8,232","8,343","11,963","11,975"
4.民營企業,258,273,271,302,291
5.個人及非營利團體,"1,190","1,049","1,443","1,640","1,842"
6.國外,4,1,1,2,...
二、公積及累積盈虧,"367,229","488,238","595,853","648,102","692,140"
資產合計,"1,641,849","1,790,187","1,934,286","2,088,685","2,210,354"
一、庫存現金及零用金,445,454,495,473,466
二、金融機構存款及信託資金,"118,343","131,610","203,214","205,857","190,723"
1.活期性存款,"38,358","25,962","21,553","20,382","20,747"
2.定期性存款,"71,272","97,343","175,000","174,841","160,232"
3.外匯存款,"7,464","6,804","5,213","9,733","7,392"
4.信託資金,"1,249","1,501","1,448",901,"2,352"
三、附賣(買)回交易,...,...,...,...,...
四、融通,"8,635","3,038","4,031","5,041","1,538"
1.政府,...,...,...,...,...
2.金融機構,...,...,...,...,...
3.公營事業,"7,485","1,297","2,591","3,498",112
4.民營企業,309,306,92,58,17
5.個人及非營利團體,841,"1,435","1,348","1,485","1,409"
6.國外,...,...,...,...,...
五、應收及預付款項淨額,"109,146","163,536","159,666","175,244","179,028"
1.政府,"21,935","39,260","32,319","31,073","36,266"
2.金融機構,"6,227","10,752","9,406","10,042","19,096"
3.公營事業,"26,533","37,874","45,442","33,122","31,762"
4.民營企業,"28,112","36,719","37,995","48,206","44,134"
5.個人及非營利團體,"11,418","13,670","18,365","15,339","17,096"
6.國外,"16,100","26,333","17,303","38,827","31,705"
7.備抵呆帳,"1,179","1,072","1,164","1,365","1,031"
六、有價證券及投資淨額,"24,302","26,540","26,290","29,336","24,727"
1.商業本票,"2,467","1,284","1,490",857,"1,112"
2.銀行承兌匯票,"3,079","5,782","5,216","9,096","5,026"
3.政府公債及國庫券,"2,461","1,518","2,060","1,981","2,274"
4.公司債,540,540,912,156,26
5.金融債券,1,11,4,...,1
6.受益憑證,...,...,...,...,...
7.金融機構股份,361,444,481,734,849
8.公營事業股份,"12,755","14,066","13,262","13,003","10,910"
9.民營企業股份,"2,638","2,895","2,865","3,509","4,529"
10.衍生性金融商品,...,...,...,...,...
11.其他國內投資,...,...,...,...,...
12.減 備抵跌價損失,...,...,...,...,...
七、國內不動產投資及閒置設備,"7,467","5,026","2,515","7,865","1,445"
八、國外投資淨額,"1,634","1,539","1,291","1,897","1,058"
1.國外存款,...,...,...,...,...
2.直接投資,756,787,796,"1,104",678
3.有價證券投資,878,752,495,793,380
4.不動產投資,...,...,...,...,...
5.減 備抵跌價損失,...,...,...,...,...
九、存貨,"113,373","113,283","122,561","135,170","132,653"
十、固定資產淨額,"1,245,982","1,332,947","1,403,609","1,517,487","1,659,526"
1.土地,"171,507","209,926","214,153","225,178","256,781"
2.建築物及其他設備,"1,074,475","1,123,021","1,189,456","1,292,309","1,402,745"
3.累積折舊及折耗,...,...,...,...,...
十一、無形資產、遞延資產及用品盤存,"12,522","12,214","10,614","10,315","19,190"
負債合計,"476,045","508,232","545,096","676,087","724,681"
一、國內金融機構借款,"162,529","175,608","205,237","234,804","292,907"
二、金融機構以外借款,"29,881","25,951","36,876","50,016","51,638"
1.政府,"27,122","15,589","18,006","25,423","17,254"
2.公營事業,"1,570",416,"1,237","2,715",47
3.民營企業,...,140,...,...,30
4.個人及非營利團體,"1,189","9,806","17,633","21,878","34,307"
三、國外借款,"51,224","43,700","26,155","20,179","14,326"
四、附買(賣)回交易,...,...,...,...,...
五、應付及預收款項淨額,"154,988","190,222","210,680","246,143","253,099"
1.政府,"64,730","76,344","60,411","63,811","73,720"
2.金融機構,"4,965","3,428","4,487","6,305","7,151"
3.公營事業,"26,523","24,362","43,077","41,745","37,329"
4.民營企業,"25,565","37,195","46,756","58,776","60,775"
5.個人及非營利團體,"14,492","19,195","30,855","38,798","45,880"
6.國外,"18,713","29,698","25,094","36,708","28,244"
六、應付商業本票,"6,226","9,675","9,700","62,700","43,143"
七、應付銀行承兌匯票,"11,515","3,760","2,926","2,809","1,962"
八、應付國內公司債,"39,863","40,455","35,718","40,797","46,846"
九、應付國外有價證券,...,...,...,...,...
十、營業準備,"6,308","4,445","3,546","4,460","4,518"
十一、職工退休金及福利金準備,...,...,...,...,...
十二、估計應付土地增值稅,"13,511","14,416","14,258","14,179","16,242"
十三、衍生性金融商品負債,...,...,...,...,...
十四、遞延貸項,...,...,...,...,...
淨值合計,"1,165,804","1,281,955","1,389,190","1,412,598","1,485,673"
一、實收資本額,"448,021","476,291","495,312","525,666","565,679"
1.政府,"418,093","444,592","458,473","488,606","525,192"
2.金融機構,"15,143","14,353","18,324","19,171","20,203"
3.公營事業,"12,294","14,823","14,087","12,992","10,667"
4.民營企業,320,326,402,589,623
5.個人及非營利團體,"2,170","2,197","4,026","4,308","8,994"
6.國外,1,...,...,...,...
二、公積及累積盈虧,"717,783","805,664","893,878","886,932","919,994"
資產合計,"2,360,606","2,531,484","2,642,781","2,771,784","3,394,766"
一、庫存現金及零用金,463,456,475,438,534
二、金融機構存款及信託資金,"196,333","204,846","176,480","183,876","194,151"
1.活期性存款,"24,115","35,460","27,946","35,299","28,978"
2.定期性存款,"161,580","157,257","142,577","140,305","161,363"
3.外匯存款,"5,518","4,592","3,699","5,244","3,788"
4.信託資金,"5,120","7,537","2,258","3,028",22
三、附賣(買)回交易,...,...,...,...,...
四、融通,642,598,533,"2,571","4,895"
1.政府,...,...,...,...,...
2.金融機構,...,...,...,...,...
3.公營事業,116,11,11,11,"1,281"
4.民營企業,8,7,6,278,13
5.個人及非營利團體,518,580,516,"2,282","3,360"
6.國外,...,...,...,...,241
五、應收及預付款項淨額,"178,990","199,267","205,255","234,945","262,030"
1.政府,"50,051","47,876","45,209","37,917","38,182"
2.金融機構,"16,100","13,289","12,869","10,385","14,645"
3.公營事業,"34,251","35,087","38,707","81,510","73,689"
4.民營企業,"45,885","55,793","58,453","52,675","59,165"
5.個人及非營利團體,"18,207","20,626","24,149","24,744","24,530"
6.國外,"15,359","27,410","26,718","28,531","52,516"
7.備抵呆帳,863,814,850,817,697
六、有價證券及投資淨額,"25,738","20,559","36,060","51,363","88,696"
1.商業本票,"5,636",206,"18,766","2,414","33,576"
2.銀行承兌匯票,403,320,404,...,...
3.政府公債及國庫券,"1,335",837,535,"2,438",110
4.公司債,20,15,9,146,...
5.金融債券,"1,400","1,451","2,071","1,200",32
6.受益憑證,...,...,...,...,254
7.金融機構股份,577,577,258,"35,405","43,335"
8.公營事業股份,"10,711","10,508","2,448","2,024","3,543"
9.民營企業股份,"5,656","6,645","11,569","7,736","7,847"
10.衍生性金融商品,...,...,...,...,...
11.其他國內投資,...,...,...,...,...
12.減 備抵跌價損失,...,...,...,...,1
七、國內不動產投資及閒置設備,"9,800","10,070","13,650","12,979","23,645"
八、國外投資淨額,776,815,760,863,"3,909"
1.國外存款,...,...,...,146,"3,109"
2.直接投資,515,433,322,575,800
3.有價證券投資,261,382,438,142,...
4.不動產投資,...,...,...,...,...
5.減 備抵跌價損失,...,...,...,...,...
九、存貨,"134,147","128,244","128,506","133,015","157,246"
十、固定資產淨額,"1,792,594","1,941,317","2,054,492","2,113,238","2,612,727"
1.土地,"315,265","383,823","437,951","518,591","979,252"
2.建築物及其他設備,"1,477,329","1,557,494","1,616,541","2,790,509","2,950,429"
3.累積折舊及折耗,...,...,...,"1,195,862","1,316,954"
十一、無形資產、遞延資產及用品盤存,"21,123","25,312","26,570","38,496","46,933"
負債合計,"832,789","875,499","941,089","984,960","1,372,848"
一、國內金融機構借款,"329,958","345,046","346,189","371,437","385,974"
二、金融機構以外借款,"67,602","79,402","85,759","98,796","100,365"
1.政府,"33,160","37,033","37,049","41,849","39,566"
2.公營事業,700,154,45,...,252
3.民營企業,30,22,14,7,...
4.個人及非營利團體,"33,712","42,193","48,651","56,940","60,547"
三、國外借款,"15,210","6,936","5,842","10,474","2,366"
四、附買(賣)回交易,...,...,...,...,...
五、應付及預收款項淨額,"312,449","318,707","348,139","360,879","450,560"
1.政府,"124,581","89,787","108,433","71,635","129,775"
2.金融機構,"7,600","10,361","7,200","8,312","8,281"
3.公營事業,"41,447","49,288","53,503","49,446","45,470"
4.民營企業,"71,595","72,256","66,969","109,378","107,320"
5.個人及非營利團體,"45,662","71,040","80,507","97,762","122,233"
6.國外,"21,564","25,975","31,527","24,346","37,481"
六、應付商業本票,"27,837","44,097","15,791","21,774","42,940"
七、應付銀行承兌匯票,"3,838","8,226","28,896","4,900","4,400"
八、應付國內公司債,"46,008","35,255","31,520","20,160","34,413"
九、應付國外有價證券,...,...,...,...,...
十、營業準備,"2,174","1,648","1,788","1,736","1,052"
十一、職工退休金及福利金準備,...,...,...,...,335
十二、估計應付土地增值稅,"27,713","36,182","77,165","94,804","350,443"
十三、衍生性金融商品負債,...,...,...,...,...
十四、遞延貸項,...,...,...,...,...
淨值合計,"1,527,817","1,655,985","1,701,692","1,786,824","2,021,918"
一、實收資本額,"570,487","658,852","731,174","800,926","902,700"
1.政府,"520,986","604,592","679,419","767,464","868,327"
2.金融機構,"20,802","23,356","24,823","23,537","27,117"
3.公營事業,"10,526","10,533","3,189","2,437","3,364"
4.民營企業,"2,499","2,481","2,178","4,918",885
5.個人及非營利團體,"12,074","14,534","16,712","2,570","3,007"
6.國外,"3,600","3,356","4,853",...,...
二、公積及累積盈虧,"957,330","997,133","970,518","985,898","1,119,218"
資產合計,"3,499,545","3,632,880","4,148,069","4,989,927","4,922,214","4,955,712","4,916,695","4,904,859"
一、庫存現金及零用金,599,630,"1,727",624,552,589,757,677
二、金融機構存款及信託資金,"186,726","216,966","210,645","205,283","163,106","148,673","147,439","135,469"
1.活期性存款,"26,248","23,207","32,219","36,845","22,325","16,936","17,324","14,845"
2.定期性存款,"157,742","187,180","170,642","163,201","138,231","128,094","128,058","119,417"
3.外匯存款,"2,736","6,562","7,713","5,237","2,550","3,643","2,056","1,206"
4.信託資金,...,17,71,...,...,...,1,1
三、附賣(買)回交易,...,...,...,...,...,...,...,"2,800"
四、融通,"3,764","3,624","2,433","2,196",253,248,3,1
1.政府,...,...,...,...,...,...,...,...
2.金融機構,...,...,...,...,...,...,...,...
3.公營事業,"1,352","1,477",266,154,...,...,...,...
4.民營企業,0,...,10,...,...,...,...,...
5.個人及非營利團體,"2,171","1,906","1,916","1,801",12,7,3,1
6.國外,241,241,241,241,241,241,...,...
五、應收及預付款項淨額,"249,592","276,105","295,056","247,889","244,656","223,788","216,628","252,946"
1.政府,"44,493","85,043","64,590","63,055","79,575","75,235","57,981","68,778"
2.金融機構,"33,494","33,649","15,443","14,570","14,189","10,919","3,008","2,908"
3.公營事業,"52,607","39,035","66,062","39,516","12,582","11,910","13,949","22,122"
4.民營企業,"55,764","52,564","74,012","67,909","78,034","78,081","81,946","84,331"
5.個人及非營利團體,"22,763","20,586","22,841","23,529","12,959","12,007","11,093","11,316"
6.國外,"41,752","46,102","54,967","42,308","54,110","45,107","58,970","71,251"
7.備抵呆帳,"1,281",874,"2,859","2,998","6,793","9,471","10,319","7,760"
六、有價證券及投資淨額,"127,326","109,910","102,908","78,176","97,867","127,428","99,069","128,207"
1.商業本票,"59,569","47,996","28,318","46,961","8,643","16,440","21,430","40,275"
2.銀行承兌匯票,246,...,...,...,...,4,...,...
3.政府公債及國庫券,412,"2,021","1,807",755,770,55,"4,698","8,962"
4.公司債,...,202,547,635,632,700,317,"1,029"
5.金融債券,186,920,984,"1,946",...,200,"2,722","4,075"
6.受益憑證,"2,564","1,735","12,382","5,726","39,962","57,885","33,920","38,949"
7.金融機構股份,"45,377","42,750","42,478","2,683","19,416","19,564",567,238
8.公營事業股份,"3,540","4,275","4,236","4,214",733,452,359,359
9.民營企業股份,"9,174","10,157","12,430","16,653","29,768","33,174","35,123","34,430"
10.衍生性金融商品,...,...,...,...,...,...,...,...
11.其他國內投資,"6,282",...,...,44,...,...,...,...
12.減 備抵跌價損失,24,146,274,"1,441","2,057","1,046",67,110
七、國內不動產投資及閒置設備,"23,609","35,545","54,698","94,056","129,311","163,581","172,925","169,284"
八、國外投資淨額,"8,326","7,617","2,210","4,186","4,627","6,388","5,293","6,441"
1.國外存款,"2,156","1,667",62,29,179,183,165,240
2.直接投資,"6,170","5,950","2,148","4,157","4,448","5,801","4,828","6,123"
3.有價證券投資,...,...,...,...,...,404,300,227
4.不動產投資,...,...,...,...,...,...,...,0
5.減 備抵跌價損失,...,...,...,...,...,...,...,149
九、存貨,"171,967","161,448","169,816","234,199","204,987","198,308","190,473","199,018"
十、固定資產淨額,"2,667,248","2,759,163","3,213,309","4,012,613","3,999,745","3,991,426","3,934,102","3,872,052"
1.土地,"1,006,108","1,068,660","1,452,230","2,197,179","2,153,510","2,103,849","2,063,866","2,026,864"
2.建築物及其他設備,"3,087,513","3,219,870","3,391,558","3,552,588","3,681,936","3,823,996","3,900,468","3,965,319"
3.累積折舊及折耗,"1,426,373","1,529,367","1,630,479","1,737,154","1,835,701","1,936,419","2,030,232","2,120,131"
十一、無形資產、遞延資產及用品盤存,"60,388","61,872","95,267","110,705","77,110","95,283","150,006","137,964"
負債合計,"1,414,105","1,427,859","1,528,207","2,047,330","2,017,887","2,084,409","2,160,992","2,161,239"
一、國內金融機構借款,"392,342","337,468","373,612","400,957","468,458","491,901","474,952","492,346"
二、金融機構以外借款,"122,116","163,735","172,064","201,120","136,144","139,608","152,121","162,815"
1.政府,"53,320","144,217","147,600","151,279","136,144","139,608","152,121","162,815"
2.公營事業,248,"19,518","24,463","49,841",...,...,...,...
3.民營企業,...,...,1,...,...,...,...,...
4.個人及非營利團體,"68,548",0,...,...,...,...,...,...
三、國外借款,"5,598","4,330",294,"2,771","1,383","1,000",388,...
四、附買(賣)回交易,...,...,...,...,...,...,...,...
五、應付及預收款項淨額,"459,874","437,898","544,663","630,860","472,798","478,693","551,406","517,174"
1.政府,"119,551","98,537","121,515","181,421","125,421","117,728","134,913","115,359"
2.金融機構,"11,633","10,867","4,815","9,635","9,366","9,068","19,983","25,825"
3.公營事業,"32,643","40,919","41,556","38,119","28,955","38,426","31,473","28,390"
4.民營企業,"111,359","104,099","119,164","118,123","75,933","76,361","83,933","87,943"
5.個人及非營利團體,"137,610","143,014","198,950","231,197","190,784","195,441","229,373","203,100"
6.國外,"47,078","40,462","58,663","52,365","42,339","41,669","51,731","56,557"
六、應付商業本票,"40,080","65,695","53,901","40,439","76,615","64,832","38,656","26,391"
七、應付銀行承兌匯票,"1,750","4,200",...,...,7,...,...,...
八、應付國內公司債,"32,020","50,850","57,950","84,685","126,220","177,610","215,688","239,763"
九、應付國外有價證券,...,...,...,...,...,...,...,...
十、營業準備,"1,023",652,707,479,374,334,516,572
十一、職工退休金及福利金準備,167,50,228,146,44,38,45,50
十二、估計應付土地增值稅,"359,135","362,981","324,788","685,873","680,289","674,213","670,653","665,453"
十三、衍生性金融商品負債,...,...,...,...,...,...,...,...
十四、遞延貸項,...,...,...,...,"55,555","56,180","56,567","56,675"
淨值合計,"2,085,440","2,205,021","2,619,862","2,942,597","2,904,327","2,871,303","2,755,703","2,743,620"
一、實收資本額,"936,822","984,397","1,027,905","1,063,455","1,076,158","1,112,390","1,085,727","1,078,193"
1.政府,"900,606","947,235","989,973","1,026,612","1,037,335","1,059,792","1,017,330","1,009,807"
2.金融機構,"28,721","28,421","30,331","29,077","29,191","30,274","39,975","39,135"
3.公營事業,"3,413","2,843","2,909","2,963","1,243","1,245","1,196",799
4.民營企業,727,730,846,808,790,"15,658","3,965","5,003"
5.個人及非營利團體,"3,190","5,060","3,737","3,922","7,490","5,310","7,487","7,120"
6.國外,165,108,109,73,109,111,"15,774","16,329"
二、公積及累積盈虧,"1,148,618","1,220,624","1,591,957","1,879,142","1,828,169","1,758,913","1,669,976","1,665,427"
