期間,醫療補助-受益人次-合計_原始值,醫療補助-受益人次-合計_年增率(%),醫療補助-受益人次-男_原始值,醫療補助-受益人次-男_年增率(%),醫療補助-受益人次-女_原始值,醫療補助-受益人次-女_年增率(%),醫療補助-金額(元)_原始值,醫療補助-金額(元)_年增率(%),中低收入住院看護補助-補助人次-計_原始值,中低收入住院看護補助-補助人次-計_年增率(%),中低收入住院看護補助-補助人次-男_原始值,中低收入住院看護補助-補助人次-男_年增率(%),中低收入住院看護補助-補助人次-女_原始值,中低收入住院看護補助-補助人次-女_年增率(%),中低收入住院看護補助-金額(元)_原始值,中低收入住院看護補助-金額(元)_年增率(%)
2008Q3,"2,146",-13.01,"1,620",-5.76,526,-29.68,"24,581,025",-15.26,"1,626",11.83,"1,149",11.88,477,11.71,"28,992,558",10.48
2008Q4,"2,764",-22.66,"2,027",-20.01,737,-29.13,"34,589,315",-6.03,"1,819",5.76,"1,299",6.56,520,3.79,"31,686,310",2.45
2009Q1,"1,152",-11.86,825,-13.07,327,-8.66,"15,140,429",43.85,"1,407",8.90,979,4.82,428,19.55,"25,284,778",19.55
2009Q2,"1,400",-21.79,979,-23.58,421,-17.29,"17,258,842",20.46,"1,841",4.37,"1,263",2.35,578,9.06,"31,373,219",-2.81
2009Q3,"1,199",-44.13,872,-46.17,327,-37.83,"15,992,563",-34.94,"1,784",9.72,"1,263",9.92,521,9.22,"30,959,641",6.78
2009Q4,"1,735",-37.23,"1,281",-36.80,454,-38.40,"18,002,612",-47.95,"2,001",10.01,"1,417",9.08,584,12.31,"34,051,676",7.46
2010Q1,"1,252",8.68,947,14.79,305,-6.73,"14,330,277",-5.35,"1,632",15.99,"1,131",15.53,501,17.06,"24,567,968",-2.83
2010Q2,"1,281",-8.50,958,-2.15,323,-23.28,"15,868,743",-8.05,"2,143",16.40,"1,505",19.16,638,10.38,"34,587,396",10.24
2010Q3,"1,426",18.93,"1,071",22.82,355,8.56,"15,072,069",-5.76,"1,913",7.23,"1,397",10.61,516,-0.96,"30,971,035",0.04
2010Q4,"1,814",4.55,"1,375",7.34,439,-3.30,"18,755,835",4.18,"2,378",18.84,"1,673",18.07,705,20.72,"38,580,546",13.30
2011Q1,"1,460",16.61,"1,126",18.90,334,9.51,"15,800,012",10.26,"1,967",20.53,"1,390",22.90,577,15.17,"31,970,903",30.13
2011Q2,"1,140",-11.01,853,-10.96,287,-11.15,"17,272,280",8.84,"2,551",19.04,"1,822",21.06,729,14.26,"42,786,417",23.71
2011Q3,"1,305",-8.49,995,-7.10,310,-12.68,"15,331,065",1.72,"2,448",27.97,"1,771",26.77,677,31.20,"41,505,495",34.01
2011Q4,"1,478",-18.52,"1,100",-20.00,378,-13.90,"22,514,297",20.04,"2,795",17.54,"2,085",24.63,710,0.71,"46,424,341",20.33
2012Q1,"1,010",-30.82,749,-33.48,261,-21.86,"15,747,103",-0.33,"2,352",19.57,"1,661",19.50,691,19.76,"38,682,394",20.99
2012Q2,"1,268",11.23,944,10.67,324,12.89,"17,144,697",-0.74,"2,334",-8.51,"1,707",-6.31,627,-13.99,"40,230,502",-5.97
2012Q3,"1,156",-11.42,809,-18.69,347,11.94,"20,127,631",31.29,"2,350",-4.00,"1,710",-3.44,640,-5.47,"39,514,063",-4.80
2012Q4,"1,579",6.83,"1,217",10.64,362,-4.23,"18,736,268",-16.78,"2,631",-5.87,"1,966",-5.71,665,-6.34,"44,403,104",-4.35
2013Q1,955,-5.45,686,-8.41,269,3.07,"17,144,281",8.87,"2,185",-7.10,"1,601",-3.61,584,-15.48,"35,918,945",-7.14
2013Q2,"1,068",-15.77,778,-17.58,290,-10.49,"19,026,989",10.98,"2,650",13.54,"1,943",13.83,707,12.76,"43,712,525",8.66
2013Q3,875,-24.31,543,-32.88,332,-4.32,"18,907,035",-6.06,"2,460",4.68,"1,780",4.09,680,6.25,"41,876,696",5.98
2013Q4,"1,424",-9.82,"1,039",-14.63,385,6.35,"25,328,723",35.19,"2,963",12.62,"2,142",8.95,821,23.46,"47,846,912",7.76
2014Q1,871,-8.80,601,-12.39,270,0.37,"18,100,701",5.58,"2,430",11.21,"1,785",11.49,645,10.45,"41,018,605",14.20
2014Q2,"1,056",-1.12,719,-7.58,337,16.21,"21,737,451",14.25,"2,692",1.58,"1,979",1.85,713,0.85,"45,834,654",4.85
