期間,準備貨幣增( + )  減( - ),國外資產,對政府放款及墊款,公開市場操作買入有價證券,對金融機構債權,政府存款,國庫存款轉存款,金融機構定期存款轉存款,央行發行之國庫券、定期存單及儲蓄券,其他項目
2005M06,"50,303","53,247",-,-,"-57,732","-68,174","-2,283","-3,486","172,925","-44,194"
2005M07,"-43,331","-9,878",-,-,"77,005","29,810","-5,154",-207,"-102,345","-32,562"
2005M08,"16,318","-21,234",-,-,"77,397","-36,757","4,339","-10,469","88,565","-85,523"
2005M09,"59,780","10,019",-,-,"-96,557","-26,717",892,"-6,414","211,385","-32,828"
2005M10,"-118,030","-68,369",-,-,"19,341","32,176","-1,518",840,"-117,710","17,210"
2005M11,"-29,680","47,381",-,-,"-42,028","19,431","-4,400",967,"-50,135",-896
2005M12,"5,943","39,428",-,-,"55,467","17,475","5,760","-48,661","71,375","-134,901"
2006M01,"357,697","73,948",-,-,"-50,749","32,779",-557,"-52,574","165,965","188,885"
2006M02,"-237,683","40,847",-,-,"50,077","-3,452",301,"-2,415","-203,840","-119,201"
2006M03,"-59,834","-44,250",-,-,"-79,668","-13,082",-211,"43,610","-5,235","39,002"
2006M04,"3,536","4,512",-,-,"36,792","-3,467","2,307","35,915","-126,460","53,937"
2006M05,"82,749","11,467",-,-,"-80,766","-18,938",263,"10,766","101,830","58,127"
2006M06,"-12,166","-9,421",-,-,"-35,565","-60,143","-2,145","4,389","132,385","-41,666"
2006M07,"13,638","-13,733",-,-,"129,591","11,141","-4,241","22,361","-102,880","-28,601"
2006M08,"46,154","4,348",-,-,"43,126","67,050","3,040","7,064","4,395","-82,869"
2006M09,"-9,533","42,904",-,-,"180,086","-5,745","1,932","3,073","2,625","-234,408"
2006M10,"-42,136",940,-,-,"-183,470","-5,633","-1,329","-10,763","-49,795","207,914"
2006M11,"2,616","34,761",-,-,"-72,184","13,882","-4,424","1,528","-30,290","59,343"
2006M12,"-20,312","32,987",-,-,"76,793","2,935","6,494","-9,256","-123,810","-6,455"
2007M01,"31,457","25,063",-,-,"-68,648","-17,281",-71,-622,"34,270","58,746"
2007M02,"240,715","32,750",-,-,"-16,628","48,321","1,097","-2,441","168,505","9,111"
2007M03,"-139,897","-46,715",-,-,"87,331","-12,187","2,166","-14,785","-18,090","-137,617"
2007M04,"-31,269","-83,595",-,-,"155,508","17,339",129,"-1,615",-140,"-118,895"
2007M05,"64,849","7,968",-,-,"-108,302","-26,260",-135,"-2,295","167,335","26,538"
2007M06,"-193,719","7,699",-,-,"-42,589","-116,775",-633,"-13,650","7,725","-35,496"
2007M07,"74,445","-47,991",-,-,"-43,627","3,467",65,"-79,765","114,730","127,566"
2007M08,"-39,429","-160,676",-,-,"-96,790","62,156",-317,"18,362","-52,060","189,896"
2007M09,"44,233","-47,703",-,-,"52,771","-1,371",-253,"-8,312","65,425","-16,324"
2007M10,"-32,666","68,337",-,-,"47,749","10,185",-497,"2,239","-142,805","-17,874"
2007M11,"3,387","85,459",-,-,"-63,728","4,516",-718,"-4,200","-11,845","-6,097"
2007M12,"42,197","12,633",-,-,"-11,186","27,242",857,"1,102","-37,420","48,969"
2008M01,"222,745","64,842",-,-,"54,468",957,"-2,428","-2,122","104,550","2,478"
2008M02,"-174,783","140,824",-,-,"134,085",943,"1,503",104,"-431,090","-21,152"
2008M03,"64,308","190,015",-,-,"1,414",-483,"1,405","9,000","-153,105","16,062"
2008M04,"9,126","115,304",-,-,"-42,781","13,177",575,"-1,188","-172,660","96,699"
2008M05,"-101,638","27,624",-,-,"-41,265","-39,475",-703,"5,052","-35,105","-17,766"
2008M06,"50,646",-920,-,-,"-10,289","-154,834",-864,"-1,171","258,240","-39,516"
2008M07,"266,107","10,783",-,-,"-71,558","20,180",-453,"5,000","226,985","75,170"
2008M08,"-35,071","-151,003",-,-,"-42,068","75,438",-338,13,"107,300","-24,413"
2008M09,"-163,671","6,762",-,-,"13,120","47,156",688,"-22,000","-236,100","26,703"
2008M10,"-55,568","162,614",-,"19,292","-26,603","27,753","1,165",12,"-227,530","-12,271"
2008M11,"46,640","63,521",-,"-19,292","124,909","9,515","-3,716",4,"-130,035","1,734"
2008M12,"49,062","183,766",-,-,"-19,694","32,365","2,474","-13,000","-186,095","49,246"
2009M01,"300,403","202,719",-,-,"40,826","-31,004",569,-,"89,650","-2,357"
2009M02,"-269,647","63,851",-,-,"29,238","62,687",666,72,"-398,250","-27,911"
2009M03,"120,415","136,134",-,-,"49,012","-1,632",570,"-75,200","40,060","-28,529"
2009M04,"-28,673","160,817",-,-,"23,351","-16,340",151,3,"-191,620","-5,035"
2009M05,"64,317","161,917",-,-,"154,614","-30,135",-53,-,"-191,645","-30,381"
2009M06,"-71,854","107,900",-,-,"49,216","-71,256",-378,"-6,069","-153,500","2,233"
2009M07,"46,383","118,800",-,-,"85,348","7,190",447,-,"-225,340","59,938"
2009M08,"-21,895","98,369",-,-,"-31,256","8,318",-204,"-2,653","-59,320","-35,149"
2009M09,"3,540","202,186",-,-,"-67,116","-35,955",667,-,"-56,405","-39,837"
2009M10,"1,100","221,026",-,-,"15,199","-1,786",66,-,"-226,690","-6,715"
2009M11,"-10,023","166,010",-,-,"-73,504","-18,222","4,032","5,600","-54,670","-39,269"
2009M12,"44,467","187,759",-,-,"-60,761","47,864",553,-,"-165,810","34,862"
2010M01,"78,593","177,132",-,-,"-102,906","-108,297",247,-,"93,070","19,347"
2010M02,"82,939","146,278",-,-,310,"81,717",93,4,"-100,540","-44,923"
2010M03,"-72,361","132,759",-,-,"35,839","35,793",87,"1,000","-248,230","-29,609"
2010M04,"54,121","138,315",-,-,"17,216","28,950",-273,-,"-101,030","-29,057"
2010M05,"-7,912","286,396",-,-,"-160,299","-56,495",-11,"2,900","-35,895","-44,508"
2010M06,-71,"85,803",-,-,"-80,549","30,584",-373,"-6,800","3,100","-31,836"
2010M07,"12,809","51,340",-,-,"-10,062","-46,434",840,"2,900","-67,930","82,155"
2010M08,"-28,691","149,949",-,-,"-16,701","33,032",321,-,"-146,930","-48,362"
2010M09,"29,142","52,375",-,-,"32,486","-39,739",-457,-500,"-7,090","-7,933"
2010M10,"-5,448","34,418",-,-,"17,163","46,678",967,"1,615","-113,840","7,551"
2010M11,"-7,334","25,382",-,-,"-16,009",-345,-836,"4,200","-10,570","-9,156"
2010M12,"62,042","42,402",-,-,"47,246","14,969",414,"-20,300","-48,250","25,561"
2011M01,"346,834","89,484",-,-,"75,700","-81,342",-385,"1,000","219,250","43,127"
2011M02,"-172,429","46,881",-,-,"3,950","11,553","-1,142",-,"-189,530","-44,141"
2011M03,"-16,609","-6,794",-,-,"-101,972","84,287","2,128","4,800","22,700","-21,758"
2011M04,"-15,617","51,764",-,-,"130,014","18,379",-398,-,"-223,150","7,774"
2011M05,"-36,319","64,929",-,-,"-41,044","-114,916",-323,-,"56,100","-1,065"
2011M06,"-35,659","21,088",-,-,"-127,473","39,168",-225,"-5,000","47,260","-10,477"
2011M07,"91,384","31,039",-,-,"-7,716","-8,411",982,-,"12,750","62,740"
2011M08,"7,765","-27,876",-,-,"-11,216","44,734",-816,-,"54,780","-51,841"
2011M09,-183,"-118,009",-,-,"86,297","-31,278",-851,-,"135,230","-71,572"
2011M10,"-49,595","1,465",-,-,"59,220","53,478",506,-,"-112,710","-51,554"
2011M11,"4,720","-27,488",-,-,"143,968","-1,465",-351,-,"-99,905","-10,039"
2011M12,"94,849","3,318",-,-,"-26,627","17,440",426,95,"107,690","-7,493"
2012M01,"242,991","80,203",-,-,"69,898","2,385","-1,649",-,"80,730","11,424"
2012M02,"-185,705","56,538",-,-,"142,759","29,046",-547,-,"-396,755","-16,746"
2012M03,"-22,988","15,172",-,-,"-62,759","-15,820","2,769","-2,700","41,610","-1,260"
2012M04,"38,164","49,175",-,-,"-29,450","2,214",519,-,"44,920","-29,214"
2012M05,"-49,848","33,531",-,-,"-87,397","-48,507","-1,473",684,"89,680","-36,366"
2012M06,"25,213","6,514",-,-,"-117,492","54,061",935,"-5,000","109,670","-23,475"
2012M07,"43,065","42,695",-,-,"7,426","-25,048",-470,-,"-59,120","77,582"
2012M08,"-18,296","46,461",-,-,"-14,247","22,007",-871,-,"-27,150","-44,496"
2012M09,"32,949","19,266",-,-,"-66,610","-15,024","-1,477","-5,000","94,145","7,649"
2012M10,"3,084","39,666",-,-,"-64,847","18,381","2,142",-,"21,150","-13,408"
2012M11,"68,479","44,181",-,-,"-35,541","-15,244",-668,-,"96,510","-20,759"
2012M12,"4,093","20,427",-,-,"36,880","5,888","1,073","-5,000","-55,795",620
2013M01,"206,363","42,728",-,-,"70,487","-2,298",-315,-,"82,440","13,321"
2013M02,"-58,292","41,433",-,-,"-112,277","31,391",305,-,"41,030","-60,174"
2013M03,"-76,378","-23,339",-,-,"18,052","-16,076",-442,"1,500","-34,360","-21,713"
2013M04,"71,872","42,883",-,-,"4,181","16,448","1,055",-,"-17,685","24,990"
2013M05,"-17,731","71,469",-,-,"30,415","-8,057",-474,576,"-92,080","-19,580"
2013M06,"6,457","-2,389",-,-,"-15,039","-25,554",236,-,"58,450","-9,247"
2013M07,"-31,400","38,319",-,-,"43,246","-1,861","-1,063",82,"-128,870","18,747"
2013M08,"46,314","11,162",-,-,"46,777","5,371",-444,1,"14,270","-30,823"
2013M09,"-3,716","25,739",-,-,"46,921","-29,808","1,088",-,"-46,850",-806
2013M10,"-11,122","50,349",-,-,"-8,300","50,534","-1,732",-,"-91,020","-10,953"
2013M11,"23,593","20,078",-,-,"50,050","-112,958",-706,-,"89,270","-22,141"
2013M12,"62,708","5,507",-,-,"38,529","112,360",502,-,"-75,255","-18,935"
2014M01,"349,506","36,569",-,-,"62,610","-27,812","-1,949",-,"285,370","-5,282"
2014M02,"-200,544","19,071",-,-,"25,926","27,188","2,706",-,"-222,740","-52,695"
2014M03,"-15,050","18,923",-,-,"-1,985","-11,419","-4,573",-,655,"-16,651"
2014M04,"-79,993","50,384",-,-,"-4,825","11,114","3,900",-,"-124,415","-16,151"
2014M05,"-58,358","41,163",-,-,"39,635","-62,150","1,603",-,"-62,270","-16,339"
2014M06,"106,266","36,090",-,-,"-27,896","7,494","-2,257",-,"92,495",340
2014M07,"-82,622","55,860",-,-,"9,294","-4,727","-2,765",-,"-234,970","94,686"
