期間,合計_原始值,合計_年增率(%),一年以下_原始值,一年以下_年增率(%),超過一年至三年_原始值,超過一年至三年_年增率(%),超過三年至五年_原始值,超過三年至五年_年增率(%),超過五年至七年_原始值,超過五年至七年_年增率(%),超過七年_原始值,超過七年_年增率(%)
2012M12,"20,372,531",2.79,"4,769,374",-0.25,"2,709,347",8.68,"2,055,503",-2.59,"1,693,952",6.12,"9,144,355",3.46
2013M01,"20,375,303",2.09,"4,766,816",-1.11,"2,712,812",5.87,"2,014,396",-4.77,"1,697,820",4.61,"9,183,458",3.92
2013M02,"20,397,735",2.19,"4,780,040",-0.90,"2,733,455",5.59,"2,018,073",-4.69,"1,699,517",4.80,"9,166,650",4.05
2013M03,"20,442,195",2.12,"4,690,285",-1.72,"2,844,885",7.22,"2,018,355",-5.49,"1,707,338",5.00,"9,181,332",3.97
2013M04,"20,461,593",1.91,"4,780,711",0.35,"2,740,535",1.36,"2,020,586",-3.26,"1,699,601",3.20,"9,220,160",3.88
2013M05,"20,384,387",1.46,"4,797,201",1.21,"2,605,583",-4.02,"2,027,711",-2.16,"1,695,177",2.77,"9,258,714",3.86
2013M06,"20,490,679",2.93,"4,812,552",6.12,"2,636,983",-1.41,"2,027,958",-2.65,"1,736,206",5.00,"9,276,980",3.52
2013M07,"20,665,824",2.98,"4,958,039",5.59,"2,619,943",-0.21,"2,030,212",-1.71,"1,744,631",4.86,"9,312,999",3.28
2013M08,"20,658,622",2.91,"4,945,407",5.43,"2,601,267",-0.07,"2,025,853",-2.20,"1,737,901",3.95,"9,348,194",3.44
2013M09,"20,757,011",3.30,"4,939,661",5.43,"2,630,114",0.95,"2,048,677",-0.91,"1,746,027",4.56,"9,392,531",3.60
2013M10,"20,795,510",3.04,"5,012,329",4.01,"2,557,063",0.44,"2,069,435",-0.03,"1,734,817",4.57,"9,421,865",3.67
2013M11,"20,873,418",3.67,"5,044,716",5.55,"2,563,218",1.47,"2,079,095",1.13,"1,711,196",3.12,"9,475,192",3.96
2013M12,"20,978,750",2.98,"5,008,312",5.01,"2,572,751",-5.04,"2,126,957",3.48,"1,732,607",2.28,"9,538,122",4.31
2014M01,"21,169,579",3.90,"5,165,182",8.36,"2,542,124",-6.29,"2,136,665",6.07,"1,736,502",2.28,"9,589,106",4.42
2014M02,"21,185,699",3.86,"5,159,527",7.94,"2,581,227",-5.57,"2,136,233",5.86,"1,730,131",1.80,"9,578,581",4.49
2014M03,"21,275,860",4.08,"5,169,807",10.22,"2,610,936",-8.22,"2,153,799",6.71,"1,734,752",1.61,"9,606,565",4.63
2014M04,"21,426,779",4.72,"5,272,984",10.30,"2,537,542",-7.41,"2,180,368",7.91,"1,786,798",5.13,"9,649,087",4.65
2014M05,"21,401,019",4.99,"5,287,178",10.21,"2,507,808",-3.75,"2,151,734",6.12,"1,760,584",3.86,"9,693,715",4.70
2014M06,"21,377,677",4.33,"5,271,791",9.54,"2,469,494",-6.35,"2,157,597",6.39,"1,747,551",0.65,"9,731,244",4.90
2014M07,"21,524,809",4.16,"5,385,112",8.61,"2,418,410",-7.69,"2,196,501",8.19,"1,736,598",-0.46,"9,788,188",5.10
