期間,一般地區環境_監測站數,一般地區環境_不合格時段數,一般地區環境_不合格率(%),一般地區環境_監測站數,一般地區環境_不合格時段數,一般地區環境_不合格率(%),一般地區環境_監測站數,一般地區環境_不合格時段數,一般地區環境_不合格率(%),一般地區環境_監測站數,一般地區環境_不合格時段數,一般地區環境_不合格率(%),一般地區環境_監測站數,一般地區環境_不合格時段數,一般地區環境_不合格率(%),道路交通_監測站數,道路交通_不合格時段數,道路交通_不合格率(%),道路交通_監測站數,道路交通_不合格時段數,道路交通_不合格率(%),道路交通_監測站數,道路交通_不合格時段數,道路交通_不合格率(%),道路交通_監測站數,道路交通_不合格時段數,道路交通_不合格率(%),道路交通_監測站數,道路交通_不合格時段數,道路交通_不合格率(%)
2004Q1,572,68,11.89,52,21,40.38,200,33,16.50,200,14,7.00,120,0,0.00,616,22,3.57,52,0,0.00,200,17,8.50,252,5,1.98,112,0,0.00
2004Q2,572,84,14.69,52,29,55.77,204,40,19.61,196,14,7.14,120,1,0.83,636,20,3.14,52,1,1.92,216,18,8.33,256,1,0.39,112,0,0.00
2004Q3,572,88,15.38,48,26,54.17,204,40,19.61,200,21,10.50,120,1,0.83,632,14,2.22,48,0,0.00,208,9,4.33,260,5,1.92,116,0,0.00
2004Q4,576,59,10.24,52,25,48.08,204,20,9.80,200,12,6.00,120,2,1.67,640,14,2.19,52,0,0.00,212,9,4.25,260,5,1.92,116,0,0.00
2005Q1,580,65,11.21,60,27,45.00,204,25,12.25,200,13,6.50,116,0,0.00,652,15,2.30,60,1,1.67,212,12,5.66,264,1,0.38,116,1,0.86
2005Q2,580,74,12.76,60,32,53.33,204,35,17.16,200,7,3.50,116,0,0.00,648,19,2.93,60,0,0.00,212,14,6.60,264,5,1.89,112,0,0.00
2005Q3,580,61,10.52,60,28,46.67,204,25,12.25,200,7,3.50,116,1,0.86,652,11,1.69,60,0,0.00,212,11,5.19,264,0,0.00,116,0,0.00
2005Q4,580,70,12.07,60,33,55.00,204,29,14.22,200,8,4.00,116,0,0.00,648,12,1.85,60,0,0.00,212,8,3.77,260,4,1.54,116,0,0.00
2006Q1,536,49,9.14,56,24,42.86,188,16,8.51,188,8,4.26,104,1,0.96,600,5,0.83,56,0,0.00,204,5,2.45,232,0,0.00,108,0,0.00
2006Q2,580,62,10.69,60,24,40.00,204,27,13.24,200,10,5.00,116,1,0.86,644,15,2.33,60,0,0.00,212,11,5.19,256,4,1.56,116,0,0.00
2006Q3,568,63,11.09,60,25,41.67,200,24,12.00,196,13,6.63,112,1,0.89,632,7,1.11,60,0,0.00,200,7,3.50,256,0,0.00,116,0,0.00
2006Q4,580,59,10.17,60,25,41.67,204,22,10.78,200,7,3.50,116,5,4.31,648,5,0.77,60,1,1.67,208,4,1.92,264,0,0.00,116,0,0.00
2007Q1,552,49,8.88,60,25,41.67,192,15,7.81,192,8,4.17,108,1,0.93,640,9,1.41,60,0,0.00,208,9,4.33,256,0,0.00,116,0,0.00
2007Q2,556,60,10.79,56,26,46.43,196,27,13.78,192,6,3.13,112,1,0.89,616,12,1.95,56,0,0.00,192,9,4.69,260,3,1.15,108,0,0.00
2007Q3,552,64,11.59,56,25,44.64,196,30,15.31,192,8,4.17,108,1,0.93,616,8,1.30,56,0,0.00,200,7,3.50,252,1,0.40,108,0,0.00
2007Q4,580,60,10.34,60,21,35.00,204,28,13.73,200,10,5.00,116,1,0.86,632,9,1.42,60,0,0.00,200,6,3.00,256,3,1.17,116,0,0.00
2008Q1,580,71,12.24,60,18,30.00,204,34,16.67,200,17,8.50,116,2,1.72,644,11,1.71,60,1,1.67,208,5,2.40,260,5,1.92,116,0,0.00
2008Q2,572,66,11.54,60,24,40.00,200,30,15.00,200,9,4.50,112,3,2.68,644,9,1.40,60,0,0.00,208,9,4.33,260,0,0.00,116,0,0.00
2008Q3,580,50,8.62,60,27,45.00,204,18,8.82,200,5,2.50,116,0,0.00,644,8,1.24,60,0,0.00,208,6,2.88,260,2,0.77,116,0,0.00
2008Q4,608,32,5.26,56,21,37.50,224,10,4.46,204,1,0.49,124,0,0.00,640,15,2.34,56,0,0.00,208,11,5.29,260,3,1.15,116,1,0.86
2009Q1,580,28,4.83,60,17,28.33,204,9,4.41,200,2,1.00,116,0,0.00,632,20,3.16,60,0,0.00,208,13,6.25,256,5,1.95,108,2,1.85
2009Q2,576,30,5.21,60,18,30.00,200,11,5.50,200,1,0.50,116,0,0.00,636,9,1.42,60,0,0.00,212,6,2.83,252,3,1.19,112,0,0.00
2009Q3,556,26,4.68,56,17,30.36,192,5,2.60,196,4,2.04,112,0,0.00,612,6,0.98,56,0,0.00,204,5,2.45,240,1,0.42,112,0,0.00
2009Q4,580,35,6.03,60,14,23.33,200,14,7.00,204,7,3.43,116,0,0.00,632,3,0.47,60,0,0.00,212,1,0.47,248,2,0.81,112,0,0.00
2010Q1,435,13,2.99,42,3,7.14,153,6,3.92,153,4,2.61,87,0,0.00,477,3,0.63,42,0,0.00,162,2,1.23,189,1,0.53,84,0,0.00
2010Q2,435,13,2.99,42,6,14.29,153,5,3.27,153,2,1.31,87,0,0.00,474,0,0.00,39,0,0.00,162,0,0.00,186,0,0.00,87,0,0.00
2010Q3,435,24,5.52,42,6,14.29,153,9,5.88,153,9,5.88,87,0,0.00,480,5,1.04,42,0,0.00,162,0,0.00,189,5,2.65,87,0,0.00
2010Q4,435,8,1.84,42,1,2.38,153,4,2.61,153,3,1.96,87,0,0.00,474,4,0.84,42,0,0.00,162,0,0.00,183,4,2.19,87,0,0.00
2011Q1,447,11,2.46,48,2,4.17,159,5,3.14,159,4,2.52,81,0,0.00,474,4,0.84,48,0,0.00,162,3,1.85,177,0,0.00,87,1,1.15
2011Q2,447,14,3.13,48,2,4.17,159,8,5.03,159,4,2.52,81,0,0.00,462,1,0.22,48,0,0.00,162,1,0.62,168,0,0.00,84,0,0.00
2011Q3,447,12,2.68,48,5,10.42,159,6,3.77,159,1,0.63,81,0,0.00,468,0,0.00,48,0,0.00,162,0,0.00,171,0,0.00,87,0,0.00
2011Q4,444,7,1.58,48,0,0.00,156,4,2.56,159,3,1.89,81,0,0.00,471,0,0.00,48,0,0.00,165,0,0.00,171,0,0.00,87,0,0.00
2012Q1,447,4,0.89,48,3,6.25,159,0,0.00,159,1,0.63,81,0,0.00,471,1,0.21,48,0,0.00,165,0,0.00,171,0,0.00,87,1,1.15
2012Q2,435,9,2.07,48,4,8.33,150,2,1.33,156,3,1.92,81,0,0.00,468,1,0.21,48,0,0.00,162,1,0.62,171,0,0.00,87,0,0.00
2012Q3,447,9,2.01,48,3,6.25,159,4,2.52,159,2,1.26,81,0,0.00,471,2,0.42,48,0,0.00,165,2,1.21,171,0,0.00,87,0,0.00
2012Q4,447,13,2.91,48,2,4.17,159,6,3.77,159,5,3.14,81,0,0.00,471,7,1.49,48,0,0.00,165,1,0.61,171,3,1.75,87,3,3.45
2013Q1,453,7,1.55,54,2,3.70,159,3,1.89,159,2,1.26,81,0,0.00,477,5,1.05,54,0,0.00,165,2,1.21,171,3,1.75,87,0,0.00
2013Q2,453,17,3.75,54,3,5.56,159,7,4.40,159,7,4.40,81,0,0.00,459,1,0.22,51,0,0.00,159,1,0.63,165,0,0.00,84,0,0.00
2013Q3,453,11,2.43,54,3,5.56,159,5,3.14,159,2,1.26,81,1,1.23,477,1,0.21,54,0,0.00,165,1,0.61,171,0,0.00,87,0,0.00
2013Q4,453,3,0.66,54,2,3.70,159,1,0.63,159,0,0.00,81,0,0.00,477,2,0.42,54,0,0.00,165,2,1.21,171,0,0.00,87,0,0.00
2014Q1,438,8,1.83,54,0,0.00,153,6,3.92,153,2,1.31,78,0,0.00,456,3,0.66,54,2,3.70,153,1,0.65,165,0,0.00,84,0,0.00
