期間,爭議件數(件)_原始值,爭議件數(件)_年增率(%),爭議人數(人)_原始值,爭議人數(人)_年增率(%),爭議人數-涉及率(0/00)_原始值,爭議人數-涉及率(0/00)_年增率(%),處理方式(件)-協調_原始值,處理方式(件)-協調_年增率(%),處理方式(件)-調解_原始值,處理方式(件)-調解_年增率(%),處理方式(件)-仲裁_原始值,處理方式(件)-仲裁_年增率(%)
1999M12,558,38.81,"1,638",-72.04,0.24,-,453,32.46,86,68.63,0,--
2000M01,636,78.65,"2,057",166.80,0.31,-,545,81.06,98,92.16,0,--
2000M02,471,45.82,"1,545",-43.18,0.23,-,384,35.69,99,110.64,0,--
2000M03,633,29.45,"9,949",441.88,1.49,-,518,23.04,108,61.19,0,--
2000M04,577,19.46,"4,038",-46.22,0.60,-,460,9.52,139,101.45,0,--
2000M05,617,38.03,"4,719",250.33,0.70,-,480,38.33,118,84.38,0,--
2000M06,617,34.42,"2,552",90.02,0.38,-,453,27.97,137,107.58,0,--
2000M07,620,11.31,"6,515",47.50,0.96,-,486,14.62,119,6.25,0,--
2000M08,736,15.72,"2,371",-24.56,0.35,-,614,15.20,151,38.53,0,--
2000M09,739,61.00,"7,481",248.44,1.11,-,630,60.71,127,49.41,0,--
2000M10,732,33.82,"6,245",458.59,0.92,-,629,44.60,135,51.69,0,--
2000M11,821,50.37,"3,148",28.33,0.46,-,716,43.78,110,8.91,0,--
2000M12,827,48.21,"5,923",261.60,0.87,-,688,51.88,104,20.93,0,--
2001M01,747,17.45,"5,241",154.79,0.77,-,627,15.05,154,57.14,0,--
2001M02,707,50.11,"9,910",541.42,1.47,-,597,55.47,116,17.17,0,--
2001M03,867,36.97,"3,229",-67.54,0.48,-,697,34.56,180,66.67,0,--
2001M04,821,42.29,"3,227",-20.08,0.48,-,646,40.43,168,20.86,0,--
2001M05,934,51.38,"3,058",-35.20,0.46,-,715,48.96,179,51.69,0,--
2001M06,873,41.49,"2,877",12.74,0.43,-,699,54.30,160,16.79,0,--
2001M07,929,49.84,"2,575",-60.48,0.38,-,655,34.77,188,57.98,0,--
2001M08,"1,064",44.57,"4,358",83.80,0.65,-,894,45.60,188,24.50,0,--
2001M09,866,17.19,"3,362",-55.06,0.50,-,778,23.49,176,38.58,0,--
2001M10,"1,049",43.31,"5,919",-5.22,0.88,-,746,18.60,224,65.93,0,--
2001M11,"1,073",30.69,"3,578",13.66,0.53,-,910,27.09,252,129.09,0,--
2001M12,"1,025",23.94,"11,309",90.93,1.67,-,843,22.53,185,77.88,0,--
2002M01,"1,264",69.21,"16,194",208.99,2.39,-,"1,003",59.97,173,12.34,0,--
2002M02,835,18.10,"4,018",-59.46,0.60,-,614,2.85,136,17.24,0,--
2002M03,"1,382",59.40,"20,256",527.31,3.01,-,"1,176",68.72,207,15.00,0,--
2002M04,"1,267",54.32,"6,898",113.76,1.02,-,"1,099",70.12,195,16.07,0,--
2002M05,"1,166",24.84,"24,415",698.40,3.62,-,"1,073",50.07,198,10.61,0,--
2002M06,"1,008",15.46,"4,274",48.56,0.63,-,951,36.05,116,-27.50,0,--
2002M07,"1,330",43.16,"2,786",8.19,0.41,-,"1,154",76.18,164,-12.77,0,--
2002M08,"1,083",1.79,"2,158",-50.48,0.32,-,917,2.57,159,-15.43,0,--
2002M09,"1,082",24.94,"5,519",64.16,0.81,-,901,15.81,175,-0.57,0,--
2002M10,"1,208",15.16,"5,111",-13.65,0.75,-,985,32.04,178,-20.54,1,--
2002M11,"1,125",4.85,"7,679",114.62,1.13,-,894,-1.76,192,-23.81,0,--
2002M12,"1,267",23.61,"6,406",-43.35,0.94,-,"1,028",21.95,157,-15.14,1,--
2003M01,"1,176",-6.96,"3,144",-80.59,0.46,-,924,-7.88,169,-2.31,0,--
2003M02,848,1.56,"3,237",-19.44,0.47,-,683,11.24,124,-8.82,0,--
2003M03,"1,142",-17.37,"2,061",-89.83,0.30,-,987,-16.07,169,-18.36,0,--
2003M04,"1,041",-17.84,"2,788",-59.58,0.41,-,901,-18.02,165,-15.38,0,--
2003M05,"1,065",-8.66,"2,073",-91.51,0.30,-,830,-22.65,146,-26.26,0,--
2003M06,"1,011",0.30,"3,026",-29.20,0.44,-,769,-19.14,151,30.17,0,--
2003M07,"1,059",-20.38,"3,675",31.91,0.53,-,935,-18.98,142,-13.41,0,--
2003M08,"1,025",-5.36,"1,638",-24.10,0.24,-,922,0.55,146,-8.18,0,--
2003M09,"1,085",0.28,"1,840",-66.66,0.27,-,911,1.11,182,4.00,0,--
2003M10,"1,004",-16.89,"1,690",-66.93,0.24,-,922,-6.40,119,-33.15,0,-100.00
2003M11,882,-21.60,"1,702",-77.84,0.24,-,797,-10.85,137,-28.65,0,--
2003M12,866,-31.65,"1,947",-69.61,0.28,-,978,-4.86,283,80.25,0,-100.00
2004M01,677,-42.43,"2,327",-25.99,0.33,-,529,-42.75,117,-30.77,0,--
2004M02,981,15.68,"1,937",-40.16,0.28,-,851,24.60,112,-9.68,0,--
2004M03,"1,019",-10.77,"2,976",44.40,0.42,-,844,-14.49,184,8.88,0,--
2004M04,893,-14.22,"5,008",79.63,0.71,-,781,-13.32,137,-16.97,0,--
2004M05,799,-24.98,"1,600",-22.82,0.22,-,730,-12.05,140,-4.11,0,--
2004M06,867,-14.24,"2,728",-9.85,0.38,-,668,-13.13,158,4.64,0,--
2004M07,"1,047",-1.13,"2,077",-43.48,0.29,-,845,-9.63,134,-5.63,0,--
2004M08,847,-17.37,"3,088",88.52,0.43,-,688,-25.38,162,10.96,0,--
2004M09,969,-10.69,"1,820",-1.09,0.25,-,917,0.66,114,-37.36,1,--
2004M10,829,-17.43,"3,200",89.35,0.45,-,696,-24.51,148,24.37,0,--
2004M11,922,4.54,"2,909",70.92,0.40,-,776,-2.63,137,0.00,0,--
2004M12,988,14.09,"2,808",44.22,0.39,-,874,-10.63,181,-36.04,0,--
2005M01,"1,049",54.95,"4,215",81.13,0.58,-,880,66.35,142,21.37,0,--
2005M02,761,-22.43,"1,496",-22.77,0.21,-,616,-27.61,133,18.75,0,--
2005M03,"1,530",50.15,"4,121",38.47,0.57,-,"1,117",32.35,209,13.59,0,--
2005M04,972,8.85,"8,440",68.53,1.16,-,898,14.98,137,0.00,0,--
2005M05,"1,302",62.95,"2,399",49.94,0.33,-,979,34.11,183,30.71,0,--
2005M06,"1,122",29.41,"3,485",27.75,0.48,-,967,44.76,174,10.13,0,--
2005M07,"1,365",30.37,"32,357","1,457.87",4.41,-,944,11.72,139,3.73,0,--
2005M08,"1,454",71.66,"10,201",230.34,1.38,-,"1,157",68.17,224,38.27,0,--
2005M09,"1,252",29.21,"1,872",2.86,0.25,-,990,7.96,182,59.65,0,-100.00
2005M10,"1,258",51.75,"3,164",-1.12,0.43,-,878,26.15,196,32.43,0,--
2005M11,"1,234",33.84,"5,510",89.41,0.74,-,"1,022",31.70,176,28.47,0,--
2005M12,957,-3.14,"8,284",195.01,1.11,-,"1,308",49.66,240,32.60,0,--
2006M01,"1,063",1.33,"5,432",28.87,0.73,-,777,-11.70,256,80.28,0,--
2006M02,"1,125",47.83,"8,128",443.32,1.09,-,794,28.90,172,29.32,0,--
2006M03,"1,283",-16.14,"33,303",708.13,4.46,-,"1,074",-3.85,187,-10.53,0,--
2006M04,"1,159",19.24,"5,191",-38.50,0.69,-,982,9.35,180,31.39,0,--
2006M05,"1,246",-4.30,"1,995",-16.84,0.27,-,"1,027",4.90,172,-6.01,0,--
2006M06,"1,290",14.97,"3,080",-11.62,0.41,-,"1,111",14.89,197,13.22,0,--
2006M07,"1,204",-11.79,"2,857",-91.17,0.38,-,915,-3.07,185,33.09,0,--
2006M08,"1,406",-3.30,"2,350",-76.96,0.31,-,"1,214",4.93,178,-20.54,0,--
2006M09,"1,400",11.82,"2,743",46.53,0.36,-,"1,152",16.36,161,-11.54,0,--
2006M10,"1,381",9.78,"2,647",-16.34,0.35,-,"1,174",33.71,202,3.06,0,--
2006M11,"1,442",16.86,"8,944",62.32,1.17,-,"1,156",13.11,180,2.27,0,--
2006M12,"1,465",53.08,"4,969",-40.02,0.65,-,"1,420",8.56,318,32.50,0,--
2007M01,"1,576",48.26,"7,437",36.91,0.97,-,"1,390",78.89,218,-14.84,0,--
2007M02,988,-12.18,"2,161",-73.41,0.28,-,735,-7.43,154,-10.47,0,--
2007M03,"1,852",44.35,"34,424",3.37,4.49,-,"1,497",39.39,249,33.16,0,--
2007M04,"1,609",38.83,"3,440",-33.73,0.45,-,"1,307",33.10,251,39.44,0,--
2007M05,"1,826",46.55,"4,853",143.26,0.63,-,"1,520",48.00,245,42.44,0,--
2007M06,"1,555",20.54,"3,922",27.34,0.51,-,"1,434",29.07,205,4.06,0,--
2007M07,"1,762",46.35,"3,905",36.68,0.50,-,"1,439",57.27,240,29.73,0,--
2007M08,"1,718",22.19,"3,471",47.70,0.45,-,"1,405",15.73,258,44.94,0,--
2007M09,"1,530",9.29,"11,097",304.56,1.43,-,"1,173",1.82,239,48.45,0,--
2007M10,"1,773",28.39,"3,532",33.43,0.45,-,"1,377",17.29,246,21.78,0,--
2007M11,"1,756",21.78,"31,638",253.73,4.05,-,"1,638",41.70,260,44.44,0,--
2007M12,"1,784",21.77,"11,683",135.12,1.49,-,"1,452",2.25,281,-11.64,0,--
2008M01,"1,907",21.00,"2,851",-61.66,0.36,-,"1,708",22.88,358,64.22,0,--
2008M02,"1,425",44.23,"5,401",149.93,0.69,-,"1,051",42.99,226,46.75,0,--
2008M03,"1,823",-1.57,"10,285",-70.12,1.31,-,"1,466",-2.07,266,6.83,0,--
2008M04,"1,759",9.32,"3,403",-1.08,0.43,-,"1,430",9.41,338,34.66,0,--
2008M05,"1,807",-1.04,"4,514",-6.99,0.57,-,"1,360",-10.53,337,37.55,0,--
2008M06,"1,828",17.56,"3,316",-15.45,0.42,-,"1,621",13.04,358,74.63,0,--
2008M07,"1,986",12.71,"4,190",7.30,0.53,-,"1,642",14.11,287,19.58,0,--
2008M08,"2,034",18.39,"3,562",2.62,0.45,-,"1,625",15.66,375,45.35,0,--
2008M09,"2,182",42.61,"6,736",-39.30,0.85,-,"1,617",37.85,430,79.92,0,--
2008M10,"2,431",37.11,"8,118",129.84,1.02,-,"1,922",39.58,422,71.54,0,--
2008M11,"2,303",31.15,"5,221",-83.50,0.66,-,"1,771",8.12,409,57.31,0,--
2008M12,"3,055",71.24,"7,677",-34.29,0.97,-,"2,333",60.67,514,82.92,0,--
2009M01,"2,206",15.68,"4,649",63.07,0.59,-,"1,739",1.81,374,4.47,0,--
2009M02,"2,995",110.18,"6,683",23.74,0.85,-,"2,430",131.21,452,100.00,0,--
2009M03,"3,066",68.18,"5,777",-43.83,0.74,-,"2,623",78.92,467,75.56,0,--
2009M04,"2,805",59.47,"5,804",70.56,0.74,-,"2,408",68.39,454,34.32,0,--
2009M05,"2,538",40.45,"4,264",-5.54,0.54,-,"2,083",53.16,412,22.26,0,--
2009M06,"2,858",56.35,"9,805",195.69,1.25,-,"2,448",51.02,464,29.61,0,--
2009M07,"2,606",31.22,"7,390",76.37,0.94,-,"1,962",19.49,487,69.69,0,--
2009M08,"2,317",13.91,"4,071",14.29,0.52,-,"2,052",26.28,456,21.60,0,--
2009M09,"2,514",15.22,"8,493",26.08,1.08,-,"2,146",32.71,455,5.81,0,--
2009M10,"2,255",-7.24,"4,968",-38.80,0.63,-,"1,983",3.17,423,0.24,0,--
2009M11,"2,093",-9.12,"2,946",-43.57,0.37,-,"1,725",-2.60,358,-12.47,0,--
2009M12,"2,132",-30.21,"3,799",-50.51,0.48,-,"1,842",-21.05,399,-22.37,0,--
2010M01,"2,040",-7.52,"3,206",-31.04,0.40,-,"1,617",-7.02,346,-7.49,0,--
2010M02,"1,523",-49.15,"4,376",-34.52,0.55,-,"1,196",-50.78,253,-44.03,0,--
2010M03,"2,428",-20.81,"4,008",-30.62,0.50,-,"1,978",-24.59,405,-13.28,0,--
2010M04,"2,081",-25.81,"2,849",-50.91,0.36,-,"1,712",-28.90,325,-28.41,0,--
2010M05,"2,088",-17.73,"3,237",-24.09,0.40,-,"1,647",-20.93,377,-8.50,0,--
2010M06,"1,958",-31.49,"2,789",-71.56,0.34,-,"1,510",-38.32,337,-27.37,0,--
2010M07,"2,207",-15.31,"3,406",-53.91,0.42,-,"1,781",-9.23,409,-16.02,0,--
2010M08,"2,129",-8.11,"2,835",-30.36,0.35,-,"1,724",-15.98,442,-3.07,0,--
2010M09,"1,944",-22.67,"3,090",-63.62,0.38,-,"1,548",-27.87,413,-9.23,0,--
2010M10,"1,876",-16.81,"4,187",-15.72,0.51,-,"1,491",-24.81,407,-3.78,0,--
2010M11,"1,867",-10.80,"6,418",117.85,0.78,-,"1,543",-10.55,368,2.79,0,--
2010M12,"1,724",-19.14,"2,533",-33.32,0.31,-,"1,361",-26.11,387,-3.01,0,--
2011M01,"1,791",-12.21,"2,949",-8.02,0.36,-,"1,424",-11.94,316,-8.67,0,--
2011M02,"1,408",-7.55,"3,007",-31.28,0.37,-,"1,030",-13.88,221,-12.65,0,--
2011M03,"2,075",-14.54,"2,865",-28.52,0.35,-,"1,656",-16.28,416,2.72,0,--
2011M04,"1,800",-13.50,"2,313",-18.81,0.28,-,"1,438",-16.00,383,17.85,0,--
2011M05,"1,931",-7.52,"2,632",-18.69,0.32,-,"1,064",-35.40,551,46.15,0,--
2011M06,"1,927",-1.58,"8,420",201.90,1.01,-,"1,041",-31.06,"1,007",198.81,0,--
2011M07,"2,025",-8.25,"2,724",-20.02,0.33,-,887,-50.20,"1,045",155.50,0,--
2011M08,"2,167",1.78,"3,916",38.13,0.47,-,827,-52.03,"1,252",183.26,0,--
2011M09,"1,955",0.57,"4,457",44.24,0.53,-,510,-67.05,"1,549",275.06,0,--
2011M10,"1,917",2.19,"3,998",-4.51,0.48,-,246,-83.50,"1,590",290.66,0,--
2011M11,"1,833",-1.82,"4,031",-37.19,0.48,-,158,-89.76,"1,627",342.12,0,--
2011M12,"1,800",4.41,"2,710",6.99,0.32,-,157,-88.46,"1,663",329.72,1,--
2012M01,"1,535",-14.29,"2,210",-25.06,0.26,-,103,-92.77,"1,308",313.92,1,--
2012M02,"1,838",30.54,"2,467",-17.96,0.29,-,94,-90.87,"1,825",725.79,0,--
2012M03,"2,073",-0.10,"3,466",20.98,0.41,-,125,-92.45,"1,902",357.21,0,--
2012M04,"1,831",1.72,"3,041",31.47,0.36,-,95,-93.39,"1,597",316.97,0,--
2012M05,"1,984",2.74,"2,839",7.86,0.34,-,105,-90.13,"1,860",237.57,0,--
2012M06,"1,869",-3.01,"2,766",-67.15,0.33,-,118,-88.66,"1,778",76.56,0,--
2012M07,"2,235",10.37,"4,204",54.33,0.49,-,111,-87.49,"1,946",86.22,0,--
2012M08,"2,064",-4.75,"2,907",-25.77,0.34,-,85,-89.72,"1,956",56.23,0,--
2012M09,"2,063",5.52,"3,108",-30.27,0.36,-,87,-82.94,"1,880",21.37,0,--
2012M10,"2,053",7.09,"3,030",-24.21,0.35,-,92,-62.60,"1,946",22.39,1,--
2012M11,"1,968",7.36,"8,954",122.13,1.05,-,91,-42.41,"1,972",21.20,0,--
2012M12,"1,710",-5.00,"2,263",-16.49,0.26,-,84,-46.50,"1,811",8.90,1,0.00
2013M01,"2,059",34.14,"3,321",50.27,0.39,-,95,-7.77,"1,950",49.08,0,-100.00
2013M02,"1,455",-20.84,"2,205",-10.62,0.26,-,92,-2.13,"1,130",-38.08,1,--
2013M03,"2,263",9.17,"2,963",-14.51,0.35,-,224,79.20,"2,048",7.68,0,--
2013M04,"2,122",15.89,"3,059",0.59,0.36,-,165,73.68,"1,852",15.97,0,--
2013M05,"2,115",6.60,"2,801",-1.34,0.33,-,199,89.52,"1,994",7.20,0,--
2013M06,"1,962",4.98,"2,825",2.13,0.33,-,164,38.98,"1,882",5.85,2,--
2013M07,"2,229",-0.27,"3,600",-14.37,0.42,-,177,59.46,"1,991",2.31,0,--
2013M08,"2,046",-0.87,"2,825",-2.82,0.33,-,150,76.47,"1,861",-4.86,1,--
2013M09,"1,919",-6.98,"3,735",20.17,0.43,-,150,72.41,"1,848",-1.70,1,--
2013M10,"2,005",-2.34,"2,806",-7.39,0.32,-,133,44.57,"2,045",5.09,0,-100.00
2013M11,"1,845",-6.25,"2,774",-69.02,0.32,-,122,34.07,"1,801",-8.67,0,--
2013M12,"1,907",11.52,"2,551",12.73,0.29,-,116,38.10,"1,635",-9.72,2,100.00
2014M01,"1,718",-16.56,"2,729",-17.83,0.31,-,180,89.47,"1,581",-18.92,1,--
2014M02,"1,637",12.51,"2,112",-4.22,0.24,-,93,1.09,"1,584",40.18,1,0.00
2014M03,"1,988",-12.15,"2,750",-7.19,0.32,-,143,-36.16,"1,725",-15.77,0,--
2014M04,"1,834",-13.57,"2,586",-15.46,0.30,-,101,-38.79,"1,743",-5.89,2,--
2014M05,"1,749",-17.30,"2,384",-14.89,0.27,-,102,-48.74,"1,588",-20.36,2,--
2014M06,"1,852",-5.61,"2,676",-5.27,0.31,-,109,-33.54,"1,543",-18.01,0,-100.00
