期間,市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%)
2002M01,"8,607",-11.24,"4,987",1.03,"2,588,478",17.41,"25,346",17.90,"67,123",12.11,"524,963",13.89,7.8,1.59,"926,797",31.73,"59,588",11.93,"6,364",19.40,"1,120,646",0.42,"60,521",7.91,"22,926",-15.60,"732,541",0.86,32.0,19.50,"1,063,163",-4.01
2002M02,"8,636",-10.04,"4,974",0.32,"2,074,185",-3.89,"20,521",-1.57,"54,372",-10.99,"424,463",-9.75,7.8,1.39,"747,794",-4.81,"59,551",12.89,"6,445",20.81,"992,300",-3.67,"56,551",11.41,"19,869",-21.21,"725,158",4.99,36.5,33.25,"1,081,178",5.69
2002M03,"8,469",-11.40,"5,025",1.65,"2,559,956",3.34,"25,113",4.62,"67,996",-3.83,"531,037",-3.31,7.8,0.54,"929,676",-4.48,"59,414",10.93,"6,532",22.62,"1,150,848",-1.71,"65,060",14.14,"24,068",-17.59,"800,226",5.63,33.2,28.18,"1,165,310",2.55
2002M04,"8,585",-10.11,"5,023",1.77,"2,527,813",6.88,"24,771",7.70,"65,003",0.07,"509,711",1.33,7.8,1.26,"891,912",0.32,"60,584",14.56,"6,547",23.27,"1,118,647",-0.07,"62,674",12.58,"24,076",-15.10,"803,226",5.53,33.4,24.30,"1,168,887",3.04
2002M05,"8,571",-11.08,"5,022",2.21,"2,645,018",5.61,"25,815",6.10,"67,985",-3.34,"533,201",-2.41,7.8,0.97,"933,455",-3.25,"60,585",14.59,"6,525",24.19,"1,172,601",0.56,"65,310",13.71,"25,954",-12.54,"842,197",11.61,32.4,27.61,"1,204,228",6.90
2002M06,"8,606",-10.61,"5,049",1.89,"2,530,934",4.98,"24,717",4.87,"61,721",-4.15,"484,935",-3.88,7.9,0.28,"848,448",-4.11,"60,103",11.27,"6,454",21.07,"1,117,433",1.14,"63,174",14.46,"22,850",-11.15,"799,951",11.94,35.0,25.99,"1,134,103",7.24
2002M07,"8,619",-10.83,"5,095",2.21,"2,608,220",7.57,"25,487",6.77,"61,461",-1.92,"484,365",-1.92,7.9,0.00,"859,857",-1.34,"59,832",2.86,"6,524",7.28,"1,125,291",4.00,"64,695",15.13,"21,594",1.76,"828,161",11.92,38.4,9.98,"1,150,256",6.60
2002M08,"8,719",-9.89,"5,165",3.87,"2,641,543",6.28,"25,861",5.55,"62,882",-4.75,"494,820",-4.90,7.9,-0.16,"878,195",-4.44,"58,963",-2.08,"6,325",3.37,"1,100,697",-0.05,"62,412",7.02,"21,665",-2.96,"842,529",6.51,38.9,9.76,"1,173,895",-0.07
2002M09,"8,734",-10.19,"5,168",3.99,"2,564,872",12.12,"25,130",11.72,"62,217",-1.62,"490,400",-1.47,7.9,0.15,"855,034",-2.53,"59,889",-0.09,"6,615",7.39,"1,121,769",6.98,"63,850",15.90,"22,677",3.44,"807,906",13.33,35.6,9.56,"1,158,359",5.70
2002M10,"8,805",-10.77,"5,167",3.03,"2,720,064",6.57,"26,696",6.41,"69,288",-9.00,"546,880",-8.90,7.9,0.11,"940,564",-10.44,"59,510",-0.88,"6,439",3.82,"1,162,961",1.66,"62,846",6.43,"24,627",-4.71,"791,521",2.50,32.1,7.56,"1,100,946",-5.56
2002M11,"8,810",-11.81,"5,225",3.76,"2,657,790",5.26,"26,087",5.35,"67,684",-7.72,"532,912",-7.76,7.9,-0.04,"920,612",-8.79,"60,169",0.92,"6,611",6.82,"1,138,221",2.01,"65,019",13.42,"23,305",-3.71,"828,845",11.09,35.6,15.36,"1,141,992",2.08
2002M12,"8,804",-11.24,"5,277",5.70,"2,763,894",6.18,"27,347",7.26,"70,688",-1.24,"556,520",-1.44,7.9,-0.20,"959,232",-2.87,"60,144",-0.15,"6,701",7.06,"1,186,465",4.55,"67,595",13.22,"24,998",3.47,"853,189",9.32,34.1,5.65,"1,141,490",-1.39
2003M01,"9,029",4.91,"5,289",6.06,"2,701,376",4.36,"26,797",5.72,"66,569",-0.83,"525,164",0.04,7.9,0.87,"914,980",-1.28,"60,751",1.95,"6,881",8.12,"1,157,204",3.26,"67,738",11.92,"22,526",-1.75,"783,180",6.91,34.8,8.81,"1,128,918",6.18
2003M02,"8,952",3.65,"5,262",5.79,"2,316,018",11.66,"23,102",12.58,"57,392",5.56,"452,586",6.63,7.9,1.01,"790,671",5.73,"60,737",1.99,"6,905",7.14,"1,039,833",4.79,"61,648",9.01,"20,510",3.23,"777,095",7.16,37.9,3.81,"1,100,284",1.77
2003M03,"8,941",5.57,"5,286",5.19,"2,738,932",6.99,"27,186",8.26,"69,114",1.64,"542,545",2.17,7.8,0.51,"939,149",1.02,"61,732",3.90,"6,940",6.25,"1,172,282",1.86,"66,301",1.91,"23,446",-2.58,"810,260",1.25,34.6,3.94,"1,111,638",-4.61
2003M04,"8,940",4.13,"5,258",4.68,"2,646,678",4.70,"26,359",6.41,"64,440",-0.87,"507,352",-0.46,7.9,0.41,"875,277",-1.87,"61,820",2.04,"6,951",6.17,"1,130,073",1.02,"63,708",1.65,"21,744",-9.69,"740,396",-7.82,34.1,2.06,"1,040,927",-10.95
2003M05,"8,963",4.58,"5,255",4.63,"2,569,217",-2.87,"25,775",-0.15,"52,741",-22.42,"417,399",-21.72,7.9,0.91,"714,161",-23.49,"61,848",2.08,"6,995",7.20,"1,078,140",-8.06,"54,575",-16.44,"18,041",-30.49,"517,612",-38.54,28.7,-11.59,"723,317",-39.94
2003M06,"8,961",4.12,"5,253",4.04,"2,425,736",-4.16,"24,291",-1.72,"54,156",-12.26,"428,750",-11.59,7.9,0.76,"740,384",-12.74,"61,823",2.86,"7,056",9.33,"1,025,054",-8.27,"54,861",-13.16,"17,828",-21.98,"576,903",-27.88,32.4,-7.57,"830,538",-26.77
2003M07,"8,903",3.29,"5,245",2.95,"2,607,810",-0.02,"26,051",2.21,"58,587",-4.68,"466,749",-3.64,8.0,1.09,"806,649",-6.19,"62,056",3.72,"7,027",7.71,"1,097,233",-2.49,"65,929",1.91,"18,130",-16.04,"730,677",-11.77,40.3,5.09,"1,018,346",-11.47
2003M08,"8,639",-0.92,"5,155",-0.20,"2,591,808",-1.88,"25,833",-0.11,"59,891",-4.76,"475,433",-3.92,7.9,0.88,"821,881",-6.41,"61,098",3.62,"6,958",10.01,"1,098,541",-0.20,"66,781",7.00,"18,721",-13.59,"769,726",-8.64,41.1,5.72,"1,073,695",-8.54
2003M09,"8,746",0.14,"5,185",0.33,"2,572,199",0.29,"25,772",2.55,"63,615",2.25,"503,435",2.66,7.9,0.40,"870,101",1.76,"61,099",2.02,"6,960",5.22,"1,125,615",0.34,"65,357",2.36,"21,984",-3.06,"764,941",-5.32,34.8,-2.33,"1,094,737",-5.49
2003M10,"8,770",-0.39,"5,184",0.33,"2,652,522",-2.48,"26,715",0.07,"66,151",-4.53,"525,107",-3.98,7.9,0.57,"895,100",-4.83,"61,139",2.74,"6,974",8.31,"1,148,670",-1.23,"66,532",5.87,"21,912",-11.03,"799,538",1.01,36.5,13.53,"1,144,773",3.98
2003M11,"8,774",-0.42,"5,212",-0.25,"2,562,072",-3.60,"25,786",-1.15,"62,587",-7.53,"495,173",-7.08,7.9,0.49,"855,690",-7.05,"61,134",1.60,"7,009",6.02,"1,117,839",-1.79,"64,305",-1.10,"21,672",-7.01,"783,267",-5.50,36.1,1.62,"1,113,410",-2.50
2003M12,"8,717",-0.99,"5,253",-0.45,"2,700,843",-2.28,"27,205",-0.52,"67,441",-4.59,"533,573",-4.12,7.9,0.49,"915,984",-4.51,"61,544",2.33,"7,029",4.89,"1,171,975",-1.22,"66,566",-1.52,"23,239",-7.04,"816,765",-4.27,35.1,2.98,"1,190,632",4.31
2004M01,"8,754",-3.05,"5,168",-2.30,"2,428,639",-10.10,"24,448",-8.76,"55,710",-16.31,"448,619",-14.58,8.1,2.08,"759,820",-16.96,"61,422",1.11,"7,075",2.82,"1,117,696",-3.41,"68,329",0.87,"19,856",-11.85,"818,023",4.45,41.2,18.49,"1,203,896",6.64
2004M02,"8,772",-2.00,"5,221",-0.78,"2,485,164",7.30,"25,013",8.27,"60,300",5.07,"478,119",5.64,7.9,0.55,"823,229",4.12,"61,140",0.66,"7,087",2.64,"1,066,246",2.54,"62,548",1.46,"19,290",-5.94,"726,806",-6.47,37.7,-0.56,"1,059,584",-3.70
2004M03,"8,860",-0.90,"5,274",-0.22,"2,744,542",0.20,"27,870",2.52,"66,396",-3.93,"526,248",-3.00,7.9,0.97,"894,958",-4.71,"61,011",-1.17,"7,092",2.19,"1,158,340",-1.19,"67,322",1.54,"21,584",-7.94,"787,291",-2.83,36.5,5.54,"1,145,740",3.07
2004M04,"8,918",-0.24,"5,312",1.03,"2,685,061",1.45,"27,264",3.43,"64,296",-0.22,"509,322",0.39,7.9,0.61,"865,034",-1.17,"61,111",-1.15,"7,182",3.32,"1,130,069",0.00,"66,133",3.81,"21,947",0.94,"785,987",6.16,35.8,5.17,"1,141,034",9.62
2004M05,"9,026",0.70,"5,405",2.85,"2,760,804",7.46,"28,321",9.87,"65,609",24.40,"522,946",25.29,8.0,0.71,"886,110",24.08,"60,623",-1.98,"7,116",1.73,"1,138,597",5.61,"67,999",24.60,"21,606",19.76,"809,569",56.40,37.5,30.60,"1,179,327",63.04
2004M06,"9,050",0.99,"5,454",3.82,"2,691,465",10.95,"27,676",13.93,"62,069",14.61,"497,722",16.09,8.0,1.29,"839,146",13.34,"60,206",-2.62,"6,930",-1.79,"1,096,534",6.97,"62,371",13.69,"20,888",17.16,"728,841",26.34,34.9,7.83,"1,041,034",25.34
2004M07,"9,085",2.04,"5,467",4.23,"2,740,947",5.11,"28,264",8.50,"62,745",7.10,"504,042",7.99,8.0,0.83,"855,541",6.06,"60,998",-1.71,"7,138",1.58,"1,095,663",-0.14,"68,985",4.63,"19,536",7.75,"831,401",13.78,42.6,5.60,"1,166,609",14.56
2004M08,"9,196",6.46,"5,468",6.07,"2,642,415",1.95,"27,334",5.81,"60,033",0.24,"483,982",1.80,8.1,1.56,"819,730",-0.26,"60,533",-0.92,"7,161",2.92,"1,092,728",-0.53,"68,601",2.72,"20,061",7.16,"834,699",8.44,41.6,1.20,"1,188,241",10.67
2004M09,"9,089",3.92,"5,500",6.09,"2,721,723",5.81,"28,124",9.13,"64,635",1.60,"517,448",2.78,8.0,1.16,"879,505",1.08,"60,779",-0.52,"7,179",3.15,"1,125,663",0.00,"67,191",2.81,"21,269",-3.25,"800,936",4.71,37.7,8.23,"1,158,668",5.84
2004M10,"9,183",4.71,"5,483",5.76,"2,785,910",5.03,"28,887",8.13,"67,513",2.06,"539,943",2.83,8.0,0.75,"913,977",2.11,"61,169",0.05,"7,189",3.08,"1,165,057",1.43,"69,995",5.21,"22,003",0.41,"842,897",5.42,38.3,4.99,"1,180,979",3.16
2004M11,"9,254",5.47,"5,503",5.58,"2,771,436",8.17,"28,646",11.09,"67,946",8.56,"544,141",9.89,8.0,1.22,"915,854",7.03,"61,810",1.11,"7,246",3.38,"1,141,903",2.15,"68,162",6.00,"22,979",6.03,"824,047",5.21,35.9,-0.78,"1,148,335",3.14
2004M12,"9,164",5.12,"5,478",4.28,"2,859,303",5.87,"29,483",8.37,"67,885",0.66,"542,913",1.75,8.0,1.08,"917,172",0.13,"62,002",0.74,"7,270",3.43,"1,176,126",0.35,"71,203",6.97,"23,000",-1.03,"871,803",6.74,37.9,7.85,"1,244,398",4.52
2005M01,"9,260",5.78,"5,502",6.48,"2,827,640",16.43,"29,207",19.46,"63,561",14.09,"509,097",13.48,8.0,-0.54,"909,534",19.70,"62,265",1.37,"7,320",3.46,"1,143,996",2.35,"70,884",3.74,"21,105",6.29,"812,966",-0.62,38.5,-6.50,"1,155,535",-4.02
2005M02,"9,276",5.74,"5,583",6.93,"2,265,534",-8.84,"23,738",-5.10,"50,937",-15.53,"408,347",-14.59,8.0,1.11,"729,654",-11.37,"61,949",1.32,"7,295",2.93,"1,011,252",-5.16,"66,878",6.92,"18,017",-6.60,"760,600",4.65,42.2,12.05,"1,135,684",7.18
2005M03,"9,259",4.49,"5,587",5.93,"2,820,278",2.76,"29,262",5.00,"68,212",2.74,"545,491",3.66,8.0,0.90,"968,685",8.24,"61,367",0.58,"7,266",2.45,"1,142,308",-1.38,"70,494",4.71,"21,924",1.57,"788,958",0.21,36.0,-1.34,"1,147,755",0.18
2005M04,"9,288",4.14,"5,570",4.86,"2,691,380",0.24,"27,899",2.33,"64,149",-0.23,"511,257",0.38,8.0,0.61,"907,847",4.95,"61,557",0.73,"7,284",1.42,"1,119,010",-0.98,"70,723",6.94,"21,754",-0.88,"856,967",9.03,39.4,10.00,"1,242,052",8.85
2005M05,"9,339",3.47,"5,606",3.72,"2,786,986",0.95,"28,998",2.39,"66,325",1.09,"531,068",1.55,8.0,0.46,"944,015",6.53,"61,208",0.97,"7,211",1.34,"1,155,110",1.45,"72,094",6.02,"22,687",5.00,"854,515",5.55,37.7,0.53,"1,245,826",5.64
2005M06,"9,330",3.10,"5,604",2.74,"2,692,560",0.04,"28,074",1.44,"62,639",0.92,"503,703",1.20,8.0,0.28,"900,654",7.33,"60,555",0.58,"7,216",4.13,"1,111,669",1.38,"69,523",11.47,"21,306",2.00,"805,675",10.54,37.8,8.37,"1,174,419",12.81
2005M07,"9,184",1.09,"5,617",2.73,"2,630,722",-4.02,"27,478",-2.78,"58,711",-6.43,"473,655",-6.03,8.1,0.43,"846,770",-1.03,"60,285",-1.17,"7,249",1.56,"1,064,497",-2.84,"70,472",2.16,"19,030",-2.59,"866,818",4.26,45.6,7.03,"1,229,238",5.37
2005M08,"9,309",1.23,"5,665",3.60,"2,653,667",0.43,"27,776",1.62,"61,603",2.62,"496,142",2.51,8.1,-0.10,"883,494",7.78,"60,183",-0.58,"7,282",1.69,"1,092,389",-0.03,"71,245",3.86,"19,774",-1.43,"862,153",3.29,43.6,4.79,"1,250,128",5.21
2005M09,"9,244",1.70,"5,714",3.88,"2,611,990",-4.03,"27,512",-2.18,"63,969",-1.03,"514,771",-0.52,8.0,0.52,"922,454",4.88,"60,210",-0.94,"7,258",1.10,"1,086,205",-3.51,"68,800",2.39,"20,878",-1.84,"826,664",3.21,39.6,5.15,"1,230,619",6.21
2005M10,"9,262",0.86,"5,768",5.21,"2,686,214",-3.58,"28,369",-1.80,"66,078",-2.13,"530,234",-1.80,8.0,0.33,"946,919",3.60,"60,080",-1.78,"7,274",1.18,"1,115,444",-4.26,"71,469",2.10,"23,017",4.61,"860,309",2.07,37.4,-2.43,"1,295,290",9.68
2005M11,"9,344",0.98,"5,764",4.74,"2,679,519",-3.32,"28,278",-1.28,"66,329",-2.38,"534,880",-1.70,8.1,0.69,"953,793",4.14,"59,913",-3.07,"7,296",0.69,"1,098,721",-3.78,"69,696",2.25,"21,397",-6.89,"822,635",-0.17,38.4,7.21,"1,255,341",9.32
2005M12,"9,421",2.81,"5,756",5.07,"2,768,359",-3.18,"29,182",-1.02,"68,002",0.17,"549,888",1.28,8.1,1.11,"980,908",6.95,"59,760",-3.62,"7,312",0.58,"1,117,645",-4.97,"71,775",0.80,"21,937",-4.62,"873,375",0.18,39.8,5.03,"1,331,447",7.00
2006M01,"9,620",3.89,"5,793",5.28,"2,615,640",-7.50,"27,599",-5.51,"60,682",-4.53,"489,612",-3.83,8.1,0.74,"873,716",-3.94,"58,891",-5.42,"7,263",-0.78,"1,065,388",-6.87,"70,753",-0.18,"20,327",-3.69,"823,753",1.33,40.5,5.20,"1,267,504",9.69
2006M02,"9,707",4.65,"5,780",3.54,"2,325,195",2.63,"24,560",3.47,"56,323",10.58,"453,145",10.97,8.0,0.36,"813,278",11.46,"58,835",-5.03,"7,243",-0.71,"961,758",-4.89,"64,216",-3.98,"18,189",0.96,"791,350",4.04,43.5,3.05,"1,162,299",2.34
2006M03,"9,802",5.87,"5,781",3.47,"2,764,090",-1.99,"29,070",-0.66,"68,430",0.32,"550,150",0.85,8.0,0.53,"984,895",1.67,"58,827",-4.14,"7,273",0.10,"1,083,824",-5.12,"70,699",0.29,"21,494",-1.96,"832,069",5.46,38.7,7.58,"1,226,466",6.86
2006M04,"9,920",6.80,"5,760",3.41,"2,627,782",-2.36,"27,568",-1.19,"63,529",-0.97,"510,329",-0.18,8.0,0.79,"905,627",-0.24,"58,662",-4.70,"7,267",-0.23,"1,035,616",-7.45,"68,871",-2.62,"21,670",-0.39,"876,886",2.32,40.5,2.72,"1,316,878",6.02
2006M05,"9,900",6.00,"5,800",3.47,"2,737,643",-1.77,"28,759",-0.82,"67,163",1.26,"539,252",1.54,8.0,0.27,"964,619",2.18,"58,295",-4.76,"7,259",0.67,"1,086,344",-5.95,"70,255",-2.55,"21,431",-5.54,"860,883",0.75,40.2,6.65,"1,299,141",4.28
2006M06,"10,000",7.18,"5,792",3.36,"2,661,685",-1.15,"28,014",-0.21,"63,320",1.09,"509,131",1.08,8.0,-0.01,"909,201",0.95,"58,266",-3.78,"7,256",0.55,"1,038,669",-6.57,"67,450",-2.98,"20,027",-6.00,"816,761",1.38,40.8,7.85,"1,225,950",4.39
2006M07,"9,858",7.34,"5,762",2.59,"2,671,665",1.56,"27,950",1.72,"60,571",3.17,"489,032",3.25,8.1,0.08,"873,137",3.11,"58,540",-2.89,"7,254",0.07,"1,023,790",-3.82,"69,579",-1.27,"18,207",-4.32,"870,673",0.44,47.8,4.98,"1,293,068",5.19
2006M08,"9,912",6.48,"5,768",1.83,"2,709,965",2.12,"28,434",2.37,"63,556",3.17,"513,635",3.53,8.1,0.35,"916,883",3.78,"58,358",-3.03,"7,242",-0.55,"1,044,943",-4.34,"70,224",-1.43,"19,451",-1.63,"868,894",0.78,44.7,2.46,"1,316,173",5.28
2006M09,"9,938",7.51,"5,779",1.13,"2,643,528",1.21,"27,860",1.27,"65,495",2.39,"526,966",2.37,8.0,-0.02,"944,863",2.43,"58,407",-2.99,"7,270",0.17,"1,051,731",-3.17,"68,326",-0.69,"20,652",-1.08,"815,708",-1.33,39.5,-0.25,"1,265,555",2.84
2006M10,"9,734",5.10,"5,738",-0.53,"2,705,095",0.70,"28,474",0.37,"65,398",-1.03,"527,815",-0.46,8.1,0.58,"952,333",0.57,"58,584",-2.49,"7,261",-0.18,"1,087,097",-2.54,"71,609",0.20,"21,687",-5.78,"900,233",4.64,41.5,11.06,"1,383,240",6.79
2006M11,"9,751",4.35,"5,751",-0.22,"2,666,932",-0.47,"27,868",-1.45,"66,636",0.46,"538,537",0.68,8.1,0.22,"975,292",2.25,"58,688",-2.04,"7,275",-0.29,"1,062,184",-3.33,"68,643",-1.51,"20,170",-5.73,"830,765",0.99,41.2,7.13,"1,284,886",2.35
2006M12,"9,743",3.41,"5,742",-0.23,"2,712,470",-2.02,"28,487",-2.38,"67,427",-0.85,"547,411",-0.45,8.1,0.40,"985,570",0.48,"58,741",-1.71,"7,282",-0.41,"1,089,958",-2.48,"70,734",-1.45,"21,914",-0.11,"902,996",3.39,41.2,3.50,"1,441,869",8.29
2007M01,"9,771",1.56,"5,745",-0.83,"2,723,215",4.11,"28,556",3.47,"65,652",8.19,"532,802",8.82,8.1,0.58,"1,010,397",15.64,"58,848",-0.07,"7,393",1.79,"1,083,616",1.71,"68,753",-2.83,"21,749",7.00,"782,519",-5.01,36.0,-11.22,"1,246,403",-1.66
2007M02,"9,814",1.10,"5,712",-1.19,"2,173,058",-6.54,"22,886",-6.82,"51,062",-9.34,"417,128",-7.95,8.2,1.54,"785,664",-3.40,"59,432",1.01,"7,462",3.02,"931,890",-3.11,"64,221",0.01,"16,374",-9.98,"784,477",-0.87,47.9,10.12,"1,205,375",3.71
2007M03,"9,800",-0.02,"5,732",-0.84,"2,708,274",-2.02,"28,412",-2.26,"69,539",1.62,"563,966",2.51,8.1,0.88,"1,064,015",8.03,"59,305",0.81,"7,481",2.86,"1,105,526",2.00,"69,698",-1.41,"21,552",0.27,"831,319",-0.09,38.6,-0.36,"1,246,132",1.60
2007M04,"9,767",-1.54,"5,730",-0.52,"2,618,660",-0.35,"27,057",-1.85,"64,461",1.47,"520,722",2.04,8.1,0.56,"983,724",8.62,"58,364",-0.51,"7,443",2.42,"1,065,050",2.84,"68,850",-0.03,"21,193",-2.20,"868,014",-1.01,41.0,1.21,"1,287,407",-2.24
2007M05,"9,757",-1.44,"5,704",-1.66,"2,727,309",-0.38,"28,250",-1.77,"68,669",2.24,"557,158",3.32,8.1,1.05,"1,053,211",9.18,"58,253",-0.07,"7,441",2.51,"1,108,324",2.02,"69,951",-0.43,"21,039",-1.83,"842,086",-2.18,40.0,-0.36,"1,255,522",-3.36
2007M06,"9,955",-0.45,"5,652",-2.42,"2,588,918",-2.73,"26,939",-3.84,"62,516",-1.27,"506,100",-0.60,8.1,0.68,"958,320",5.40,"58,345",0.14,"7,433",2.44,"1,053,963",1.47,"67,388",-0.09,"19,368",-3.29,"785,574",-3.82,40.6,-0.54,"1,204,351",-1.76
2007M07,"9,742",-1.17,"5,712",-0.87,"2,661,064",-0.40,"27,686",-0.94,"62,934",3.90,"509,574",4.20,8.1,0.29,"969,704",11.06,"58,275",-0.45,"7,405",2.08,"1,029,120",0.52,"66,525",-4.39,"18,759",3.03,"826,703",-5.05,44.1,-7.84,"1,253,289",-3.08
2007M08,"9,851",-0.62,"5,637",-2.27,"2,644,764",-2.41,"27,492",-3.31,"63,006",-0.87,"509,088",-0.89,8.1,-0.02,"970,444",5.84,"58,211",-0.25,"7,375",1.84,"1,016,074",-2.76,"64,940",-7.52,"18,141",-6.74,"787,373",-9.38,43.4,-2.84,"1,207,554",-8.25
2007M09,"9,747",-1.93,"5,609",-2.93,"2,508,658",-5.10,"26,246",-5.79,"62,861",-4.02,"506,313",-3.92,8.1,0.11,"944,487",-0.04,"58,072",-0.57,"7,395",1.72,"1,017,804",-3.23,"64,706",-5.30,"19,986",-3.23,"816,977",0.16,40.9,3.49,"1,323,343",4.57
2007M10,"9,735",0.01,"5,584",-2.67,"2,647,812",-2.12,"27,678",-2.80,"67,946",3.90,"546,696",3.58,8.0,-0.31,"1,053,060",10.58,"58,131",-0.77,"7,309",0.66,"1,040,331",-4.30,"64,306",-10.20,"22,063",1.73,"770,900",-14.37,34.9,-15.83,"1,220,565",-11.76
2007M11,"9,801",0.51,"5,629",-2.12,"2,627,169",-1.49,"27,377",-1.76,"68,445",2.71,"550,622",2.24,8.0,-0.46,"1,050,308",7.69,"58,593",-0.16,"7,362",1.20,"1,041,766",-1.92,"64,218",-6.45,"20,482",1.55,"771,071",-7.19,37.6,-8.60,"1,211,065",-5.75
2007M12,"10,115",3.82,"5,707",-0.61,"2,692,109",-0.75,"28,475",-0.04,"71,371",5.85,"573,666",4.80,8.0,-0.99,"1,098,003",11.41,"58,261",-0.82,"7,448",2.28,"1,071,038",-1.74,"67,026",-5.24,"21,624",-1.32,"818,396",-9.37,37.8,-8.15,"1,331,987",-7.62
2008M01,"10,097",3.34,"5,714",-0.53,"2,682,470",-1.50,"28,280",-0.97,"68,155",3.81,"551,036",3.42,8.1,-0.38,"1,056,773",4.59,"58,041",-1.37,"7,403",0.14,"1,058,730",-2.30,"66,035",-3.95,"20,758",-4.56,"746,361",-4.62,36.0,-0.07,"1,211,184",-2.83
2008M02,"10,101",2.92,"5,663",-0.85,"2,300,381",5.86,"24,355",6.42,"56,757",11.15,"460,121",10.31,8.1,-0.76,"878,744",11.85,"57,444",-3.34,"7,282",-2.41,"959,475",2.96,"59,757",-6.95,"16,775",2.44,"718,054",-8.47,42.8,-10.65,"1,150,659",-4.54
2008M03,"10,084",2.90,"5,745",0.22,"2,671,316",-1.36,"28,125",-1.01,"70,249",1.02,"562,259",-0.30,8.0,-1.31,"1,079,941",1.50,"57,253",-3.46,"7,287",-2.59,"1,059,551",-4.16,"63,082",-9.49,"22,481",4.31,"818,046",-1.60,36.4,-5.66,"1,309,453",5.08
