期間,平均每人GNP_原始值,平均每人GNP_年增率(%),平均每人GNP_原始值,平均每人GNP_年增率(%),平均每人GDP_原始值,平均每人GDP_年增率(%),平均每人GDP_原始值,平均每人GDP_年增率(%),平均每人NI_原始值,平均每人NI_年增率(%),平均每人NI_原始值,平均每人NI_年增率(%),平均每人民間消費支出_原始值,平均每人民間消費支出_年增率(%),平均每人民間消費支出_原始值,平均每人民間消費支出_年增率(%)
1977Q3,"12,480",14.08,328,13.89,"12,525",13.84,330,13.79,"11,302",14.17,297,13.79,"6,797",17.19,179,16.99
1977Q4,"13,506",16.66,357,17.05,"13,627",16.93,359,17.32,"12,304",17.02,325,17.75,"6,556",14.92,172,15.44
1978Q1,"13,480",16.14,354,16.07,"13,457",15.76,353,15.36,"12,244",17.04,321,16.73,"7,767",15.77,204,15.25
1978Q2,"14,406",16.57,378,16.31,"14,521",16.35,381,16.16,"13,143",17.23,345,16.95,"6,964",14.65,183,14.38
1978Q3,"15,144",21.35,418,27.44,"15,094",20.51,417,26.36,"13,811",22.20,382,28.62,"7,646",12.49,211,17.88
1978Q4,"15,902",17.74,445,24.65,"15,997",17.39,448,24.79,"14,498",17.83,405,24.62,"7,594",15.83,213,23.84
1979Q1,"16,204",20.21,451,27.40,"16,162",20.10,450,27.48,"14,694",20.01,409,27.41,"9,010",16.00,251,23.04
1979Q2,"17,312",20.17,481,27.25,"17,269",18.92,480,25.98,"15,722",19.62,437,26.67,"8,232",18.21,229,25.14
1979Q3,"17,851",17.88,495,18.42,"17,840",18.19,495,18.71,"16,168",17.07,449,17.54,"9,365",22.48,260,23.22
1979Q4,"18,616",17.07,517,16.18,"18,689",16.83,518,15.63,"16,866",16.33,468,15.56,"9,227",21.50,255,19.72
1980Q1,"19,996",23.40,555,23.06,"19,882",23.02,552,22.67,"18,048",22.83,501,22.49,"11,160",23.86,310,23.51
1980Q2,"20,982",21.20,582,21.00,"21,123",22.32,586,22.08,"18,941",20.47,526,20.37,"10,198",23.88,283,23.58
1980Q3,"21,710",21.62,604,22.02,"21,592",21.03,601,21.41,"19,571",21.05,544,21.16,"11,682",24.74,325,25.00
1980Q4,"23,044",23.79,640,23.79,"23,254",24.43,646,24.71,"20,826",23.48,579,23.72,"11,631",26.05,323,26.67
1981Q1,"23,639",18.22,658,18.56,"23,710",19.25,660,19.57,"21,272",17.86,592,18.16,"13,632",22.15,379,22.26
1981Q2,"24,997",19.14,688,18.21,"25,149",19.06,692,18.09,"22,549",19.05,620,17.87,"12,380",21.40,341,20.49
1981Q3,"25,428",17.13,686,13.58,"25,522",18.20,689,14.64,"23,057",17.81,622,14.34,"13,638",16.74,368,13.23
1981Q4,"25,835",12.11,683,6.72,"26,053",12.04,689,6.66,"23,436",12.53,621,7.25,"13,153",13.09,347,7.43
1982Q1,"25,494",7.85,673,2.28,"25,385",7.06,670,1.52,"22,800",7.18,602,1.69,"14,487",6.27,382,0.79
1982Q2,"26,492",5.98,683,-0.73,"26,675",6.07,687,-0.72,"23,882",5.91,616,-0.65,"13,202",6.64,341,0.00
1982Q3,"26,713",5.05,674,-1.75,"26,629",4.34,672,-2.47,"24,334",5.54,614,-1.29,"14,376",5.41,363,-1.36
1982Q4,"27,022",4.59,672,-1.61,"27,069",3.90,674,-2.18,"24,606",4.99,612,-1.45,"14,017",6.57,348,0.29
1983Q1,"27,067",6.17,677,0.59,"26,754",5.39,670,0.00,"24,230",6.27,606,0.66,"15,216",5.03,381,-0.26
1983Q2,"29,130",9.96,728,6.59,"29,393",10.19,735,6.99,"26,121",9.38,653,6.01,"14,130",7.03,353,3.52
1983Q3,"29,763",11.42,742,10.09,"29,588",11.11,738,9.82,"26,896",10.53,671,9.28,"15,102",5.05,376,3.58
1983Q4,"30,449",12.68,759,12.95,"30,500",12.68,759,12.61,"27,537",11.91,686,12.09,"15,077",7.56,376,8.05
1984Q1,"30,315",12.00,755,11.52,"29,853",11.58,743,10.90,"27,359",12.91,681,12.38,"16,229",6.66,405,6.30
1984Q2,"32,759",12.46,823,13.05,"32,723",11.33,822,11.84,"29,456",12.77,740,13.32,"15,326",8.46,386,9.35
1984Q3,"33,213",11.59,847,14.15,"32,574",10.09,830,12.47,"30,289",12.62,772,15.05,"16,332",8.14,416,10.64
1984Q4,"32,840",7.85,834,9.88,"32,393",6.21,824,8.56,"29,664",7.72,754,9.91,"16,339",8.37,414,10.11
1985Q1,"32,083",5.83,817,8.21,"31,251",4.68,795,7.00,"29,238",6.87,744,9.25,"17,155",5.71,437,7.90
1985Q2,"33,568",2.47,842,2.31,"33,253",1.62,835,1.58,"30,015",1.90,754,1.89,"15,931",3.95,400,3.63
1985Q3,"33,716",1.51,837,-1.18,"32,931",1.10,816,-1.69,"30,925",2.10,768,-0.52,"16,919",3.59,420,0.96
1985Q4,"34,248",4.29,856,2.64,"33,723",4.11,844,2.43,"31,197",5.17,779,3.32,"17,070",4.47,426,2.90
1986Q1,"36,469",13.67,927,13.46,"35,425",13.36,901,13.33,"33,599",14.92,854,14.78,"18,086",5.43,460,5.26
1986Q2,"38,276",14.03,995,18.17,"37,452",12.63,974,16.65,"34,467",14.83,896,18.83,"16,836",5.68,438,9.50
1986Q3,"39,865",18.24,"1,062",26.88,"38,924",18.20,"1,037",27.08,"36,607",18.37,975,26.95,"18,173",7.41,484,15.24
1986Q4,"41,018",19.77,"1,128",31.78,"39,862",18.20,"1,095",29.74,"37,825",21.25,"1,040",33.50,"18,492",8.33,509,19.48
1987Q1,"40,926",12.22,"1,163",25.46,"39,764",12.25,"1,129",25.31,"38,042",13.22,"1,081",26.58,"19,946",10.28,568,23.48
1987Q2,"42,657",11.45,"1,309",31.56,"41,830",11.69,"1,283",31.72,"38,697",12.27,"1,188",32.59,"18,777",11.53,577,31.74
1987Q3,"44,160",10.77,"1,438",35.40,"43,262",11.14,"1,409",35.87,"40,841",11.57,"1,330",36.41,"20,178",11.03,657,35.74
1987Q4,"43,802",6.79,"1,473",30.59,"42,950",7.75,"1,444",31.87,"40,093",6.00,"1,348",29.62,"20,812",12.55,699,37.33
1988Q1,"43,432",6.12,"1,518",30.52,"41,933",5.45,"1,466",29.85,"40,980",7.72,"1,432",32.47,"22,184",11.22,775,36.44
1988Q2,"44,251",3.74,"1,543",17.88,"43,114",3.07,"1,503",17.15,"41,688",7.73,"1,454",22.39,"21,325",13.57,743,28.77
1988Q3,"46,131",4.46,"1,604",11.54,"45,111",4.27,"1,568",11.28,"43,493",6.49,"1,512",13.68,"23,315",15.55,810,23.29
1988Q4,"46,931",7.14,"1,653",12.22,"45,679",6.35,"1,609",11.43,"44,022",9.80,"1,550",14.99,"24,105",15.82,850,21.60
1989Q1,"48,488",11.64,"1,750",15.28,"47,160",12.47,"1,703",16.17,"45,134",10.14,"1,630",13.83,"25,538",15.12,922,18.97
1989Q2,"49,785",12.51,"1,892",22.62,"49,146",13.99,"1,867",24.22,"45,841",9.96,"1,742",19.81,"25,265",18.48,960,29.21
1989Q3,"52,066",12.87,"2,019",25.87,"50,638",12.25,"1,964",25.26,"48,122",10.64,"1,866",23.41,"27,484",17.88,"1,066",31.60
1989Q4,"54,293",15.69,"2,087",26.26,"52,664",15.29,"2,024",25.79,"49,322",12.04,"1,896",22.32,"27,884",15.68,"1,072",26.12
1990Q1,"54,293",11.97,"2,074",18.51,"52,724",11.80,"2,014",18.26,"50,466",11.81,"1,928",18.28,"29,436",15.26,"1,125",22.02
1990Q2,"55,102",10.68,"2,048",8.25,"53,777",9.42,"1,999",7.07,"49,485",7.95,"1,839",5.57,"27,949",10.62,"1,039",8.23
1990Q3,"55,599",6.79,"2,041",1.09,"54,298",7.23,"1,993",1.48,"51,727",7.49,"1,899",1.77,"30,083",9.46,"1,104",3.56
1990Q4,"59,247",9.12,"2,176",4.26,"57,657",9.48,"2,118",4.64,"53,427",8.32,"1,962",3.48,"30,332",8.78,"1,113",3.82
1991Q1,"59,636",9.84,"2,191",5.64,"57,782",9.59,"2,123",5.41,"54,940",8.87,"2,018",4.67,"31,906",8.39,"1,173",4.27
1991Q2,"60,807",10.35,"2,228",8.79,"59,550",10.74,"2,182",9.15,"54,622",10.38,"2,001",8.81,"31,331",12.10,"1,149",10.59
1991Q3,"62,189",11.85,"2,321",13.72,"60,563",11.54,"2,260",13.40,"57,306",10.79,"2,139",12.64,"33,347",10.85,"1,244",12.68
1991Q4,"65,801",11.06,"2,523",15.95,"63,927",10.87,"2,451",15.72,"60,376",13.01,"2,315",17.99,"33,480",10.38,"1,284",15.36
1992Q1,"65,978",10.63,"2,618",19.49,"64,437",11.52,"2,557",20.44,"60,471",10.07,"2,400",18.93,"35,758",12.07,"1,419",20.97
1992Q2,"66,974",10.14,"2,677",20.15,"65,808",10.51,"2,630",20.53,"60,207",10.22,"2,406",20.24,"35,498",13.30,"1,419",23.50
1992Q3,"68,137",9.56,"2,722",17.28,"66,776",10.26,"2,668",18.05,"61,785",7.82,"2,469",15.43,"37,327",11.94,"1,491",19.86
1992Q4,"72,058",9.51,"2,839",12.52,"70,294",9.96,"2,770",13.02,"65,192",7.98,"2,568",10.93,"37,692",12.58,"1,485",15.65
1993Q1,"72,608",10.05,"2,816",7.56,"70,955",10.12,"2,752",7.63,"65,574",8.44,"2,544",6.00,"39,534",10.56,"1,533",8.03
1993Q2,"73,548",9.82,"2,820",5.34,"72,246",9.78,"2,770",5.32,"66,085",9.76,"2,534",5.32,"39,286",10.67,"1,507",6.20
1993Q3,"74,127",8.79,"2,760",1.40,"73,024",9.36,"2,719",1.91,"67,537",9.31,"2,516",1.90,"41,119",10.16,"1,531",2.68
1993Q4,"77,537",7.60,"2,889",1.76,"76,138",8.31,"2,838",2.45,"71,139",9.12,"2,650",3.19,"41,690",10.61,"1,554",4.65
1994Q1,"77,692",7.00,"2,938",4.33,"76,203",7.40,"2,882",4.72,"70,858",8.06,"2,679",5.31,"44,122",11.61,"1,668",8.81
1994Q2,"79,186",7.67,"2,961",5.00,"78,272",8.34,"2,927",5.67,"70,717",7.01,"2,644",4.34,"43,482",10.68,"1,625",7.83
1994Q3,"80,327",8.36,"3,040",10.14,"79,015",8.20,"2,990",9.97,"74,088",9.70,"2,803",11.41,"46,590",13.31,"1,763",15.15
1994Q4,"84,943",9.55,"3,236",12.01,"83,559",9.75,"3,183",12.16,"77,198",8.52,"2,942",11.02,"46,410",11.32,"1,770",13.90
1995Q1,"83,397",7.34,"3,179",8.20,"81,801",7.35,"3,118",8.19,"76,110",7.41,"2,901",8.29,"47,600",7.88,"1,814",8.75
1995Q2,"84,677",6.93,"3,310",11.79,"83,805",7.07,"3,276",11.92,"75,195",6.33,"2,940",11.20,"47,823",9.98,"1,870",15.08
1995Q3,"87,042",8.36,"3,228",6.18,"85,672",8.42,"3,177",6.25,"79,848",7.77,"2,961",5.64,"49,675",6.62,"1,842",4.48
1995Q4,"92,288",8.65,"3,398",5.01,"90,910",8.80,"3,347",5.15,"83,595",8.29,"3,080",4.69,"50,465",8.74,"1,857",4.92
1996Q1,"90,501",8.52,"3,299",3.77,"88,552",8.25,"3,228",3.53,"82,188",7.99,"2,996",3.27,"51,840",8.91,"1,890",4.19
1996Q2,"91,615",8.19,"3,344",1.03,"90,774",8.32,"3,314",1.16,"81,881",8.89,"2,989",1.67,"51,984",8.70,"1,898",1.50
1996Q3,"93,593",7.53,"3,402",5.39,"92,634",8.13,"3,367",5.98,"85,269",6.79,"3,099",4.66,"54,580",9.87,"1,984",7.71
1996Q4,"98,127",6.33,"3,569",5.03,"96,769",6.44,"3,519",5.14,"89,244",6.76,"3,246",5.39,"55,220",9.42,"2,007",8.08
1997Q1,"96,593",6.73,"3,511",6.43,"95,091",7.38,"3,456",7.06,"87,954",7.02,"3,196",6.68,"56,057",8.13,"2,035",7.67
1997Q2,"96,856",5.72,"3,490",4.37,"96,063",5.83,"3,461",4.44,"87,327",6.65,"3,146",5.25,"55,881",7.50,"2,011",5.95
1997Q3,"99,723",6.55,"3,507",3.09,"98,607",6.45,"3,468",3.00,"90,592",6.24,"3,186",2.81,"58,860",7.84,"2,068",4.23
1997Q4,"107,325",9.37,"3,447",-3.42,"106,594",10.15,"3,425",-2.67,"97,236",8.96,"3,124",-3.76,"58,832",6.54,"1,887",-5.98
1998Q1,"103,899",7.56,"3,142",-10.51,"102,636",7.93,"3,104",-10.19,"93,938",6.80,"2,840",-11.14,"60,460",7.85,"1,829",-10.12
1998Q2,"103,708",7.07,"3,081",-11.72,"103,380",7.62,"3,072",-11.24,"92,978",6.47,"2,762",-12.21,"59,552",6.57,"1,770",-11.98
1998Q3,"105,682",5.98,"3,057",-12.83,"105,445",6.93,"3,051",-12.02,"95,256",5.15,"2,755",-13.53,"61,782",4.96,"1,788",-13.54
1998Q4,"111,370",3.77,"3,412",-1.02,"110,058",3.25,"3,371",-1.58,"99,915",2.76,"3,062",-1.98,"63,289",7.58,"1,938",2.70
1999Q1,"109,055",4.96,"3,339",6.27,"107,741",4.97,"3,299",6.28,"97,652",3.95,"2,990",5.28,"63,045",4.28,"1,931",5.58
1999Q2,"108,451",4.57,"3,314",7.56,"107,951",4.42,"3,298",7.36,"97,421",4.78,"2,977",7.78,"63,073",5.91,"1,927",8.87
1999Q3,"109,124",3.26,"3,406",11.42,"108,478",2.88,"3,386",10.98,"97,886",2.76,"3,055",10.89,"65,281",5.66,"2,038",13.98
1999Q4,"115,867",4.04,"3,653",7.06,"114,214",3.78,"3,602",6.85,"103,285",3.37,"3,257",6.37,"66,018",4.31,"2,081",7.38
2000Q1,"112,544",3.20,"3,663",9.70,"110,922",2.95,"3,610",9.43,"100,677",3.10,"3,277",9.60,"67,530",7.11,"2,196",13.72
2000Q2,"112,930",4.13,"3,683",11.13,"111,667",3.44,"3,642",10.43,"100,359",3.02,"3,273",9.94,"66,491",5.42,"2,167",12.45
2000Q3,"116,672",6.92,"3,757",10.31,"115,254",6.25,"3,711",9.60,"104,322",6.57,"3,359",9.95,"67,973",4.12,"2,187",7.31
2000Q4,"123,356",6.46,"3,803",4.11,"121,369",6.26,"3,741",3.86,"109,978",6.48,"3,390",4.08,"67,912",2.87,"2,093",0.58
2001Q1,"113,571",0.91,"3,490",-4.72,"111,095",0.16,"3,414",-5.43,"100,453",-0.22,"3,087",-5.80,"67,790",0.39,"2,083",-5.15
2001Q2,"109,285",-3.23,"3,263",-11.40,"107,104",-4.09,"3,198",-12.19,"95,892",-4.45,"2,863",-12.53,"66,241",-0.38,"1,978",-8.72
2001Q3,"110,829",-5.01,"3,197",-14.91,"108,816",-5.59,"3,139",-15.41,"97,455",-6.58,"2,811",-16.31,"67,593",-0.56,"1,949",-10.88
2001Q4,"119,399",-3.21,"3,451",-9.26,"117,474",-3.21,"3,396",-9.22,"105,865",-3.74,"3,060",-9.73,"68,174",0.39,"1,970",-5.88
2002Q1,"115,593",1.78,"3,298",-5.50,"112,616",1.37,"3,213",-5.89,"100,944",0.49,"2,880",-6.71,"68,997",1.78,"1,968",-5.52
2002Q2,"115,102",5.32,"3,341",2.39,"112,663",5.19,"3,270",2.25,"101,221",5.56,"2,938",2.62,"68,119",2.84,"1,977",-0.05
2002Q3,"118,502",6.92,"3,486",9.04,"115,994",6.60,"3,412",8.70,"104,817",7.55,"3,083",9.68,"70,527",4.34,"2,074",6.41
2002Q4,"125,097",4.77,"3,591",4.06,"122,225",4.04,"3,509",3.33,"110,657",4.53,"3,176",3.79,"70,037",2.73,"2,011",2.08
2003Q1,"120,056",3.86,"3,457",4.82,"114,997",2.11,"3,312",3.08,"105,809",4.82,"3,047",5.80,"69,832",1.21,"2,011",2.18
2003Q2,"115,256",0.13,"3,318",-0.69,"111,571",-0.97,"3,212",-1.77,"100,893",-0.32,"2,904",-1.16,"66,915",-1.77,"1,927",-2.53
2003Q3,"121,889",2.86,"3,557",2.04,"119,545",3.06,"3,488",2.23,"107,692",2.74,"3,143",1.95,"73,693",4.49,"2,151",3.71
2003Q4,"131,444",5.07,"3,865",7.63,"127,956",4.69,"3,761",7.18,"117,553",6.23,"3,455",8.78,"73,153",4.45,"2,150",6.91
2004Q1,"126,782",5.60,"3,793",9.72,"121,611",5.75,"3,640",9.90,"111,282",5.17,"3,329",9.26,"74,497",6.68,"2,229",10.84
2004Q2,"125,502",8.89,"3,758",13.26,"122,228",9.55,"3,661",13.98,"109,695",8.72,"3,285",13.12,"73,623",10.02,"2,205",14.43
2004Q3,"131,335",7.75,"3,864",8.63,"127,689",6.81,"3,756",7.68,"115,225",6.99,"3,390",7.86,"76,319",3.56,"2,245",4.37
2004Q4,"134,661",2.45,"4,088",5.77,"130,321",1.85,"3,955",5.16,"118,516",0.82,"3,598",4.14,"76,194",4.16,"2,314",7.63
2005Q1,"128,367",1.25,"4,072",7.36,"123,622",1.65,"3,922",7.75,"111,928",0.58,"3,551",6.67,"77,536",4.08,"2,458",10.27
2005Q2,"126,325",0.66,"4,025",7.10,"123,275",0.86,"3,929",7.32,"110,131",0.40,"3,510",6.85,"76,454",3.85,"2,434",10.39
2005Q3,"131,450",0.09,"4,069",5.31,"130,347",2.08,"4,036",7.45,"115,204",-0.02,"3,567",5.22,"79,407",4.05,"2,456",9.40
2005Q4,"143,171",6.32,"4,283",4.77,"139,272",6.87,"4,164",5.28,"126,515",6.75,"3,784",5.17,"78,561",3.11,"2,346",1.38
2006Q1,"133,386",3.91,"4,128",1.38,"128,230",3.73,"3,968",1.17,"116,510",4.09,"3,606",1.55,"78,719",1.53,"2,436",-0.90
2006Q2,"131,935",4.44,"4,101",1.89,"128,908",4.57,"4,007",1.99,"114,243",3.73,"3,551",1.17,"78,014",2.04,"2,425",-0.37
2006Q3,"138,708",5.52,"4,233",4.03,"136,619",4.81,"4,170",3.32,"120,510",4.61,"3,677",3.08,"80,465",1.33,"2,455",-0.04
2006Q4,"146,070",2.02,"4,449",3.88,"142,685",2.45,"4,346",4.37,"127,705",0.94,"3,890",2.80,"80,385",2.32,"2,447",4.31
2007Q1,"138,589",3.90,"4,209",1.96,"132,899",3.64,"4,036",1.71,"119,386",2.47,"3,625",0.53,"80,414",2.15,"2,443",0.29
2007Q2,"138,282",4.81,"4,175",1.80,"134,109",4.03,"4,049",1.05,"119,675",4.75,"3,613",1.75,"79,340",1.70,"2,396",-1.20
2007Q3,"146,825",5.85,"4,460",5.36,"145,457",6.47,"4,418",5.95,"126,398",4.89,"3,839",4.41,"83,903",4.27,"2,549",3.83
2007Q4,"154,173",5.55,"4,752",6.81,"150,884",5.75,"4,651",7.02,"133,453",4.50,"4,115",5.78,"83,887",4.36,"2,586",5.68
2008Q1,"145,306",4.85,"4,604",9.38,"138,275",4.05,"4,381",8.55,"125,183",4.86,"3,966",9.41,"84,145",4.64,"2,666",9.13
